Entity,Code,Year,SACMEQ: Mean performance on the 6th grade mathematics scale
Botswana,BWA,2000,512.9
Botswana,BWA,2007,520.5
Kenya,KEN,2000,563.1
Kenya,KEN,2007,557
Lesotho,LSO,2000,447.2
Lesotho,LSO,2007,476.9
Malawi,MWI,2000,432.9
Malawi,MWI,2007,447
Mauritius,MUS,2000,584.6
Mauritius,MUS,2007,623.3
Mozambique,MOZ,2000,529.7
Mozambique,MOZ,2007,483.8
Namibia,NAM,2000,430.9
Namibia,NAM,2007,471
Seychelles,SYC,2000,554.3
Seychelles,SYC,2007,550.7
South Africa,ZAF,2000,486.3
South Africa,ZAF,2007,494.8
Swaziland,SWZ,2000,516.5
Swaziland,SWZ,2007,540.8
Tanzania,TZA,2000,522.4
Tanzania,TZA,2007,552.7
Uganda,UGA,2000,506.3
Uganda,UGA,2007,481.9
Zambia,ZMB,2000,435
Zambia,ZMB,2007,435.2
Zimbabwe,ZWE,2007,519.8
