Entity,Code,Year,"School life expectancy, primary to tertiary, both sexes (years) (years)"
Afghanistan,AFG,1970,2.41880989074707
Afghanistan,AFG,1971,2.53982996940613
Afghanistan,AFG,1972,2.61898994445801
Afghanistan,AFG,1973,2.67720007896423
Afghanistan,AFG,1974,2.81033992767334
Afghanistan,AFG,1975,2.71544003486633
Afghanistan,AFG,1976,2.8348400592804
Afghanistan,AFG,1977,2.94190001487732
Afghanistan,AFG,1978,3.09180998802185
Afghanistan,AFG,1982,1.7945100069046
Afghanistan,AFG,1986,2.45820999145508
Afghanistan,AFG,1990,2.59249997138977
Afghanistan,AFG,2003,6.8397102355957
Afghanistan,AFG,2004,7.85832023620605
Afghanistan,AFG,2009,9.19377040863037
Afghanistan,AFG,2011,9.77297019958496
Afghanistan,AFG,2014,10.7711601257324
Albania,ALB,1978,11.8125600814819
Albania,ALB,1981,11.7580499649048
Albania,ALB,1983,10.9679498672485
Albania,ALB,1984,11.0588703155518
Albania,ALB,1985,11.3352098464966
Albania,ALB,1986,11.5922899246216
Albania,ALB,1987,11.4712600708008
Albania,ALB,1988,11.4815196990967
Albania,ALB,1989,11.5151395797729
Albania,ALB,1990,11.6322202682495
Albania,ALB,1991,11.7966403961182
Albania,ALB,1992,10.6972799301147
Albania,ALB,1993,10.161190032959
Albania,ALB,1994,10.1287803649902
Albania,ALB,1995,10.2069101333618
Albania,ALB,1996,10.2721900939941
Albania,ALB,1997,10.5530395507813
Albania,ALB,1998,10.721489906311
Albania,ALB,1999,10.7398900985718
Albania,ALB,2000,10.6444997787476
Albania,ALB,2001,10.7372903823853
Albania,ALB,2002,10.7241802215576
Albania,ALB,2003,10.8923301696777
Albania,ALB,2004,10.8480195999146
Albania,ALB,2005,11.3754100799561
Albania,ALB,2006,11.5512504577637
Albania,ALB,2007,11.9988803863525
Albania,ALB,2008,12.2321395874023
Albania,ALB,2009,12.4548196792603
Albania,ALB,2010,13.2863702774048
Albania,ALB,2011,14.1796798706055
Albania,ALB,2012,14.9841604232788
Albania,ALB,2013,15.5064601898193
Albania,ALB,2014,15.800479888916
Algeria,DZA,1987,9.49236965179443
Algeria,DZA,1988,9.64651966094971
Algeria,DZA,1990,9.60774993896484
Algeria,DZA,1991,9.65851020812988
Algeria,DZA,1992,9.76714992523193
Algeria,DZA,1993,9.78814029693604
Algeria,DZA,1994,9.86551952362061
Algeria,DZA,1995,9.84597969055176
Algeria,DZA,1996,10.0023803710938
Algeria,DZA,1999,10.749340057373
Algeria,DZA,2001,11.1487703323364
Algeria,DZA,2002,11.4922399520874
Algeria,DZA,2003,11.7222604751587
Algeria,DZA,2004,12.037070274353
Algeria,DZA,2005,12.2513198852539
Algeria,DZA,2006,12.340259552002
Algeria,DZA,2007,12.5731496810913
Algeria,DZA,2009,13.5737495422363
Algeria,DZA,2010,14.018630027771
Algeria,DZA,2011,14.357780456543
Angola,AGO,1988,3.87530994415283
Angola,AGO,1989,3.97868990898132
Angola,AGO,1990,3.78095006942749
Angola,AGO,1991,3.56619000434875
Angola,AGO,1992,3.54707002639771
Angola,AGO,1998,4.20637989044189
Angola,AGO,2010,9.38619041442871
Angola,AGO,2011,10.3503704071045
Antigua and Barbuda,ATG,2007,14.3855600357056
Antigua and Barbuda,ATG,2009,14.0977296829224
Antigua and Barbuda,ATG,2010,14.0535402297974
Antigua and Barbuda,ATG,2011,13.7600202560425
Antigua and Barbuda,ATG,2012,13.9489002227783
Arab World,,1970,5.86721801757813
Arab World,,1971,5.83663177490234
Arab World,,1972,5.99184370040894
Arab World,,1973,6.17187356948853
Arab World,,1974,6.28029632568359
Arab World,,1975,6.498939037323
Arab World,,1976,6.75288343429565
Arab World,,1977,6.96424579620361
Arab World,,1978,7.12694883346558
Arab World,,1979,7.32779169082642
Arab World,,1980,7.48392009735107
Arab World,,1981,7.59690856933594
Arab World,,1982,7.75873851776123
Arab World,,1983,7.893639087677
Arab World,,1984,8.03414344787598
Arab World,,1985,8.16582584381104
Arab World,,1986,8.33869361877441
Arab World,,1987,8.47929668426514
Arab World,,1988,8.5474100112915
Arab World,,1989,8.49606704711914
Arab World,,1990,8.49376106262207
Arab World,,1991,8.53226566314697
Arab World,,1992,8.35257434844971
Arab World,,1993,8.46225738525391
Arab World,,1994,8.76522636413574
Arab World,,1995,8.70346736907959
Arab World,,1996,8.85659790039063
