Entity,Code,Year,Primary school (%),Lower secondary (%),Upper secondary (%)
Afghanistan,AFG,2016,,,84.32528
Afghanistan,AFG,2017,93.03401,96.92751,97.97258
Albania,ALB,2017,,,57.7381
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Angola,AGO,2016,19.96747,53.66399,59.77401
Antigua and Barbuda,ATG,2017,98.3871,100,100
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,94.05202,97.3731,97.4417
Australia and New Zealand,,2001,94.0503,97.3724,97.44111
Australia and New Zealand,,2002,94.05261,97.37236,97.44126
Australia and New Zealand,,2003,94.04972,97.37167,97.44087
Australia and New Zealand,,2004,94.05162,97.37168,97.44074
Australia and New Zealand,,2005,94.05351,97.37101,97.4406
Australia and New Zealand,,2006,94.05,97.37067,97.4401
Australia and New Zealand,,2007,94.03968,97.3699,97.43919
Australia and New Zealand,,2008,94.01471,97.36921,97.43858
Australia and New Zealand,,2009,94.00752,97.36916,97.43891
Australia and New Zealand,,2010,93.99981,97.37535,97.44877
Australia and New Zealand,,2011,93.98732,97.37247,97.44602
Australia and New Zealand,,2012,94.0179,97.36936,97.44303
Australia and New Zealand,,2013,93.914,97.36732,97.44621
Australia and New Zealand,,2014,93.81976,97.36586,97.44995
Australia and New Zealand,,2015,93.73228,97.36478,97.45404
Australia and New Zealand,,2016,93.64399,97.36375,97.45831
Australia and New Zealand,,2017,93.63558,97.23231,97.41743
Azerbaijan,AZE,2016,100,100,100
Azerbaijan,AZE,2017,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bangladesh,BGD,2016,78.91008,55.2153,55.36664
Bangladesh,BGD,2017,,,55.73685
Barbados,BRB,2015,100,100,100
Barbados,BRB,2016,100,100,100
Barbados,BRB,2017,100,100,100
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,100,100,100
Belgium,BEL,2003,100,100,100
Belgium,BEL,2004,100,100,100
Belgium,BEL,2005,100,100,100
Belgium,BEL,2006,100,100,100
Belgium,BEL,2007,100,100,100
Belgium,BEL,2008,100,100,100
Belgium,BEL,2009,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2011,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Benin,BEN,2016,44.61415,,
British Virgin Islands,VGB,2016,100,83.33333,85.71429
British Virgin Islands,VGB,2017,100,83.33333,85.71429
Burkina Faso,BFA,2016,54.69123,41.79826,41.76633
Burkina Faso,BFA,2017,55.98174,,
Burundi,BDI,2016,42.81023,71.40661,91.09589
Burundi,BDI,2017,38.49442,72.07137,91.09589
Cameroon,CMR,2016,33.74765,,
Cameroon,CMR,2017,34.44397,,
Cape Verde,CPV,2016,95.41063,100,100
Cape Verde,CPV,2017,97.08738,100,100
Cayman Islands,CYM,2018,100,100,100
Central African Republic,CAF,2016,13.90443,,
Central and Southern Asia,,2015,84.63801,87.51211,87.15546
Central and Southern Asia,,2016,84.6699,87.42058,87.39178
Central and Southern Asia,,2017,84.64038,87.21253,88.17223
China,CHN,2016,99.13292,99.56493,
China,CHN,2017,99.25352,99.53759,99.54688
Cook Islands,COK,2016,100,100,100
Costa Rica,CRI,2016,85.0252,77.97903,78.08099
Cote d'Ivoire,CIV,2016,51.41828,100,100
Cote d'Ivoire,CIV,2017,43.23695,83.62124,71.33152
Denmark,DNK,2001,100,100,
Denmark,DNK,2002,100,100,
Denmark,DNK,2003,100,100,
Denmark,DNK,2004,100,100,
Denmark,DNK,2005,100,100,
Denmark,DNK,2006,100,100,
Denmark,DNK,2007,100,100,
Denmark,DNK,2008,100,100,
Denmark,DNK,2009,100,100,
Denmark,DNK,2010,100,100,
Denmark,DNK,2011,100,100,
Denmark,DNK,2012,100,100,
Denmark,DNK,2013,100,100,
Denmark,DNK,2014,100,100,
Denmark,DNK,2015,100,100,100
Denmark,DNK,2016,100,100,
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,99.37857,99.53108,98.78377
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,99.36406,99.51392,98.80086
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,99.34914,99.49717,98.81181
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,,,98.78974
Developing regions,,2015,74.43325,80.70478,79.48576
Developing regions,,2016,74.08602,80.29561,79.85595
Developing regions,,2017,74.18285,79.74891,80.10799
Djibouti,DJI,2017,88.48485,94.82759,100
Dominica,DMA,2016,100,100,100
Eastern Asia (excluding Japan and China),,2000,95.74293,,
Eastern Asia (excluding Japan and China),,2001,95.76516,,
Eastern Asia (excluding Japan and China),,2002,95.78369,,
Eastern Asia (excluding Japan and China),,2003,95.80343,,
Eastern Asia (excluding Japan and China),,2004,95.82572,94.32613,
Eastern Asia (excluding Japan and China),,2005,95.85014,94.3716,
Eastern Asia (excluding Japan and China),,2006,95.86626,94.38195,
Eastern Asia (excluding Japan and China),,2007,95.85855,94.40925,
Eastern Asia (excluding Japan and China),,2008,95.86626,94.4458,
Eastern Asia (excluding Japan and China),,2009,95.86023,94.47248,
Eastern Asia (excluding Japan and China),,2010,95.86191,94.49425,
Eastern Asia (excluding Japan and China),,2011,95.8706,94.51989,
Eastern Asia (excluding Japan and China),,2012,95.87361,94.53324,
Eastern Asia (excluding Japan and China),,2013,95.88358,94.53999,
Eastern Asia (excluding Japan and China),,2014,95.89285,94.5473,
Eastern Asia (excluding Japan and China),,2015,95.90766,94.55058,94.86836
Eastern Asia (excluding Japan and China),,2016,95.91714,94.5493,94.85423
Eastern Asia (excluding Japan and China),,2017,95.96499,94.51556,
Eastern and South-Eastern Asia,,2015,,77.1202,80.71191
Eastern and South-Eastern Asia,,2016,78.89405,76.39322,80.8364
Eastern and South-Eastern Asia,,2017,78.83289,75.90886,80.48269
Ecuador,ECU,2016,40.33631,57.91356,64.31414
El Salvador,SLV,2016,80.27007,87.10961,
El Salvador,SLV,2017,81.78746,82.07086,84.48109
Estonia,EST,2000,100,100,100
Estonia,EST,2001,100,100,100
Estonia,EST,2002,100,100,100
Estonia,EST,2003,100,100,100
Estonia,EST,2004,100,100,100
Estonia,EST,2005,100,100,100
Estonia,EST,2006,100,100,100
Estonia,EST,2007,100,100,100
Estonia,EST,2008,100,100,100
Estonia,EST,2009,100,100,100
Estonia,EST,2010,100,100,100
Estonia,EST,2011,100,100,100
Estonia,EST,2012,100,100,100
Estonia,EST,2013,100,100,100
Estonia,EST,2014,100,100,100
Estonia,EST,2015,100,100,100
Estonia,EST,2016,100,100,100
Europe,,2000,100,100,
Europe,,2001,100,100,
Europe,,2002,100,100,
Europe,,2003,,,98.71835
Europe,,2004,,100,
Europe,,2005,,100,
Europe,,2006,,100,98.71741
Europe,,2007,,100,98.72504
Europe,,2008,,100,98.733
Europe,,2009,,100,98.74003
Europe,,2010,,100,98.74201
Europe,,2011,,100,98.74392
Europe,,2012,,,98.76251
Europe,,2013,,100,98.78215
Europe,,2014,,100,98.80509
Europe,,2015,,,98.83246
Europe,,2016,,100,98.85198
Europe,,2017,,100,98.85823
Europe and Northern America,,2014,99.99996,99.99995,99.11936
Europe and Northern America,,2015,99.99996,99.99995,99.14226
Europe and Northern America,,2016,99.99996,99.99995,99.15977
Finland,FIN,2000,100,100,100
Finland,FIN,2001,100,100,100
Finland,FIN,2002,100,100,100
Finland,FIN,2003,100,100,100
Finland,FIN,2004,100,100,100
Finland,FIN,2005,100,100,100
Finland,FIN,2006,100,100,100
Finland,FIN,2007,100,100,100
Finland,FIN,2008,100,100,100
Finland,FIN,2009,100,100,100
Finland,FIN,2010,100,100,100
Finland,FIN,2011,100,100,100
Finland,FIN,2012,100,100,100
Finland,FIN,2013,100,100,100
Finland,FIN,2014,100,100,100
Finland,FIN,2015,100,100,100
Finland,FIN,2016,100,100,100
Finland,FIN,2017,100,100,100
France,FRA,2000,,100,100
France,FRA,2001,100,100,100
France,FRA,2002,100,100,100
France,FRA,2003,100,100,100
France,FRA,2004,100,100,100
France,FRA,2005,100,100,100
France,FRA,2006,100,100,100
France,FRA,2007,100,100,100
France,FRA,2008,100,100,100
France,FRA,2009,100,100,100
France,FRA,2010,100,100,100
France,FRA,2011,100,100,100
France,FRA,2012,100,100,100
France,FRA,2013,100,100,100
France,FRA,2014,100,100,100
France,FRA,2015,100,100,100
France,FRA,2016,100,100,100
Gambia,GMB,2017,83.70221,89.72431,90.05848
Gambia,GMB,2018,83.88313,,71.95767
Georgia,GEO,2016,100,100,100
Georgia,GEO,2017,99.74026,100,100
Germany,DEU,2000,100,100,100
Germany,DEU,2001,100,100,100
Germany,DEU,2002,100,100,100
Germany,DEU,2003,100,100,100
Germany,DEU,2004,100,100,100
Germany,DEU,2005,100,100,100
Germany,DEU,2006,100,100,100
Germany,DEU,2007,100,100,100
Germany,DEU,2008,100,100,100
Germany,DEU,2009,100,100,100
Germany,DEU,2010,100,100,100
Germany,DEU,2011,100,100,100
Germany,DEU,2012,100,100,100
Germany,DEU,2013,100,100,100
Germany,DEU,2014,100,100,100
Germany,DEU,2015,100,100,100
Germany,DEU,2016,100,100,100
Ghana,GHA,2018,32.72151,49.15727,67.61208
Gibraltar,GIB,2016,100,100,100
Gibraltar,GIB,2017,100,100,100
Grenada,GRD,2016,100,100,
Grenada,GRD,2017,100,100,100
Guinea,GIN,2016,24.65739,55.59085,
Honduras,HND,2016,64.63,,
Hong Kong,HKG,2016,100,100,100
Hong Kong,HKG,2017,100,100,100
Hungary,HUN,2000,100,100,100
Hungary,HUN,2001,100,100,100
Hungary,HUN,2002,100,100,100
Hungary,HUN,2003,100,100,100
Hungary,HUN,2004,100,100,100
Hungary,HUN,2005,100,100,100
Hungary,HUN,2006,100,100,100
Hungary,HUN,2007,100,100,100
Hungary,HUN,2008,100,100,100
Hungary,HUN,2009,100,100,100
Hungary,HUN,2010,100,100,100
Hungary,HUN,2011,100,100,100
Hungary,HUN,2012,100,100,100
Hungary,HUN,2013,100,100,100
Hungary,HUN,2014,100,100,100
Hungary,HUN,2015,100,100,100
Hungary,HUN,2016,100,100,100
India,IND,2016,83.9422,88.88256,91.63996
India,IND,2017,80.92738,87.59739,91.14135
Indonesia,IDN,2016,57.83188,47.27839,57.59109
Indonesia,IDN,2017,58.09987,46.89731,56.66373
Israel,ISR,2000,100,100,100
Israel,ISR,2001,100,100,100
Israel,ISR,2002,100,100,100
Israel,ISR,2003,100,100,100
Israel,ISR,2004,100,100,100
Israel,ISR,2005,100,100,100
Israel,ISR,2006,100,100,100
Israel,ISR,2007,100,100,100
Israel,ISR,2008,100,100,100
Israel,ISR,2009,100,100,100
Israel,ISR,2010,100,100,100
Israel,ISR,2011,100,100,100
Israel,ISR,2012,100,100,100
