Entity,Code,Year,Share of people who disagree vaccines are important for children to have (%)
Afghanistan,AFG,2018,2.09669366
Albania,ALB,2018,1.670224002
Algeria,DZA,2018,3.702127351
Argentina,ARG,2018,1.212598334
Armenia,ARM,2018,12.17313418
Australia,AUS,2018,3.276187107
Australia/New Zealand,,2018,4
Austria,AUT,2018,11.78723186
Azerbaijan,AZE,2018,8.316148363
Bangladesh,BGD,2018,0.396651362
Belarus,BLR,2018,7.597193224
Belgium,BEL,2018,4.700652608
Benin,BEN,2018,1.794186452
Bolivia,BOL,2018,1.777991454
Bosnia and Herzegovina,BIH,2018,5.866728907
Botswana,BWA,2018,3.825546888
Brazil,BRA,2018,0.504578666
Bulgaria,BGR,2018,6.922498454
Burkina Faso,BFA,2018,2.869976837
Burundi,BDI,2018,0.661125647
Cambodia,KHM,2018,0.472894487
Cameroon,CMR,2018,1.821170138
Canada,CAN,2018,5.370012878
Central Africa,,2018,2
Central America and Mexico,,2018,1
Central Asia,,2018,4
Chad,TCD,2018,4.344118015
Chile,CHL,2018,3.98514653
China,CHN,2018,1.868376767
Colombia,COL,2018,0.582169118
Comoros,COM,2018,1.308382738
Congo,COG,2018,2.207636832
Costa Rica,CRI,2018,1.037113384
Cote d'Ivoire,CIV,2018,1.484182932
Croatia,HRV,2018,4.352767471
Cyprus,CYP,2018,6.016327191
Czech Republic,CZE,2018,2.981318636
Denmark,DNK,2018,2.36310731
Dominican Republic,DOM,2018,0.12714161
East Asia,,2018,2
Eastern Africa,,2018,1
Eastern Europe,,2018,7
Ecuador,ECU,2018,0.895799755
Egypt,EGY,2018,0.309066032
El Salvador,SLV,2018,0.827741254
Estonia,EST,2018,5.720150799
Ethiopia,ETH,2018,0.14044208
Finland,FIN,2018,1.680263603
France,FRA,2018,9.758586958
Gabon,GAB,2018,2.645818692
Gambia,GMB,2018,2.818174006
Georgia,GEO,2018,3.634566646
Germany,DEU,2018,4.291943979
Ghana,GHA,2018,2.763845301
Greece,GRC,2018,1.679683227
Guatemala,GTM,2018,0.842762166
Guinea,GIN,2018,3.588067094
Haiti,HTI,2018,1.717215017
Honduras,HND,2018,0.262917427
Hungary,HUN,2018,1.274012043
Iceland,ISL,2018,0.881542112
India,IND,2018,1.352926787
Indonesia,IDN,2018,3.010707634
Iran,IRN,2018,1.716036984
Iraq,IRQ,2018,2.939514949
Ireland,IRL,2018,3.935820977
Israel,ISR,2018,0.88202389
Italy,ITA,2018,8.231379081
Japan,JPN,2018,4.739243635
Jordan,JOR,2018,0.973810325
Kazakhstan,KAZ,2018,3.718647336
Kenya,KEN,2018,1.31194462
Kosovo,OWID_KOS,2018,0.903778738
Kuwait,KWT,2018,2.153418538
Kyrgyzstan,KGZ,2018,4.382050751
Laos,LAO,2018,0.245208395
Latvia,LVA,2018,5.949013577
Lebanon,LBN,2018,0.155654273
Liberia,LBR,2018,2.031008316
Libya,LBY,2018,5.662988163
