Entity,Code,Year,Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016)) (% of the population)
Afghanistan,AFG,2011,66.2
Albania,ALB,2009,1.4
Algeria,DZA,2013,1.5
Argentina,ARG,2005,2.9
Armenia,ARM,2010,0.3
Azerbaijan,AZE,2006,5.3
Bangladesh,BGD,2014,41.3
Barbados,BRB,2012,0.9
Belarus,BLR,2005,0
Belize,BLZ,2011,4.6
Benin,BEN,2012,62.2
Bhutan,BTN,2010,27.2
Bolivia,BOL,2008,20.5
Bosnia and Herzegovina,BIH,2012,0.5
Brazil,BRA,2014,5.3
Burkina Faso,BFA,2010,84
Burundi,BDI,2010,80.8
Cambodia,KHM,2014,33
Cameroon,CMR,2011,46
Central African Republic,CAF,2010,77.6
Chad,TCD,2015,87.1
China,CHN,2012,5.2
Colombia,COL,2010,5.4
Comoros,COM,2012,36
Congo,COG,2012,39.7
Cote d'Ivoire,CIV,2012,58.7
Democratic Republic of Congo,COD,2014,75.1
Djibouti,DJI,2006,29.3
Dominican Republic,DOM,2014,8.8
Ecuador,ECU,2014,3.5
Egypt,EGY,2014,3.6
Ethiopia,ETH,2011,87.3
Gabon,GAB,2012,16.5
Gambia,GMB,2013,60.4
Georgia,GEO,2005,0.8
Ghana,GHA,2014,33.7
Guinea,GIN,2012,75.1
Guinea-Bissau,GNB,2006,77.5
Guyana,GUY,2014,3.2
Haiti,HTI,2012,49.4
Honduras,HND,2012,15.8
India,IND,2006,53.7
Indonesia,IDN,2012,15.5
Iraq,IRQ,2011,11.6
Jamaica,JAM,2012,1.8
Jordan,JOR,2012,1.7
Kazakhstan,KAZ,2011,0.2
Kenya,KEN,2014,39.9
Kyrgyzstan,KGZ,2014,0.5
Laos,LAO,2012,34.1
Lesotho,LSO,2014,32
Liberia,LBR,2013,71.2
Libya,LBY,2007,1.5
Macedonia,MKD,2011,0.7
Madagascar,MDG,2009,66.9
Malawi,MWI,2014,56
Maldives,MDV,2009,5.2
Mali,MLI,2013,77.7
Mauritania,MRT,2011,52.2
Mexico,MEX,2012,2.8
Moldova,MDA,2012,0.8
Mongolia,MNG,2013,9.9
Montenegro,MNE,2013,0.3
Morocco,MAR,2011,15.4
Mozambique,MOZ,2011,69.6
Namibia,NAM,2013,42
Nepal,NPL,2014,28.6
Nicaragua,NIC,2012,16.1
Niger,NER,2012,89.3
Nigeria,NGA,2013,53.2
Pakistan,PAK,2013,44.2
Palestine,PSE,2014,1.1
Peru,PER,2012,10.5
Philippines,PHL,2013,11
Rwanda,RWA,2015,53.8
Saint Lucia,LCA,2012,1
Sao Tome and Principe,STP,2014,19.3
Senegal,SEN,2014,56.9
Serbia,SRB,2014,0.2
Sierra Leone,SLE,2013,81
Somalia,SOM,2006,81.2
South Africa,ZAF,2012,11.1
South Sudan,SSD,2010,91.1
Sudan,SDN,2014,53.4
Suriname,SUR,2010,5.9
Swaziland,SWZ,2010,20.4
Syria,SYR,2009,4.4
Tajikistan,TJK,2012,13.2
Tanzania,TZA,2010,65.6
Thailand,THA,2012,0.9
Timor,TLS,2010,68.1
Togo,TGO,2014,50.1
Trinidad and Tobago,TTO,2006,5.6
Tunisia,TUN,2012,1.2
Turkmenistan,TKM,2006,6.7
Uganda,UGA,2011,69.9
Ukraine,UKR,2012,1.2
Uzbekistan,UZB,2006,2.3
Vanuatu,VUT,2007,30.1
Vietnam,VNM,2014,7.1
Yemen,YEM,2013,45.9
Zambia,ZMB,2014,56.6
Zimbabwe,ZWE,2014,29.7
