Entity,Code,Year,"Indicator:Alcohol, consumers past 12 months (%) - Sex:Both sexes (%)"
Afghanistan,AFG,2010,3.7
Albania,ALB,2010,53.8
Algeria,DZA,2010,9.3
Andorra,AND,2010,68.3
Angola,AGO,2010,35.6
Antigua and Barbuda,ATG,2010,66.6
Argentina,ARG,2010,58.8
Armenia,ARM,2010,64
Australia,AUS,2010,84
Austria,AUT,2010,77.4
Azerbaijan,AZE,2010,44
Bahamas,BHS,2010,55
Bahrain,BHR,2010,9.8
Bangladesh,BGD,2010,1.9
Barbados,BRB,2010,68.6
Belarus,BLR,2010,79.2
Belgium,BEL,2010,82.3
Belize,BLZ,2010,28.6
Benin,BEN,2010,39.4
Bhutan,BTN,2010,10.3
Bolivia,BOL,2010,51.7
Bosnia and Herzegovina,BIH,2010,57.2
Botswana,BWA,2010,41.5
Brazil,BRA,2010,57.7
Brunei,BRN,2010,20.4
Bulgaria,BGR,2010,67.4
Burkina Faso,BFA,2010,38
Burundi,BDI,2010,42.1
Cambodia,KHM,2010,38.4
Cameroon,CMR,2010,43.2
Canada,CAN,2010,77.1
Cape Verde,CPV,2010,38.6
Central African Republic,CAF,2010,21.4
Chad,TCD,2010,13.1
Chile,CHL,2010,65.9
China,CHN,2010,44.1
Colombia,COL,2010,48.3
Comoros,COM,2010,11.9
Congo,COG,2010,28.7
Cook Islands,COK,2010,45.1
Costa Rica,CRI,2010,51.4
Cote d'Ivoire,CIV,2010,23.3
Croatia,HRV,2010,80.5
Cuba,CUB,2010,62.2
Cyprus,CYP,2010,85
Czech Republic,CZE,2010,89.1
Democratic Republic of Congo,COD,2010,27.9
Denmark,DNK,2010,88.6
Djibouti,DJI,2010,5.8
Dominica,DMA,2010,59
Dominican Republic,DOM,2010,55.2
Ecuador,ECU,2010,47.3
Egypt,EGY,2010,6.5
El Salvador,SLV,2010,44
Equatorial Guinea,GNQ,2010,40
Eritrea,ERI,2010,43.3
Estonia,EST,2010,65.2
Ethiopia,ETH,2010,15.7
Fiji,FJI,2010,41.4
Finland,FIN,2010,68
France,FRA,2010,94.8
Gabon,GAB,2010,41.1
Gambia,GMB,2010,11
Georgia,GEO,2010,36.1
Germany,DEU,2010,80.3
Ghana,GHA,2010,23.3
Greece,GRC,2010,66.2
