Entity,Code,Year,Share of births outside marriage (%)
Australia,AUS,1971,9.3
Australia,AUS,1974,9.5
Australia,AUS,1976,10.1
Australia,AUS,1979,11.7
Australia,AUS,1980,12.4
Australia,AUS,1981,13.2
Australia,AUS,1983,14.7
Australia,AUS,1984,14.8
Australia,AUS,1989,20.2
Australia,AUS,1990,21.9
Australia,AUS,1991,23
Australia,AUS,1992,24
Australia,AUS,1993,24.9
Australia,AUS,1994,25.6
Australia,AUS,1995,26.6
Australia,AUS,1996,27.4
Australia,AUS,1997,28.1
Australia,AUS,1998,28.7
Australia,AUS,1999,29.2
Australia,AUS,2000,29.3
Australia,AUS,2001,30.7
Australia,AUS,2002,31.3
Australia,AUS,2003,31.6
Australia,AUS,2004,32.2
Australia,AUS,2005,32.2
Australia,AUS,2006,32.7
Australia,AUS,2007,33.3
Australia,AUS,2008,34.3
Australia,AUS,2009,34.5
Australia,AUS,2010,33.8
Australia,AUS,2011,34.2
Australia,AUS,2012,34.5
Australia,AUS,2013,34.4
Australia,AUS,2014,34.4
Austria,AUT,1960,13
Austria,AUT,1961,12.6
Austria,AUT,1962,12
Austria,AUT,1963,11.6
Austria,AUT,1964,11.3
Austria,AUT,1965,11.2
Austria,AUT,1966,11.4
Austria,AUT,1967,11.5
Austria,AUT,1968,12
Austria,AUT,1969,12.2
Austria,AUT,1970,12.8
Austria,AUT,1971,13
Austria,AUT,1972,13.7
Austria,AUT,1973,13.7
Austria,AUT,1974,13.8
Austria,AUT,1975,13.5
Austria,AUT,1976,13.8
Austria,AUT,1977,14.2
Austria,AUT,1978,14.8
Austria,AUT,1979,16.5
Austria,AUT,1980,17.8
Austria,AUT,1981,19.5
Austria,AUT,1982,21.6
Austria,AUT,1983,22.4
Austria,AUT,1984,21.5
Austria,AUT,1985,22.4
Austria,AUT,1986,23.3
Austria,AUT,1987,23.4
Austria,AUT,1988,21
Austria,AUT,1989,22.6
Austria,AUT,1990,23.6
Austria,AUT,1991,24.8
Austria,AUT,1992,25.2
Austria,AUT,1993,26.3
Austria,AUT,1994,26.8
Austria,AUT,1995,27.4
Austria,AUT,1996,28
Austria,AUT,1997,28.8
Austria,AUT,1998,29.5
Austria,AUT,1999,30.5
Austria,AUT,2000,31.3
Austria,AUT,2001,33.1
