Entity,Code,Year,Children (13-15) who reported being in a physical fight during past year (%)
Afghanistan,AFG,2015,35.4
Albania,ALB,2015,47.9
Algeria,DZA,2015,48
Antigua and Barbuda,ATG,2015,48
Argentina,ARG,2015,34
Armenia,ARM,2015,51
Australia,AUS,2015,48.8
Austria,AUT,2015,37
Azerbaijan,AZE,2015,37.7
Bahamas,BHS,2015,39.2
Bangladesh,BGD,2015,53.6
Barbados,BRB,2015,38
Belarus,BLR,2015,38.8
Belgium,BEL,2015,37
Belize,BLZ,2015,36
Benin,BEN,2015,32
Bhutan,BTN,2015,25.5
Bolivia,BOL,2015,33
Botswana,BWA,2015,48
Brazil,BRA,2015,28
Brunei,BRN,2015,37.1
Bulgaria,BGR,2015,30.3
Burkina Faso,BFA,2015,47.5
Burundi,BDI,2015,48.3
Cambodia,KHM,2015,14
Cameroon,CMR,2015,36.4
Canada,CAN,2015,34
Cape Verde,CPV,2015,24.1
Central African Republic,CAF,2015,46.6
Chad,TCD,2015,39.8
Chile,CHL,2015,29
China,CHN,2015,19
Colombia,COL,2015,33
Comoros,COM,2015,29.4
Congo,COG,2015,45.7
Costa Rica,CRI,2015,22
Cote d'Ivoire,CIV,2015,48
Croatia,HRV,2015,39
Cuba,CUB,2015,34.5
Cyprus,CYP,2015,46.8
Czech Republic,CZE,2015,43
Democratic Republic of Congo,COD,2015,45.9
Denmark,DNK,2015,27
Dominican Republic,DOM,2015,30.4
Ecuador,ECU,2015,34
Egypt,EGY,2015,45
El Salvador,SLV,2015,29.2
Estonia,EST,2015,28
Ethiopia,ETH,2015,50.6
Fiji,FJI,2015,47
Finland,FIN,2015,28
France,FRA,2015,33
Gambia,GMB,2015,44.2
Georgia,GEO,2015,48.1
Germany,DEU,2015,20
Ghana,GHA,2015,53
Greece,GRC,2015,51
Guatemala,GTM,2015,36.3
Guinea,GIN,2015,42.8
Guinea-Bissau,GNB,2015,38.3
Guyana,GUY,2015,38
Honduras,HND,2015,28
Hungary,HUN,2015,41
Iceland,ISL,2015,28
India,IND,2015,33.8
Indonesia,IDN,2015,34
Iran,IRN,2015,34.9
Iraq,IRQ,2015,37
Ireland,IRL,2015,35
Israel,ISR,2015,45.1
Italy,ITA,2015,35
Jamaica,JAM,2015,50
Japan,JPN,2015,38.3
Jordan,JOR,2015,47
Kazakhstan,KAZ,2015,35.3
Kenya,KEN,2015,48
Kiribati,KIR,2015,35
Korea,,2015,44.9
Kuwait,KWT,2015,45
Kyrgyzstan,KGZ,2015,31.9
Laos,LAO,2015,28.7
Latvia,LVA,2015,39
Lebanon,LBN,2015,49
Lesotho,LSO,2015,39.7
Liberia,LBR,2015,47
Libya,LBY,2015,40
Lithuania,LTU,2015,38
Luxembourg,LUX,2015,32
Macedonia,MKD,2015,31
Madagascar,MDG,2015,20.6
Malawi,MWI,2015,23
Malaysia,MYS,2015,30
Maldives,MDV,2015,30
Mali,MLI,2015,39.7
Malta,MLT,2015,43.4
Mauritania,MRT,2015,58
Mauritius,MUS,2015,36
Mexico,MEX,2015,39.5
Moldova,MDA,2015,45.9
Mongolia,MNG,2015,44
Montenegro,MNE,2015,38.5
Morocco,MAR,2015,9
Mozambique,MOZ,2015,39.4
Myanmar,MMR,2015,15
Namibia,NAM,2015,50
Nepal,NPL,2015,33.3
Netherlands,NLD,2015,31
New Zealand,NZL,2015,34.8
Nicaragua,NIC,2015,28.6
Niger,NER,2015,44.1
Nigeria,NGA,2015,48.1
Norway,NOR,2015,40.3
Oman,OMN,2015,50
Pakistan,PAK,2015,37
Palestine,PSE,2015,44
Panama,PAN,2015,31.8
Papua New Guinea,PNG,2015,42.5
Paraguay,PRY,2015,40.9
Peru,PER,2015,37
Philippines,PHL,2015,38
Poland,POL,2015,32
Portugal,PRT,2015,27
Qatar,QAT,2015,51
Romania,ROU,2015,41
Russia,RUS,2015,37
Rwanda,RWA,2015,34.8
Saint Lucia,LCA,2015,41
Samoa,WSM,2015,68
Saudi Arabia,SAU,2015,34.6
Senegal,SEN,2015,41.1
Serbia,SRB,2015,39.8
Seychelles,SYC,2015,43.8
Sierra Leone,SLE,2015,34.1
Slovakia,SVK,2015,40
Slovenia,SVN,2015,40
Solomon Islands,SLB,2015,53
South Africa,ZAF,2015,33.5
Spain,ESP,2015,35
Sri Lanka,LKA,2015,47
Sudan,SDN,2015,51
Suriname,SUR,2015,21
Swaziland,SWZ,2015,19
Sweden,SWE,2015,30
Switzerland,CHE,2015,34.3
Syria,SYR,2015,51.4
Tajikistan,TJK,2015,22
Tanzania,TZA,2015,40
Thailand,THA,2015,34
Timor,TLS,2015,37.7
Togo,TGO,2015,29
Tonga,TON,2015,49
Trinidad and Tobago,TTO,2015,36
Tunisia,TUN,2015,47
Turkey,TUR,2015,35.4
Turkmenistan,TKM,2015,32.8
Uganda,UGA,2015,36
Ukraine,UKR,2015,39
United Arab Emirates,ARE,2015,47
United Kingdom,GBR,2015,33
United States,USA,2015,35
Uruguay,URY,2015,26
Uzbekistan,UZB,2015,44.9
Vanuatu,VUT,2015,51
Venezuela,VEN,2015,30
Vietnam,VNM,2015,22
Yemen,YEM,2015,46
Zambia,ZMB,2015,53
Zimbabwe,ZWE,2015,41
