Entity,Code,Year, (% of households)
Afghanistan,AFG,2004,28
Afghanistan,AFG,2011,20.4461603924561
Albania,ALB,2007,60.3
Albania,ALB,2009,75.1
Algeria,DZA,2006,60.7058505886736
Angola,AGO,2007,44.7
Argentina,ARG,1996,90
Armenia,ARM,2005,96.8
Azerbaijan,AZE,2006,53.6
Bangladesh,BGD,2006,84.3
Bangladesh,BGD,2011,82.3
Bangladesh,BGD,2013,57.6
Barbados,BRB,2012,17.3
Belarus,BLR,2004,55.1
Belarus,BLR,2008,94
Belarus,BLR,2012,85.4
Belize,BLZ,1994,90
Benin,BEN,2006,54.5
Benin,BEN,2008,67.2
Benin,BEN,2011,86
Bhutan,BTN,2002,96.2
Bolivia,BOL,2003,90.1
Bolivia,BOL,2008,88.7
Bosnia and Herzegovina,BIH,2005,62
Botswana,BWA,2000,65.8
Botswana,BWA,2007,65.2
Brazil,BRA,2000,87.8
Brazil,BRA,2006,95.7
Bulgaria,BGR,2006,100
Bulgaria,BGR,2012,91.9
Burkina Faso,BFA,2003,47.8
Burkina Faso,BFA,2006,33.7
Burkina Faso,BFA,2010,95.9
Burundi,BDI,2005,98
Burundi,BDI,2010,96.1
Cambodia,KHM,2005,72.5
Cambodia,KHM,2010,82.7
Cameroon,CMR,2004,88.3
Cameroon,CMR,2006,49.1
Cameroon,CMR,2011,85.1
Cape Verde,CPV,2008,74.8
Central African Republic,CAF,2006,62.3
Central African Republic,CAF,2010,64.5
Chad,TCD,2004,55.8
Chad,TCD,2010,53.7985544712886
Chile,CHL,1999,100
China,CHN,2006,93.8
China,CHN,2008,94.8
China,CHN,2009,96.4
China,CHN,2010,96.6
China,CHN,2011,96.8
Colombia,COL,1997,92
Comoros,COM,2000,77.3
Congo,COG,2005,73.1781430350887
Costa Rica,CRI,1996,92
Cote d'Ivoire,CIV,2000,30
Cote d'Ivoire,CIV,2004,84.4
Croatia,HRV,1999,90
Croatia,HRV,2007,91.9
Croatia,HRV,2008,92.9
Croatia,HRV,2009,88.4
Cuba,CUB,2005,88
Democratic Republic of Congo,COD,2007,78.9
Democratic Republic of Congo,COD,2010,58.6
Djibouti,DJI,2006,0.240558094779889
Dominican Republic,DOM,2006,18.5
Early-demographic dividend,,2010,67.1872664628545
East Asia & Pacific,,2010,84.948607817593
East Asia & Pacific (IDA & IBRD),,2010,85.7183617382505
East Asia & Pacific (excluding high income),,2010,84.948607817593
Ecuador,ECU,1999,99
Egypt,EGY,2005,78.1
Egypt,EGY,2008,77.7
El Salvador,SLV,2002,62
Equatorial Guinea,GNQ,2000,33.3
Eritrea,ERI,2002,68
Ethiopia,ETH,2005,19.9
Ethiopia,ETH,2011,15.4
Fiji,FJI,1994,31
Fragile and conflict affected situations,,2010,45.828488612667
Gabon,GAB,2001,36
Gambia,GMB,2010,22
Georgia,GEO,2009,99.9
Ghana,GHA,2003,28.3
