Entity,Code,Year,
Argentina,ARG,1946,22.63
Argentina,ARG,1947,24.02
Argentina,ARG,1948,23.22
Argentina,ARG,1949,19.34
Argentina,ARG,1950,19.81
Argentina,ARG,1951,16.96
Argentina,ARG,1952,15.96
Argentina,ARG,1953,15.35
Argentina,ARG,1954,16.54
Argentina,ARG,1956,15.66
Argentina,ARG,1958,14.17
Argentina,ARG,1959,15.92
Argentina,ARG,1961,14.68
Argentina,ARG,1997,12.39
Argentina,ARG,1998,12.57
Argentina,ARG,1999,13.53
Argentina,ARG,2000,14.34
Argentina,ARG,2001,12.91
Argentina,ARG,2002,15.53
Argentina,ARG,2003,16.85
Argentina,ARG,2004,16.75
Australia,AUS,1946,9.51
Australia,AUS,1947,10.62
Australia,AUS,1948,10.8
Australia,AUS,1949,11.26
Australia,AUS,1950,14.13
Australia,AUS,1951,9.08
Australia,AUS,1952,8.99
Australia,AUS,1953,8.71
Australia,AUS,1954,8.06
Australia,AUS,1955,7.54
Australia,AUS,1956,7.91
Australia,AUS,1957,7.04
Australia,AUS,1958,7.44
Australia,AUS,1959,7
Australia,AUS,1960,6.74
Australia,AUS,1961,6.76
Australia,AUS,1962,6.87
Australia,AUS,1963,7.02
Australia,AUS,1964,6.53
Australia,AUS,1965,6.39
Australia,AUS,1966,6.21
Australia,AUS,1967,6.3
Australia,AUS,1968,6.09
Australia,AUS,1969,5.77
Australia,AUS,1970,5.62
Australia,AUS,1971,5.63
Australia,AUS,1972,5.75
Australia,AUS,1973,5.41
Australia,AUS,1974,5
Australia,AUS,1975,4.91
Australia,AUS,1976,4.78
Australia,AUS,1977,4.73
Australia,AUS,1978,4.68
Australia,AUS,1979,4.62
Australia,AUS,1980,4.59
Australia,AUS,1981,4.44
Australia,AUS,1982,4.51
Australia,AUS,1983,4.52
Australia,AUS,1984,4.57
Australia,AUS,1985,4.83
Australia,AUS,1986,5.14
Australia,AUS,1987,5.98
Australia,AUS,1988,6.94
Australia,AUS,1989,5.83
Australia,AUS,1990,5.64
Australia,AUS,1991,5.8
Australia,AUS,1992,5.9
Australia,AUS,1993,6.12
Australia,AUS,1994,6.33
Australia,AUS,1995,6.19
Australia,AUS,1996,6.16
Australia,AUS,1997,6.46
Australia,AUS,1998,6.54
Australia,AUS,1999,7.26
Australia,AUS,2000,7.54
Australia,AUS,2001,7
Australia,AUS,2002,7.3
Australia,AUS,2003,7.27
Australia,AUS,2004,7.46
Australia,AUS,2005,7.5
Australia,AUS,2006,7.83
Australia,AUS,2007,7.67
Australia,AUS,2008,7.43
Australia,AUS,2009,7.73
Australia,AUS,2010,7.84
Australia,AUS,2011,7.68
Australia,AUS,2012,7.93
Australia,AUS,2013,8.27
Canada,CAN,1946,10.72
Canada,CAN,1947,10.99
Canada,CAN,1948,10.39
Canada,CAN,1949,10.69
Canada,CAN,1950,10.88
Canada,CAN,1951,10.03
Canada,CAN,1952,9.85
Canada,CAN,1953,9.88
Canada,CAN,1954,10.33
Canada,CAN,1955,10.19
Canada,CAN,1956,9.62
Canada,CAN,1957,9.64
Canada,CAN,1958,9.89
Canada,CAN,1959,9.73
Canada,CAN,1960,9.77
Canada,CAN,1961,9.93
Canada,CAN,1962,9.37
Canada,CAN,1963,9.14
Canada,CAN,1964,9.38
Canada,CAN,1965,9.2
Canada,CAN,1966,8.91
Canada,CAN,1967,9
Canada,CAN,1968,9.04
Canada,CAN,1969,9.01
Canada,CAN,1970,8.97
Canada,CAN,1971,8.87
Canada,CAN,1972,8.75
Canada,CAN,1973,8.8
Canada,CAN,1974,8.81
Canada,CAN,1975,8.74
Canada,CAN,1976,8.08
Canada,CAN,1977,7.74
Canada,CAN,1978,7.6
Canada,CAN,1979,7.71
Canada,CAN,1980,8.06
Canada,CAN,1981,7.8
Canada,CAN,1982,8.46
Canada,CAN,1983,8.21
Canada,CAN,1984,8.29
Canada,CAN,1985,8.21
Canada,CAN,1986,8.24
Canada,CAN,1987,8.4
Canada,CAN,1988,9.34
Canada,CAN,1989,10.01
Canada,CAN,1990,9.35
Canada,CAN,1991,9.37
Canada,CAN,1992,9.31
Canada,CAN,1993,9.55
Canada,CAN,1994,9.59
Canada,CAN,1995,10
Canada,CAN,1996,10.62
Canada,CAN,1997,11.52
Canada,CAN,1998,12.18
Canada,CAN,1999,12.62
Canada,CAN,2000,13.56
China,CHN,1986,2.65
China,CHN,1987,2.67
China,CHN,1988,3.34
China,CHN,1989,3.45
China,CHN,1990,3.33
China,CHN,1991,3.38
China,CHN,1992,3.96
China,CHN,1993,4.34
China,CHN,1994,4.42
China,CHN,1995,4.38
China,CHN,1996,4.69
China,CHN,1997,4.89
China,CHN,1998,4.84
China,CHN,1999,4.77
China,CHN,2000,5.04
China,CHN,2001,5.05
China,CHN,2002,5.32
China,CHN,2003,5.87
Colombia,COL,1993,20.48
Colombia,COL,1994,20.54
Colombia,COL,1995,20.76
Colombia,COL,1996,21.3
Colombia,COL,1997,20.85
Colombia,COL,1998,19.77
Colombia,COL,1999,18.1
Colombia,COL,2000,17.32
Colombia,COL,2001,17.31
Colombia,COL,2002,17.96
Colombia,COL,2003,19.92
Colombia,COL,2004,17.8
Colombia,COL,2005,18.8
Colombia,COL,2006,19.94
Colombia,COL,2007,20.49
Colombia,COL,2008,20.25
Colombia,COL,2009,20.17
Colombia,COL,2010,20.45
France,FRA,1963,9.43
France,FRA,1964,9.56
France,FRA,1965,9.58
France,FRA,1966,9.36
France,FRA,1967,9.36
France,FRA,1968,8.77
France,FRA,1969,8.55
France,FRA,1970,8.33
France,FRA,1971,8.47
France,FRA,1972,8.52
France,FRA,1973,8.87
France,FRA,1974,8.5
France,FRA,1975,8.48
France,FRA,1976,8.44
France,FRA,1977,7.79
France,FRA,1978,7.8
France,FRA,1979,7.82
France,FRA,1980,7.63
France,FRA,1981,7.55
France,FRA,1982,7.07
France,FRA,1983,6.99
France,FRA,1984,7.03
France,FRA,1985,7.2
France,FRA,1986,7.44
France,FRA,1987,7.75
France,FRA,1988,7.92
France,FRA,1989,8.21
France,FRA,1990,8.23
France,FRA,1991,7.97
France,FRA,1992,7.75
France,FRA,1993,7.65
France,FRA,1994,7.71
France,FRA,1995,7.7
France,FRA,1996,7.73
France,FRA,1997,7.77
France,FRA,1998,7.94
France,FRA,1999,8.15
France,FRA,2000,8.29
France,FRA,2001,8.43
France,FRA,2002,8.46
France,FRA,2003,8.55
France,FRA,2004,8.73
France,FRA,2005,8.73
