Entity,Code,Year,Share of men who prefer a male boss (%),Share of women who prefer a male boss (%)
United States,USA,1953,75,57
United States,USA,1975,63,60
United States,USA,1982,40,52
United States,USA,1989,43,54
United States,USA,1993,33,44
United States,USA,1994,30,40
United States,USA,1995,37,54
United States,USA,1999,35,42
United States,USA,2000,45,50
United States,USA,2002,29,32
United States,USA,2006,34,40
United States,USA,2011,26,39
United States,USA,2013,29,40
United States,USA,2014,26,39
United States,USA,2017,19,27
