Entity,Code,Year,Son preference in education (%) (WVS (2014))
Albania,ALB,1998,20.4617
Albania,ALB,2002,15.287958
Algeria,DZA,2002,28.456593
Algeria,DZA,2013,38.514679
Andorra,AND,2005,1.6016016
Argentina,ARG,1995,19.219791
Argentina,ARG,1999,15.340909
Argentina,ARG,2006,14.196242
Argentina,ARG,2013,16.566265
Armenia,ARM,1997,42.340427
Armenia,ARM,2011,23.669725
Australia,AUS,1995,11.034142
Australia,AUS,2005,7.2805138
Australia,AUS,2012,4.5796309
Azerbaijan,AZE,1997,37.376881
Azerbaijan,AZE,2011,30.239521
Bahrain,BHR,2014,57.223797
Bangladesh,BGD,1996,40.565372
Bangladesh,BGD,2002,62.618084
Belarus,BLR,1996,41.32653
Belarus,BLR,2011,21.419186
Bosnia and Herzegovina,BIH,1998,23.65729
Bosnia and Herzegovina,BIH,2001,17.657045
Brazil,BRA,2006,11.445783
Brazil,BRA,2014,9.4005451
Bulgaria,BGR,1997,18.736616
Bulgaria,BGR,2005,11.285267
Burkina Faso,BFA,2007,34.749828
Canada,CAN,2000,5.4744525
Canada,CAN,2006,5.0162563
Chile,CHL,1996,23.67347
Chile,CHL,2000,30.52721
Chile,CHL,2006,28.556807
Chile,CHL,2011,20.872274
China,CHN,1995,23.756907
China,CHN,2001,9.4496365
China,CHN,2007,20.489471
China,CHN,2012,24.346172
Colombia,COL,1998,11.304932
Colombia,COL,2005,9.755291
Colombia,COL,2012,10.830564
Croatia,HRV,1996,25.319693
Cyprus,CYP,2006,9.9236641
Cyprus,CYP,2011,14.473684
Czech Republic,CZE,1998,33.090908
Dominican Republic,DOM,1996,20.05571
Ecuador,ECU,2013,23.5196
Egypt,EGY,2001,31.008011
Egypt,EGY,2008,37.812088
Egypt,EGY,2013,38.21405
El Salvador,SLV,1999,14.019449
Estonia,EST,1996,34.07708
Estonia,EST,2011,16.768087
Ethiopia,ETH,2007,8.1190796
Finland,FIN,1996,14.255091
Finland,FIN,2005,6.87251
France,FRA,2006,6.927711
Georgia,GEO,1996,33.707291
Georgia,GEO,2009,24.088093
Georgia,GEO,2014,18.303946
Germany,DEU,1997,11.060375
Germany,DEU,2006,15.837104
Germany,DEU,2013,13.622902
Ghana,GHA,2007,21.914192
Ghana,GHA,2012,27.57732
Guatemala,GTM,2004,20.693171
Hong Kong,HKG,2005,22.312704
Hong Kong,HKG,2013,22.690763
Hungary,HUN,1998,20.125786
Hungary,HUN,2009,19.164118
India,IND,1995,30.975348
India,IND,2001,41.657009
India,IND,2006,46.482262
India,IND,2014,38.504823
Indonesia,IDN,2001,16.802444
Indonesia,IDN,2006,19.866871
Iran,IRN,2000,38.105175
Iran,IRN,2007,55.668549
Iraq,IRQ,2004,46.098976
Iraq,IRQ,2006,49.071209
Iraq,IRQ,2012,31.570108
Italy,ITA,2005,8.0203047
Japan,JPN,1995,37.5
Japan,JPN,2000,22.989594
Japan,JPN,2005,23.843416
Japan,JPN,2010,22.39819
Jordan,JOR,2001,38.82935
Jordan,JOR,2007,37.130802
Jordan,JOR,2014,28.75
Kazakhstan,KAZ,2011,21.200001
Kuwait,KWT,2014,37.608868
Kyrgyzstan,KGZ,2003,27.509653
Kyrgyzstan,KGZ,2011,41.082165
Latvia,LVA,1996,26.753246
Lebanon,LBN,2013,31.880342
Libya,LBY,2014,33.285645
Lithuania,LTU,1997,23.06011
Macedonia,MKD,1998,13.432836
Macedonia,MKD,2001,12.366115
Malaysia,MYS,2006,46.19883
Malaysia,MYS,2012,43
Mali,MLI,2007,49.590725
Mexico,MEX,1995,36.071888
Mexico,MEX,1996,29.333334
Mexico,MEX,2000,31.156462
Mexico,MEX,2005,24.966887
Mexico,MEX,2012,20.793571
Moldova,MDA,1996,31.914894
Moldova,MDA,2002,22.938688
Moldova,MDA,2006,16.908213
Montenegro,MNE,1996,25.345623
Montenegro,MNE,2001,23.888315
Morocco,MAR,2001,52.878654
Morocco,MAR,2007,29.668411
Morocco,MAR,2011,21.719038
Netherlands,NLD,2006,5.9165859
Netherlands,NLD,2012,4.8034935
New Zealand,NZL,1998,8.3259525
New Zealand,NZL,2004,5.1339288
New Zealand,NZL,2011,5.5970149
Nigeria,NGA,1995,35.894737
Nigeria,NGA,2000,43.708942
Nigeria,NGA,2011,42.296761
Norway,NOR,1996,10.991957
Norway,NOR,2007,3.7254901
Pakistan,PAK,1997,40.109142
Pakistan,PAK,2001,22.636555
Pakistan,PAK,2012,52.417961
Palestine,PSE,2013,26.969696
Peru,PER,1996,28.48432
Peru,PER,2001,20.491804
Peru,PER,2006,12.61077
Peru,PER,2012,14.592275
Philippines,PHL,1996,37.489468
Philippines,PHL,2001,37.080536
Philippines,PHL,2012,38.916668
Poland,POL,1997,35.096642
Poland,POL,2005,15.823466
Poland,POL,2012,12.351029
Puerto Rico,PRI,1995,12.738301
Puerto Rico,PRI,2001,11.251758
Qatar,QAT,2010,27.452829
Romania,ROU,1998,32.290707
Romania,ROU,2005,19.277109
Romania,ROU,2012,21.257063
Russia,RUS,1995,34.412533
Russia,RUS,2006,28.797955
Russia,RUS,2011,23.423044
Rwanda,RWA,2007,29.407665
