Entity,Code,Year,Share of people who are worried about losing their job (%) (WVS (2014)) (%)
Algeria,DZA,2014,76.737968
Argentina,ARG,2014,46.774193
Armenia,ARM,2014,88.041428
Australia,AUS,2014,32.255798
Azerbaijan,AZE,2014,67.573013
Bahrain,BHR,2014,40.10067
Belarus,BLR,2014,59.289066
Brazil,BRA,2014,66.878082
Chile,CHL,2014,59.680851
China,CHN,2014,73.889702
Colombia,COL,2014,88.84462
Cyprus,CYP,2014,58.78661
Ecuador,ECU,2014,79.100746
Egypt,EGY,2014,67.378494
Estonia,EST,2014,72.855225
Georgia,GEO,2014,85.690376
Germany,DEU,2014,40.328983
Ghana,GHA,2014,90.513321
Hong Kong,HKG,2014,50.568768
India,IND,2014,73.195877
Iraq,IRQ,2014,58.184902
Japan,JPN,2014,80.470795
Jordan,JOR,2014,35.920578
Kazakhstan,KAZ,2014,71.448181
Kuwait,KWT,2014,66.205215
Kyrgyzstan,KGZ,2014,85.37088
Lebanon,LBN,2014,56.027752
Libya,LBY,2014,68.050804
Malaysia,MYS,2014,86.265434
Mexico,MEX,2014,90.736107
Morocco,MAR,2014,66.027878
Netherlands,NLD,2014,26.645767
New Zealand,NZL,2014,36.619717
Nigeria,NGA,2014,77.745155
Pakistan,PAK,2014,73.720726
Palestine,PSE,2014,57.987553
Peru,PER,2014,85.883347
Philippines,PHL,2014,90.25
Poland,POL,2014,49.313499
Qatar,QAT,2014,63.444977
Romania,ROU,2014,54.270596
Russia,RUS,2014,56.053215
Rwanda,RWA,2014,95.540985
Singapore,SGP,2014,54.702194
Slovenia,SVN,2014,34.288746
South Africa,ZAF,2014,68.373222
South Korea,KOR,2014,82.14592
Spain,ESP,2014,65.254234
Sweden,SWE,2014,29.249012
Taiwan,TWN,2014,71.018059
Thailand,THA,2014,66.26815
Trinidad and Tobago,TTO,2014,37.5
Tunisia,TUN,2014,84.398979
Turkey,TUR,2014,65.710724
Ukraine,UKR,2014,65.044548
United States,USA,2014,38.366787
Uruguay,URY,2014,61.088295
Uzbekistan,UZB,2014,45.827538
Yemen,YEM,2014,72.698746
Zimbabwe,ZWE,2014,76.585693
