Entity,Code,Year,Share of people who are happy (Eurobarometer 2017) (%)
Albania,ALB,2014,58.685448
Albania,ALB,2015,62.037964
Albania,ALB,2016,59.073544
Austria,AUT,1996,93.234474
Austria,AUT,1997,83.727531
Austria,AUT,1998,83.372276
Austria,AUT,1999,83.562508
Austria,AUT,2000,80.772339
Austria,AUT,2001,85.599884
Austria,AUT,2002,83.09864
Austria,AUT,2003,82.47834
Austria,AUT,2004,84.607742
Austria,AUT,2005,85.311844
Austria,AUT,2006,84.013351
Austria,AUT,2007,85.824425
Austria,AUT,2008,80.431259
Austria,AUT,2009,82.660095
Austria,AUT,2010,84.907295
Austria,AUT,2011,84.433296
Austria,AUT,2012,85.346962
Austria,AUT,2013,83.36956
Austria,AUT,2014,90.076302
Austria,AUT,2015,86.381081
Austria,AUT,2016,84.688965
Belgium,BEL,1973,92
Belgium,BEL,1975,88.906372
Belgium,BEL,1976,89.726608
Belgium,BEL,1977,89.721428
Belgium,BEL,1978,88.631905
Belgium,BEL,1979,89.5112
Belgium,BEL,1980,88.504578
Belgium,BEL,1981,84.404633
Belgium,BEL,1982,81.835266
Belgium,BEL,1983,81.618378
Belgium,BEL,1984,78.933777
Belgium,BEL,1985,82.490234
Belgium,BEL,1986,77.562569
Belgium,BEL,1987,82.857475
Belgium,BEL,1988,78.988998
Belgium,BEL,1989,85.571655
Belgium,BEL,1990,87.557243
Belgium,BEL,1991,89.349998
Belgium,BEL,1992,88.805946
Belgium,BEL,1993,86.254631
Belgium,BEL,1994,85.949997
Belgium,BEL,1996,85.874649
Belgium,BEL,1997,78.343315
Belgium,BEL,1998,78.968002
Belgium,BEL,1999,83.447937
Belgium,BEL,2000,83.319038
Belgium,BEL,2001,84.762169
Belgium,BEL,2002,81.803795
Belgium,BEL,2003,82.638756
Belgium,BEL,2004,90.554413
Belgium,BEL,2005,88.633896
Belgium,BEL,2006,90.603111
Belgium,BEL,2007,89.470711
Belgium,BEL,2008,86.882767
Belgium,BEL,2009,90.427696
Belgium,BEL,2010,88.595413
Belgium,BEL,2011,89.313911
Belgium,BEL,2012,89.382286
Belgium,BEL,2013,91.951668
Belgium,BEL,2014,91.353859
Belgium,BEL,2015,89.463463
Belgium,BEL,2016,91.500923
Bulgaria,BGR,2004,32.370518
Bulgaria,BGR,2005,29.407001
Bulgaria,BGR,2006,30.382904
Bulgaria,BGR,2007,36.565365
Bulgaria,BGR,2008,39.154861
Bulgaria,BGR,2009,39.921722
Bulgaria,BGR,2010,38.319218
Bulgaria,BGR,2011,37.693024
Bulgaria,BGR,2012,39.783852
Bulgaria,BGR,2013,34.484436
Bulgaria,BGR,2014,45.13496
Bulgaria,BGR,2015,45.650059
Bulgaria,BGR,2016,48.390835
Croatia,HRV,2004,70.400002
Croatia,HRV,2005,68.302368
Croatia,HRV,2006,70.099998
Croatia,HRV,2007,71
Croatia,HRV,2008,68.684685
Croatia,HRV,2009,63.536465
Croatia,HRV,2010,68.249619
Croatia,HRV,2011,66.983185
Croatia,HRV,2012,66.849998
Croatia,HRV,2013,68.714836
Croatia,HRV,2014,66.628136
Croatia,HRV,2015,72.07341
Croatia,HRV,2016,70.965515
Cyprus,CYP,2004,89.400002
Cyprus,CYP,2005,84.909081
Cyprus,CYP,2006,86.244858
Cyprus,CYP,2007,86.010864
Cyprus,CYP,2008,87.077538
Cyprus,CYP,2009,85.148514
Cyprus,CYP,2010,82.096481
Cyprus,CYP,2011,78.513214
Cyprus,CYP,2012,76.08429
Cyprus,CYP,2013,68.088699
Cyprus,CYP,2014,80.799995
Cyprus,CYP,2015,79.902122
Cyprus,CYP,2016,80.540237
Czech Republic,CZE,2004,77.674416
Czech Republic,CZE,2005,82.030487
Czech Republic,CZE,2006,81.920326
Czech Republic,CZE,2007,81.547256
Czech Republic,CZE,2008,82.790924
Czech Republic,CZE,2009,81.643837
Czech Republic,CZE,2010,79.301857
Czech Republic,CZE,2011,79.002403
Czech Republic,CZE,2012,76.460037
Czech Republic,CZE,2013,80.808846
Czech Republic,CZE,2014,82.331009
Czech Republic,CZE,2015,83.281982
Czech Republic,CZE,2016,86.118401
Denmark,DNK,1973,95
Denmark,DNK,1975,89.640091
Denmark,DNK,1976,92.781723
Denmark,DNK,1977,94.760765
Denmark,DNK,1978,94.760071
Denmark,DNK,1979,93.755821
Denmark,DNK,1980,95.647774
Denmark,DNK,1981,94.339622
Denmark,DNK,1982,95.297623
Denmark,DNK,1983,95.363091
Denmark,DNK,1984,94.512901
Denmark,DNK,1985,95.783073
Denmark,DNK,1986,94.604591
Denmark,DNK,1987,95.334984
Denmark,DNK,1988,90.064369
Denmark,DNK,1989,95.378998
Denmark,DNK,1990,96.198448
Denmark,DNK,1991,96.998596
Denmark,DNK,1992,96.449997
Denmark,DNK,1993,96.801552
Denmark,DNK,1994,96.648254
Denmark,DNK,1996,96.996124
Denmark,DNK,1997,97.102898
Denmark,DNK,1998,97.116272
Denmark,DNK,1999,95.811028
Denmark,DNK,2000,95.374313
Denmark,DNK,2001,96.618774
Denmark,DNK,2002,96.454163
Denmark,DNK,2003,95.873734
Denmark,DNK,2004,96.40078
Denmark,DNK,2005,96.919991
Denmark,DNK,2006,96.918678
Denmark,DNK,2007,97.502449
Denmark,DNK,2008,96.461464
Denmark,DNK,2009,98.122528
Denmark,DNK,2010,97.28038
Denmark,DNK,2011,96.525864
Denmark,DNK,2012,97.212509
