Entity,Code,Year,Share of single parent families (%)
Afghanistan,AFG,2015,1
Albania,ALB,2011,5.2
Angola,AGO,2007,6.6
Angola,AGO,2011,7.4
Angola,AGO,2016,13.4
Argentina,ARG,1970,7.1
Argentina,ARG,1980,7
Argentina,ARG,2001,10.1
Argentina,ARG,2010,11.7
Armenia,ARM,2000,7
Armenia,ARM,2005,10.6
Armenia,ARM,2010,10
Aruba,ABW,2010,11.5
Australia,AUS,2006,9.3
Australia,AUS,2011,9.1
Austria,AUT,1981,6.2
Austria,AUT,1991,7.7
Austria,AUT,2001,8
Azerbaijan,AZE,2009,8.4
Bahamas,BHS,2010,12.9
Bangladesh,BGD,1994,5.1
Bangladesh,BGD,1997,5.2
Bangladesh,BGD,2000,4.4
Bangladesh,BGD,2004,5.3
Bangladesh,BGD,2007,6.4
Bangladesh,BGD,2011,5.3
Bangladesh,BGD,2014,6
Belarus,BLR,1999,10.5
Belarus,BLR,2009,12.3
Belgium,BEL,2011,9.2
Benin,BEN,1996,7
Benin,BEN,2001,8.3
Benin,BEN,2006,10.3
Benin,BEN,2012,11.5
Bermuda,BMU,2000,10.7
Bermuda,BMU,2010,12.3
Bolivia,BOL,1994,10.4
Bolivia,BOL,1998,9.8
Bolivia,BOL,2003,10.4
Bolivia,BOL,2008,11.7
Botswana,BWA,1981,6.3
Botswana,BWA,1991,8.9
Botswana,BWA,2001,8.7
Botswana,BWA,2011,9.3
Brazil,BRA,1960,6.2
Brazil,BRA,1970,6.6
Brazil,BRA,1980,6.9
Brazil,BRA,1991,8.1
Brazil,BRA,2000,10.1
Brazil,BRA,2010,10.5
Bulgaria,BGR,2001,6.5
Bulgaria,BGR,2011,7
Burkina Faso,BFA,1993,2.6
Burkina Faso,BFA,1999,2.6
Burkina Faso,BFA,2003,4.1
Burkina Faso,BFA,2010,5.7
Burkina Faso,BFA,2014,4.3
Burundi,BDI,2010,14.1
Burundi,BDI,2012,13.1
Burundi,BDI,2016,14.8
Cambodia,KHM,2000,9.3
Cambodia,KHM,2005,8.3
Cambodia,KHM,2010,7.3
Cambodia,KHM,2014,6
Cameroon,CMR,1991,4
Cameroon,CMR,1998,5.2
Cameroon,CMR,2004,7.2
Cameroon,CMR,2011,7.3
Canada,CAN,2001,10.2
Canada,CAN,2006,9
Canada,CAN,2011,9
Central African Republic,CAF,1994,6.3
Chad,TCD,1997,8.3
Chad,TCD,2004,7.7
Chad,TCD,2015,9.6
Chile,CHL,1970,7.4
Chile,CHL,1982,7.8
Chile,CHL,1992,8.3
