Entity,Code,Year,Share of students reaching no or minimum achievement only (2005-2015) (%)
Albania,ALB,1,61.12
Algeria,DZA,1,86.69
Argentina,ARG,1,66.54
Armenia,ARM,1,39.88
Australia,AUS,1,28.06
Austria,AUT,1,29.88
Azerbaijan,AZE,1,58.88
Bahrain,BHR,1,52.49
Belgium,BEL,1,27.45
Benin,BEN,1,91.21
Bosnia and Herzegovina,BIH,1,47.52
Botswana,BWA,1,70.9
Brazil,BRA,1,71.69
Bulgaria,BGR,1,39
Burkina Faso,BFA,1,93.7
Burundi,BDI,1,82.95
Cameroon,CMR,1,85.62
Canada,CAN,1,19.98
Chad,TCD,1,80.14
Chile,CHL,1,52.1
China,CHN,1,21.57
Colombia,COL,1,74.08
Comoros,COM,1,82.11
Costa Rica,CRI,1,70
Cote d'Ivoire,CIV,1,82.19
Croatia,HRV,1,35.79
Cuba,CUB,1,35.86
Cyprus,CYP,1,26.07
Czech Republic,CZE,1,27.47
Democratic Republic of Congo,COD,1,78.76
Denmark,DNK,1,21.06
Dominican Republic,DOM,1,91.16
Ecuador,ECU,1,73.86
Egypt,EGY,1,67.21
El Salvador,SLV,1,88.08
Estonia,EST,1,19.34
Finland,FIN,1,20.77
France,FRA,1,33
Gabon,GAB,1,92.82
Georgia,GEO,1,47.29
Germany,DEU,1,22.57
Ghana,GHA,1,91.02
Greece,GRC,1,44.6
Guatemala,GTM,1,84.94
Honduras,HND,1,85.87
Hong Kong,HKG,1,4.77
Hungary,HUN,1,24.79
Iceland,ISL,1,31.81
India,IND,1,83.03
Indonesia,IDN,1,76.66
Iran,IRN,1,57.93
Ireland,IRL,1,17.11
Israel,ISR,1,27.44
Italy,ITA,1,28.59
Japan,JPN,1,6.85
Jordan,JOR,1,73.93
Kazakhstan,KAZ,1,20.07
Kenya,KEN,1,79.59
Kuwait,KWT,1,80.77
Kyrgyzstan,KGZ,1,84.15
Latvia,LVA,1,30.72
Lebanon,LBN,1,50.16
Lesotho,LSO,1,95.33
Liechtenstein,LIE,1,15.98
Lithuania,LTU,1,22.13
Luxembourg,LUX,1,34.58
Macao,MAC,1,14.36
Macedonia,MKD,1,73.61
Madagascar,MDG,1,75.55
Malawi,MWI,1,94.53
Malaysia,MYS,1,42.74
Malta,MLT,1,30.08
Mauritius,MUS,1,56.63
Mexico,MEX,1,59.43
Moldova,MDA,1,57.99
Mongolia,MNG,1,59.44
Montenegro,MNE,1,60.15
Morocco,MAR,1,79.87
Mozambique,MOZ,1,99.08
Namibia,NAM,1,93.26
Netherlands,NLD,1,19.77
New Zealand,NZL,1,34.99
Nicaragua,NIC,1,93.96
Norway,NOR,1,19.29
Oman,OMN,1,65.49
Palestine,PSE,1,74.14
Panama,PAN,1,91.61
Paraguay,PRY,1,87.34
Peru,PER,1,69.46
Philippines,PHL,1,81.03
Poland,POL,1,23.42
Portugal,PRT,1,25.53
Puerto Rico,PRI,1,79.94
Qatar,QAT,1,56.65
Romania,ROU,1,48.78
Russia,RUS,1,14.42
Saudi Arabia,SAU,1,80.54
Senegal,SEN,1,89.42
Serbia,SRB,1,27.68
Seychelles,SYC,1,75.98
Singapore,SGP,1,5.17
Slovakia,SVK,1,34.78
Slovenia,SVN,1,20.99
South Africa,ZAF,1,80.54
South Korea,KOR,1,4.68
Spain,ESP,1,30.24
Swaziland,SWZ,1,91.08
Sweden,SWE,1,25.3
Switzerland,CHE,1,22.89
Syria,SYR,1,73.23
Taiwan,TWN,1,7.59
Tanzania,TZA,1,78.74
Thailand,THA,1,58.13
Togo,TGO,1,84.77
Trinidad and Tobago,TTO,1,59.39
Tunisia,TUN,1,79.41
Turkey,TUR,1,44.2
Uganda,UGA,1,94.24
Ukraine,UKR,1,41.21
United Arab Emirates,ARE,1,48.63
United Kingdom,GBR,1,30.02
United States,USA,1,21.87
Uruguay,URY,1,56.81
Venezuela,VEN,1,64.83
Vietnam,VNM,1,28.02
Yemen,YEM,1,84.94
Zambia,ZMB,1,92.95
