Entity,Code,Year,"Share of students achieving the advanced threshold (Altinok, Angrist, and Patrinos (2018))  (%)"
Albania,ALB,2000,2.69
Albania,ALB,2005,3.1
Albania,ALB,2010,2.16
Albania,ALB,2015,5.32
Algeria,DZA,2005,1.5
Algeria,DZA,2015,0
Argentina,ARG,1995,4.37
Argentina,ARG,2000,4.2
Argentina,ARG,2005,3.11
Argentina,ARG,2010,2.51
Argentina,ARG,2015,2.09
Argentina (Buenos Aires),,2015,2.68
Armenia,ARM,2005,9
Armenia,ARM,2010,16.39
Australia,AUS,1970,16.09
Australia,AUS,1975,13.26
Australia,AUS,1980,23.63
Australia,AUS,1985,12.71
Australia,AUS,1990,13.19
Australia,AUS,1995,18.42
Australia,AUS,2000,20.43
Australia,AUS,2005,17.84
Australia,AUS,2010,20.61
Australia,AUS,2015,21.38
Austria,AUT,1995,27.56
Austria,AUT,2000,25.26
Austria,AUT,2005,23.59
Austria,AUT,2010,18.65
Austria,AUT,2015,23.35
Azerbaijan,AZE,2005,5.37
Azerbaijan,AZE,2010,7.98
Bahrain,BHR,2005,1.92
Bahrain,BHR,2010,3.49
Bahrain,BHR,2015,6.89
Belgium,BEL,2000,25.46
Belgium,BEL,2005,31.13
Belgium,BEL,2010,30.74
Belgium,BEL,2015,27.84
Belgium Flemish,,1970,19.52
Belgium Flemish,,1975,23.58
Belgium Flemish,,1980,26.87
Belgium Flemish,,1985,19.22
Belgium Flemish,,1990,23.32
Belgium Flemish,,1995,32.08
Belgium Flemish,,2000,35.77
Belgium Flemish,,2005,32.32
Belgium Flemish,,2010,33.73
Belgium Flemish,,2015,29.71
Belgium French,,1970,33.99
Belgium French,,1975,33.87
Belgium French,,1980,28.64
Belgium French,,1985,18.41
Belgium French,,1990,16.96
Belgium French,,1995,15.76
Benin,BEN,2005,0
Bolivia,BOL,1995,1.45
Bosnia and Herzegovina,BIH,2005,7.65
Botswana,BWA,2000,1.89
Botswana,BWA,2005,0.64
Botswana,BWA,2010,1.7
Botswana,BWA,2015,2.12
Brazil,BRA,1990,0
Brazil,BRA,1995,1.01
Brazil,BRA,2000,1.1
Brazil,BRA,2005,1.93
Brazil,BRA,2010,1.88
Brazil,BRA,2015,1.66
Bulgaria,BGR,1995,28.53
Bulgaria,BGR,2000,18.45
Bulgaria,BGR,2005,13.14
Bulgaria,BGR,2010,8.78
Bulgaria,BGR,2015,20.62
Burkina Faso,BFA,1995,0
Burkina Faso,BFA,2005,0
Burundi,BDI,2000,0
Burundi,BDI,2010,0
Cameroon,CMR,1995,0
Cameroon,CMR,2005,0
Canada,CAN,1985,18.13
Canada,CAN,1990,18.69
Canada,CAN,1995,19.27
Canada,CAN,2000,21.52
