Entity,Code,Year,"Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018))  (%)"
Albania,ALB,2000,21.28
Albania,ALB,2005,27
Albania,ALB,2010,25.43
Albania,ALB,2015,38.88
Algeria,DZA,2005,17.22
Algeria,DZA,2015,13.31
Argentina,ARG,1995,25.97
Argentina,ARG,2000,27.02
Argentina,ARG,2005,31.07
Argentina,ARG,2010,29.83
Argentina,ARG,2015,33.46
Argentina (Buenos Aires),,2015,34.66
Armenia,ARM,2005,59.45
Armenia,ARM,2010,60.12
Australia,AUS,1970,62.59
Australia,AUS,1975,58.63
Australia,AUS,1980,82.45
Australia,AUS,1985,56.71
Australia,AUS,1990,60.3
Australia,AUS,1995,70.72
Australia,AUS,2000,73.74
Australia,AUS,2005,71.04
Australia,AUS,2010,70.9
Australia,AUS,2015,71.94
Austria,AUT,1995,80.97
Austria,AUT,2000,76.33
Austria,AUT,2005,72.42
Austria,AUT,2010,72.83
Austria,AUT,2015,70.12
Azerbaijan,AZE,2005,62.37
Azerbaijan,AZE,2010,41.12
Bahrain,BHR,2005,27.18
Bahrain,BHR,2010,32.56
Bahrain,BHR,2015,47.51
Belgium,BEL,2000,68.45
Belgium,BEL,2005,72.18
Belgium,BEL,2010,74.41
Belgium,BEL,2015,72.55
Belgium Flemish,,1970,61.43
Belgium Flemish,,1975,69.97
Belgium Flemish,,1980,81.46
Belgium Flemish,,1985,63.9
Belgium Flemish,,1990,70.28
Belgium Flemish,,1995,83.88
Belgium Flemish,,2000,85.88
Belgium Flemish,,2005,87.25
Belgium Flemish,,2010,85.78
Belgium Flemish,,2015,84.75
Belgium French,,1970,82.96
Belgium French,,1975,82.33
Belgium French,,1980,86.78
Belgium French,,1985,61.1
Belgium French,,1990,63.84
Belgium French,,1995,72.38
Benin,BEN,2005,8.79
Bolivia,BOL,1995,15.16
Bosnia and Herzegovina,BIH,2005,52.48
Botswana,BWA,2000,14.3
Botswana,BWA,2005,10.93
Botswana,BWA,2010,18.2
Botswana,BWA,2015,29.1
Brazil,BRA,1990,0
Brazil,BRA,1995,16.89
Brazil,BRA,2000,8.26
Brazil,BRA,2005,21.82
Brazil,BRA,2010,24.21
Brazil,BRA,2015,28.31
Bulgaria,BGR,1995,70.74
Bulgaria,BGR,2000,67.85
Bulgaria,BGR,2005,59.43
Bulgaria,BGR,2010,44.3
Bulgaria,BGR,2015,61
Burkina Faso,BFA,1995,0
Burkina Faso,BFA,2005,6.3
Burundi,BDI,2000,9.45
Burundi,BDI,2010,17.05
Cameroon,CMR,1995,0
Cameroon,CMR,2005,14.38
Canada,CAN,1985,67.61
Canada,CAN,1990,71.61
Canada,CAN,1995,75.85
Canada,CAN,2000,78.37
Canada,CAN,2005,78.8
Canada,CAN,2010,79.22
Canada,CAN,2015,80.02
Canada (Alberta),,1990,67.01
Canada (Alberta),,2005,71.72
Canada (Alberta),,2010,74.49
Canada (British Colombia),,1980,68.15
Canada (British Colombia),,1985,58.62
Canada (British Colombia),,1990,57.31
Canada (British Colombia),,1995,60.3
Canada (British Colombia),,2000,64.27
Canada (British Colombia),,2005,70.75
Canada (Nova Scotia),,1990,53.32
Canada (Ontario),,1980,67.6
Canada (Ontario),,1985,61.39
Canada (Ontario),,1990,60.78
Canada (Ontario),,1995,62.59
Canada (Ontario),,2000,69.04
Canada (Ontario),,2005,79.11
Canada (Ontario),,2010,77.87
Canada (Ontario),,2015,78.95
Canada (Quebec),,1990,68.11
Canada (Quebec),,2000,66.34
Canada (Quebec),,2005,83.93
Canada (Quebec),,2010,84.77
Canada (Quebec),,2015,88.5
Chad,TCD,2005,9.22
Chad,TCD,2010,19.86
Chile,CHL,1970,11.08
Chile,CHL,1975,8.72
Chile,CHL,1980,9.74
Chile,CHL,1985,16.29
Chile,CHL,1990,17.4
Chile,CHL,1995,10.55
Chile,CHL,2000,13.1
Chile,CHL,2005,28.55
Chile,CHL,2010,32.49
Chile,CHL,2015,47.9
China,CHN,2000,77.6
China,CHN,2010,90.82
China,CHN,2015,78.43
Colombia,COL,1995,10.11
Colombia,COL,2000,6.71
Colombia,COL,2005,18.97
Colombia,COL,2010,21.14
Colombia,COL,2015,25.92
Comoros,COM,2010,17.89
Costa Rica,CRI,2005,42.14
Costa Rica,CRI,2010,35.13
Costa Rica,CRI,2015,30
