Entity,Code,Year,"Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018))  (%)"
Albania,ALB,2000,57.75
Albania,ALB,2005,60.15
Albania,ALB,2010,61.32
Albania,ALB,2015,70.65
Algeria,DZA,2005,58.11
Algeria,DZA,2015,51.31
Argentina,ARG,1995,67.99
Argentina,ARG,2000,60.36
Argentina,ARG,2005,64.89
Argentina,ARG,2010,65.95
Argentina,ARG,2015,70.86
Argentina (Buenos Aires),,2015,67.75
Armenia,ARM,2005,87.98
Armenia,ARM,2010,86.13
Australia,AUS,1970,86.29
Australia,AUS,1975,85.27
Australia,AUS,1980,93.11
Australia,AUS,1985,83.53
Australia,AUS,1990,86.47
Australia,AUS,1995,91.57
Australia,AUS,2000,93.58
Australia,AUS,2005,91.51
Australia,AUS,2010,91.1
Australia,AUS,2015,91.53
Austria,AUT,1995,96.05
Austria,AUT,2000,92.16
Austria,AUT,2005,88.14
Austria,AUT,2010,89.56
Austria,AUT,2015,88.51
Azerbaijan,AZE,2005,94.39
Azerbaijan,AZE,2010,77.46
Bahrain,BHR,2005,63.89
Bahrain,BHR,2010,67.34
Bahrain,BHR,2015,80.6
Belgium,BEL,2000,88.03
Belgium,BEL,2005,87.36
Belgium,BEL,2010,90.2
Belgium,BEL,2015,89.08
Belgium Flemish,,1970,92.39
Belgium Flemish,,1975,95.6
Belgium Flemish,,1980,92.07
Belgium Flemish,,1985,86.6
Belgium Flemish,,1990,90.14
Belgium Flemish,,1995,97.01
Belgium Flemish,,2000,96.51
Belgium Flemish,,2005,95.14
Belgium Flemish,,2010,97.21
Belgium Flemish,,2015,96.38
Belgium French,,1970,95.38
Belgium French,,1975,94.3
Belgium French,,1980,93.3
Belgium French,,1985,85.16
Belgium French,,1990,88.23
Belgium French,,1995,93.32
Benin,BEN,2005,24.35
Bolivia,BOL,1995,53.61
Bosnia and Herzegovina,BIH,2005,82.44
Botswana,BWA,2000,50.88
Botswana,BWA,2005,49.03
Botswana,BWA,2010,54.97
Botswana,BWA,2015,64.35
Brazil,BRA,1990,47.71
Brazil,BRA,1995,56.63
Brazil,BRA,2000,44.23
Brazil,BRA,2005,57.6
Brazil,BRA,2010,63.03
Brazil,BRA,2015,63.31
Bulgaria,BGR,1995,91.46
Bulgaria,BGR,2000,89.6
Bulgaria,BGR,2005,84.27
Bulgaria,BGR,2010,74.07
Bulgaria,BGR,2015,78.88
Burkina Faso,BFA,1995,14.43
Burkina Faso,BFA,2005,37.14
Burundi,BDI,2000,51.51
Burundi,BDI,2010,47.54
Cameroon,CMR,1995,24.07
Cameroon,CMR,2005,44.5
Canada,CAN,1985,89.26
Canada,CAN,1990,92.09
Canada,CAN,1995,95.01
Canada,CAN,2000,95.97
Canada,CAN,2005,96.02
Canada,CAN,2010,96.06
Canada,CAN,2015,96.1
Canada (Alberta),,1990,88.6
Canada (Alberta),,2005,92.16
Canada (Alberta),,2010,94.26
Canada (British Colombia),,1980,86
Canada (British Colombia),,1985,83.05
Canada (British Colombia),,1990,85.28
Canada (British Colombia),,1995,87.64
Canada (British Colombia),,2000,90.93
Canada (British Colombia),,2005,92.73
Canada (Nova Scotia),,1990,82.6
Canada (Ontario),,1980,87.75
Canada (Ontario),,1985,85.66
Canada (Ontario),,1990,88.36
Canada (Ontario),,1995,91.48
Canada (Ontario),,2000,95.79
Canada (Ontario),,2005,96.01
Canada (Ontario),,2010,94.89
Canada (Ontario),,2015,95.57
Canada (Quebec),,1990,89.08
Canada (Quebec),,2000,87.79
Canada (Quebec),,2005,98.21
Canada (Quebec),,2010,97.59
Canada (Quebec),,2015,98.21
Chad,TCD,2005,25.25
Chad,TCD,2010,44.04
Chile,CHL,1970,40.79
Chile,CHL,1975,40.13
Chile,CHL,1980,45.55
Chile,CHL,1985,57.87
Chile,CHL,1990,60.44
Chile,CHL,1995,53.03
Chile,CHL,2000,58.48
Chile,CHL,2005,63.73
Chile,CHL,2010,66.76
Chile,CHL,2015,76.33
China,CHN,2000,94.97
China,CHN,2010,97.03
China,CHN,2015,91.63
Colombia,COL,1995,49.11
Colombia,COL,2000,48.6
Colombia,COL,2005,56.91
Colombia,COL,2010,62.6
Colombia,COL,2015,65.59
Comoros,COM,2010,41.54
Costa Rica,CRI,2005,75.71
Costa Rica,CRI,2010,71.47
Costa Rica,CRI,2015,67.97
Cote d'Ivoire,CIV,1995,0
Cote d'Ivoire,CIV,2005,24.82
Cote d'Ivoire,CIV,2010,37.15
Croatia,HRV,2000,72.87
Croatia,HRV,2005,85.67
Croatia,HRV,2010,84.35
Croatia,HRV,2015,84.11
Cuba,CUB,1995,95.42
Cuba,CUB,2005,84.49
Cyprus,CYP,1990,87.59
Cyprus,CYP,1995,83.74
Cyprus,CYP,2000,86.14
Cyprus,CYP,2005,84.02
Cyprus,CYP,2010,89.89
Cyprus,CYP,2015,90.7
Czech Republic,CZE,1995,97.67
Czech Republic,CZE,2000,94.45
Czech Republic,CZE,2005,93.48
Czech Republic,CZE,2010,89.56
Czech Republic,CZE,2015,88.64
Democratic Republic of Congo,COD,2010,49.71
Denmark,DNK,2000,92.49
Denmark,DNK,2005,91.87
Denmark,DNK,2010,91.99
Denmark,DNK,2015,93.33
Dominican Republic,DOM,1995,31.31
Dominican Republic,DOM,2005,38.79
Dominican Republic,DOM,2015,43.1
Ecuador,ECU,2005,50.63
Ecuador,ECU,2010,54.41
Ecuador,ECU,2015,65.36
Egypt,EGY,2005,64.37
Egypt,EGY,2010,63.96
Egypt,EGY,2015,64.34
El Salvador,SLV,2005,50.82
England,,1970,82.86
England,,1975,79.79
England,,1980,79.02
England,,1985,89.36
England,,1990,86.4
England,,1995,80.51
England,,2000,89.22
England,,2005,91.89
England,,2010,91.91
England,,2015,93.78
Estonia,EST,2005,97.13
Estonia,EST,2010,94.78
Estonia,EST,2015,94.71
Finland,FIN,1970,69.62
Finland,FIN,1975,70.28
Finland,FIN,1980,64.53
Finland,FIN,1985,76.39
Finland,FIN,1990,79.15
Finland,FIN,1995,87.27
Finland,FIN,2000,96.68
Finland,FIN,2005,97.57
Finland,FIN,2010,95.62
Finland,FIN,2015,93.31
France,FRA,1970,88.61
France,FRA,1975,89.88
France,FRA,1980,94.35
France,FRA,1985,87.98
France,FRA,1990,90.05
France,FRA,1995,97.4
France,FRA,2000,92.18
France,FRA,2005,83.51
France,FRA,2010,88.32
France,FRA,2015,88.25
Gabon,GAB,2005,35.11
Gambia,GMB,2000,36.53
Georgia,GEO,2005,72
Georgia,GEO,2010,72.72
Georgia,GEO,2015,80.5
Germany,DEU,1975,96.65
Germany,DEU,1985,85.79
Germany,DEU,1990,88.44
Germany,DEU,1995,91.36
Germany,DEU,2000,84.09
Germany,DEU,2005,88.7
Germany,DEU,2010,91.27
Germany,DEU,2015,91.69
Ghana,GHA,2005,37.47
Ghana,GHA,2010,45.9
Greece,GRC,1990,86.94
Greece,GRC,1995,85.63
Greece,GRC,2000,78.85
Greece,GRC,2005,80.01
Greece,GRC,2010,83.49
Greece,GRC,2015,81.1
Guatemala,GTM,2005,48.58
Guatemala,GTM,2010,50.37
Guatemala,GTM,2015,57.8
Honduras,HND,1995,9.58
Honduras,HND,2010,48.46
Hong Kong,HKG,1980,86.95
Hong Kong,HKG,1985,80.56
Hong Kong,HKG,1990,87.92
Hong Kong,HKG,1995,97.19
Hong Kong,HKG,2000,98.62
Hong Kong,HKG,2005,97.41
Hong Kong,HKG,2010,97.19
Hong Kong,HKG,2015,98.41
Hungary,HUN,1970,94.21
Hungary,HUN,1975,94.33
Hungary,HUN,1980,89.87
Hungary,HUN,1985,92.91
Hungary,HUN,1990,92.8
Hungary,HUN,1995,94.79
Hungary,HUN,2000,94.79
Hungary,HUN,2005,94.02
Hungary,HUN,2010,91.18
Hungary,HUN,2015,91.35
Iceland,ISL,1990,86.56
Iceland,ISL,1995,89.88
Iceland,ISL,2000,92.82
Iceland,ISL,2005,89.05
Iceland,ISL,2010,91.08
Iceland,ISL,2015,87.89
India,IND,2010,52.16
Indonesia,IDN,2000,62.38
Indonesia,IDN,2005,65.44
Indonesia,IDN,2010,62.81
Indonesia,IDN,2015,59.73
Iran,IRN,1970,51.92
Iran,IRN,1975,54.77
Iran,IRN,1980,57.81
Iran,IRN,1985,61.05
Iran,IRN,1990,64.5
Iran,IRN,1995,68.17
Iran,IRN,2000,68.74
Iran,IRN,2005,65.76
Iran,IRN,2010,67.03
Iran,IRN,2015,72.65
Ireland,IRL,1990,81.31
Ireland,IRL,1995,93.74
Ireland,IRL,2000,91.86
Ireland,IRL,2005,89.66
Ireland,IRL,2010,90.57
Ireland,IRL,2015,95.29
Israel,ISR,1990,86.66
Israel,ISR,1995,92.85
Israel,ISR,2000,75.91
Israel,ISR,2005,85.85
Israel,ISR,2010,86.39
Israel,ISR,2015,88.77
Italy,ITA,1970,85.24
Italy,ITA,1975,86.14
Italy,ITA,1985,82.39
Italy,ITA,1990,83.85
Italy,ITA,1995,87.44
Italy,ITA,2000,86.06
Italy,ITA,2005,88.94
Italy,ITA,2010,90.74
Italy,ITA,2015,91.51
Japan,JPN,1970,91.63
Japan,JPN,1975,92.27
Japan,JPN,1980,93.39
Japan,JPN,1985,95.14
Japan,JPN,1990,96.79
Japan,JPN,1995,98.61
Japan,JPN,2000,98.38
Japan,JPN,2005,97.82
Japan,JPN,2010,97.6
Japan,JPN,2015,98.13
Jordan,JOR,1990,55.66
Jordan,JOR,2000,69.59
Jordan,JOR,2005,71.76
Jordan,JOR,2010,71.37
Jordan,JOR,2015,59.24
Kazakhstan,KAZ,2000,89.35
Kazakhstan,KAZ,2005,92.83
Kazakhstan,KAZ,2010,72.32
Kazakhstan,KAZ,2015,93
Kenya,KEN,1995,77.69
Kenya,KEN,2000,72.2
Kenya,KEN,2005,59.03
Kuwait,KWT,2005,45.29
Kuwait,KWT,2010,43.26
Kuwait,KWT,2015,54.47
Kyrgyzstan,KGZ,2005,50.06
