Entity,Code,Year,Percentage of pupils at end of primary education achieving at least a minimum proficiency level in mathematics (GEM Report (2017/8)) (%)
Argentina,ARG,2015,63
Armenia,ARM,2015,72
Australia,AUS,2015,96
Austria,AUT,2015,95
Azerbaijan,AZE,2015,71
Benin,BEN,2015,40
Brazil,BRA,2015,60
Bulgaria,BGR,2015,92
Burkina Faso,BFA,2015,59
Burundi,BDI,2015,87
Cameroon,CMR,2015,35
Chad,TCD,2015,19
Chile,CHL,2015,84
Colombia,COL,2015,58
Congo,COG,2015,29
Costa Rica,CRI,2015,70
Cote d'Ivoire,CIV,2015,27
Croatia,HRV,2015,93
Czech Republic,CZE,2015,96
Dominican Republic,DOM,2015,20
Ecuador,ECU,2015,55
France,FRA,2015,87
Germany,DEU,2015,96
Guatemala,GTM,2015,44
Honduras,HND,2015,38
Hungary,HUN,2015,92
Italy,ITA,2015,93
Kazakhstan,KAZ,2015,96
Kuwait,KWT,2015,33
Lebanon,LBN,2015,33
Lithuania,LTU,2015,96
Mexico,MEX,2015,77
Nicaragua,NIC,2015,29
Niger,NER,2015,8
Panama,PAN,2015,33
Paraguay,PRY,2015,31
Peru,PER,2015,62
Romania,ROU,2015,79
Russia,RUS,2015,98
Senegal,SEN,2015,59
Serbia,SRB,2015,90
Slovakia,SVK,2015,88
Togo,TGO,2015,48
Turkey,TUR,2015,81
United Arab Emirates,ARE,2015,68
Uruguay,URY,2015,74
