Entity,Code,Year,Percentage of pupils in early primary education grades (2 or 3) achieving at least a minimum proficiency level in mathematics (GEM Report (2017/8)) (%)
Argentina,ARG,2015,61
Australia,AUS,2015,91
Bahrain,BHR,2015,72
Benin,BEN,2015,34
Brazil,BRA,2015,63
Burkina Faso,BFA,2015,59
Burundi,BDI,2015,97
Cameroon,CMR,2015,55
Canada,CAN,2015,93
Chad,TCD,2015,48
Chile,CHL,2015,78
Colombia,COL,2015,52
Congo,COG,2015,71
Costa Rica,CRI,2015,77
Cote d'Ivoire,CIV,2015,34
Cyprus,CYP,2015,93
Denmark,DNK,2015,96
Dominican Republic,DOM,2015,15
Ecuador,ECU,2015,52
Finland,FIN,2015,97
Georgia,GEO,2015,78
Guatemala,GTM,2015,40
Honduras,HND,2015,44
Hong Kong,HKG,2015,100
Indonesia,IDN,2015,50
Iran,IRN,2015,65
Ireland,IRL,2015,97
Japan,JPN,2015,99
Jordan,JOR,2015,50
Kenya,KEN,2015,32
Malta,MLT,2015,89
Mexico,MEX,2015,70
Morocco,MAR,2015,41
Netherlands,NLD,2015,99
New Zealand,NZL,2015,84
Nicaragua,NIC,2015,32
Niger,NER,2015,28
Norway,NOR,2015,98
Oman,OMN,2015,61
Panama,PAN,2015,40
Paraguay,PRY,2015,33
Peru,PER,2015,60
Poland,POL,2015,96
Portugal,PRT,2015,97
Qatar,QAT,2015,64
Saudi Arabia,SAU,2015,43
Senegal,SEN,2015,62
Singapore,SGP,2015,99
Slovenia,SVN,2015,95
South Africa,ZAF,2015,39
South Korea,KOR,2015,100
Spain,ESP,2015,93
Sweden,SWE,2015,95
Tanzania,TZA,2015,44
Thailand,THA,2015,78
Togo,TGO,2015,41
Tunisia,TUN,2015,33
Turkey,TUR,2015,82
Uganda,UGA,2015,13
United States,USA,2015,95
Uruguay,URY,2015,68
Yemen,YEM,2015,8
