Entity,Code,Year,"Percentage of teachers in secondary education who are trained, both sexes (%) (%)"
Andorra,AND,2013,100
Andorra,AND,2014,100
Antigua and Barbuda,ATG,2000,47.2081184387207
Antigua and Barbuda,ATG,2009,41.2979393005371
Antigua and Barbuda,ATG,2010,42.9394798278809
Antigua and Barbuda,ATG,2011,47.0255012512207
Antigua and Barbuda,ATG,2014,55.1928787231445
Arab World,,2013,79.1202697753906
Arab World,,2014,75.4135284423828
Aruba,ABW,1999,100
Aruba,ABW,2000,100
Aruba,ABW,2001,100
Aruba,ABW,2002,100
Aruba,ABW,2003,95.8785171508789
Aruba,ABW,2004,95.1983337402344
Aruba,ABW,2005,91.8326721191406
Aruba,ABW,2006,93.2432403564453
Aruba,ABW,2008,98.9189224243164
Aruba,ABW,2009,96.2025299072266
Aruba,ABW,2010,96.2406005859375
Aruba,ABW,2011,95.8333282470703
Aruba,ABW,2012,95.8558578491211
Bahamas,BHS,2002,98.7353591918945
Bahamas,BHS,2005,90.6131134033203
Bahamas,BHS,2006,89.8006973266602
Bahamas,BHS,2007,85.9397430419922
Bahamas,BHS,2008,87.4079513549805
Bahamas,BHS,2009,85.9712219238281
Bahamas,BHS,2010,89.0024719238281
Bahrain,BHR,2011,81.1318435668945
Bahrain,BHR,2012,82.5468368530273
Bahrain,BHR,2013,82.9885330200195
Bahrain,BHR,2014,83.2676696777344
Bangladesh,BGD,1998,27.9104804992676
Bangladesh,BGD,1999,28.6082000732422
Bangladesh,BGD,2000,29.7193908691406
Bangladesh,BGD,2001,28.1306400299072
Bangladesh,BGD,2002,29.149040222168
Bangladesh,BGD,2003,31.2794895172119
Bangladesh,BGD,2004,31.5293598175049
Bangladesh,BGD,2007,39.1066017150879
Bangladesh,BGD,2008,50.0169906616211
Bangladesh,BGD,2009,50.1607398986816
Bangladesh,BGD,2010,49.830020904541
Bangladesh,BGD,2011,53.5835800170898
Bangladesh,BGD,2012,53.2764282226563
Bangladesh,BGD,2013,58.0366897583008
Barbados,BRB,1999,63.8211402893066
Barbados,BRB,2000,66.8312835693359
Barbados,BRB,2001,71.0743789672852
Barbados,BRB,2002,75.037712097168
Barbados,BRB,2003,77.8421401977539
Barbados,BRB,2004,62.8164596557617
Barbados,BRB,2005,60.4599418640137
Barbados,BRB,2006,57.132869720459
Belarus,BLR,2013,95.4965362548828
Belarus,BLR,2014,96.0267333984375
Belize,BLZ,2000,54.4176712036133
Belize,BLZ,2001,39.0243911743164
Belize,BLZ,2003,40.9016418457031
Belize,BLZ,2004,46.2041893005371
Belize,BLZ,2006,35.8414688110352
Belize,BLZ,2007,36.9153709411621
Belize,BLZ,2008,34.7139015197754
Belize,BLZ,2009,33.9314002990723
Belize,BLZ,2010,37.8017501831055
Belize,BLZ,2011,35.9223289489746
Belize,BLZ,2012,38.9355697631836
Belize,BLZ,2013,35.4442291259766
Belize,BLZ,2014,44.6505012512207
Benin,BEN,2000,37.3661117553711
Benin,BEN,2014,8.70310020446777
Bermuda,BMU,2001,100
Bermuda,BMU,2002,100
Bermuda,BMU,2003,100
Bermuda,BMU,2004,100
Bermuda,BMU,2005,100
Bermuda,BMU,2006,100
Bermuda,BMU,2011,100
Bermuda,BMU,2012,100
Bermuda,BMU,2013,78.5987319946289
Bermuda,BMU,2014,100
Bhutan,BTN,1999,100
Bhutan,BTN,2008,83.2725601196289
Botswana,BWA,1998,81.7635879516602
Botswana,BWA,1999,83.7960510253906
Botswana,BWA,2000,87.5226364135742
Botswana,BWA,2001,91.2390518188477
Botswana,BWA,2002,94.9642333984375
Botswana,BWA,2003,95.5569305419922
Botswana,BWA,2004,90.3725204467773
Botswana,BWA,2005,96.9583587646484
Botswana,BWA,2006,98.9094619750977
Botswana,BWA,2007,99.1241683959961
Botswana,BWA,2013,99.6553573608398
Brunei,BRN,2005,85.1724090576172
Brunei,BRN,2006,90.4582824707031
Brunei,BRN,2007,81.6331329345703
Brunei,BRN,2008,90.8312683105469
Brunei,BRN,2009,88.4155578613281
Brunei,BRN,2011,90.8819427490234
Brunei,BRN,2012,92.3536224365234
Brunei,BRN,2013,87.7828063964844
Brunei,BRN,2014,91.3603286743164
Burkina Faso,BFA,2009,50.0356101989746
Burkina Faso,BFA,2011,48.0336685180664
Burkina Faso,BFA,2012,48.3297004699707
Burkina Faso,BFA,2013,48.8618316650391
Burkina Faso,BFA,2014,46.9109992980957
Burundi,BDI,2003,36.8927803039551
Burundi,BDI,2011,72.3781585693359
Burundi,BDI,2012,74.8956909179688
Burundi,BDI,2014,72.3537292480469
Cambodia,KHM,2001,99.576057434082
Cambodia,KHM,2002,99.0453186035156
Cambodia,KHM,2006,98.9656372070313
Cambodia,KHM,2007,99.3555374145508
Cameroon,CMR,2013,45.642448425293
Cameroon,CMR,2014,53.6442604064941
Cape Verde,CPV,2003,61.9799118041992
Cape Verde,CPV,2004,60.6931114196777
Cape Verde,CPV,2005,62.070499420166
Cape Verde,CPV,2007,75.4929580688477
Cape Verde,CPV,2008,78.9566802978516
Cape Verde,CPV,2009,80.7853698730469
Cape Verde,CPV,2010,81.2606506347656
Cape Verde,CPV,2012,86.0937881469727
Cape Verde,CPV,2014,86.8830490112305
Cayman Islands,CYM,1999,100
Cayman Islands,CYM,2000,100
Cayman Islands,CYM,2001,100
