Entity,Code,Year,"Percentage of teachers in upper secondary education who are trained, both sexes (%) (%)"
Antigua and Barbuda,ATG,2000,61.983470916748
Antigua and Barbuda,ATG,2007,66.735107421875
Antigua and Barbuda,ATG,2009,45.3020095825195
Antigua and Barbuda,ATG,2010,48.307689666748
Arab World,,2013,73.7761077880859
Arab World,,2014,77.0953521728516
Bahamas,BHS,2002,97.5719375610352
Bahamas,BHS,2005,91.4606704711914
Bahamas,BHS,2006,90.68994140625
Bahamas,BHS,2007,86.6972503662109
Bahamas,BHS,2008,88.370246887207
Bahamas,BHS,2009,88.3424377441406
Bahamas,BHS,2010,89.0029296875
Bahrain,BHR,2011,81.8796615600586
Bahrain,BHR,2012,82.8251419067383
Bahrain,BHR,2013,83.4751892089844
Bahrain,BHR,2014,83.7176132202148
Bangladesh,BGD,1998,18.8419094085693
Bangladesh,BGD,1999,20.5509796142578
Bangladesh,BGD,2000,22.4078102111816
Bangladesh,BGD,2001,20.8274002075195
Bangladesh,BGD,2002,21.3068695068359
Bangladesh,BGD,2003,25.2542591094971
Bangladesh,BGD,2004,25.6294593811035
Bangladesh,BGD,2007,32.9551391601563
Bangladesh,BGD,2008,42.0010681152344
Bangladesh,BGD,2009,41.7185096740723
Bangladesh,BGD,2010,40.6939010620117
Bangladesh,BGD,2011,46.8084716796875
Bangladesh,BGD,2012,45.7956886291504
Bangladesh,BGD,2013,56.1869010925293
Belarus,BLR,2013,90.0025863647461
Belarus,BLR,2014,91.14990234375
Belize,BLZ,2000,54.7169799804688
Belize,BLZ,2001,40.8888893127441
Belize,BLZ,2003,40.9396018981934
Belize,BLZ,2004,43.0769195556641
Belize,BLZ,2006,34.1414108276367
Belize,BLZ,2007,32.688591003418
Belize,BLZ,2008,30.3326797485352
Belize,BLZ,2009,29.708740234375
Belize,BLZ,2010,34.442268371582
Belize,BLZ,2011,18.9138603210449
Belize,BLZ,2012,30.9401702880859
Belize,BLZ,2013,28.4991607666016
Belize,BLZ,2014,36.1921081542969
Benin,BEN,2000,33.2454681396484
Benin,BEN,2014,7.42035007476807
Bermuda,BMU,2001,100
Bermuda,BMU,2002,100
Bermuda,BMU,2003,100
Bermuda,BMU,2004,100
Bermuda,BMU,2005,100
Bermuda,BMU,2006,100
Bermuda,BMU,2011,100
Bermuda,BMU,2012,100
Bermuda,BMU,2013,73.684211730957
Bermuda,BMU,2014,100
Bhutan,BTN,1999,100
Bhutan,BTN,2008,72.1564025878906
Bolivia,BOL,2000,79.5360336303711
