Entity,Code,Year, (%)
Afghanistan,AFG,2010,1
Albania,ALB,2010,1.4
Algeria,DZA,2010,1.8
American Samoa,ASM,2010,1
Andorra,AND,2010,8.8
Angola,AGO,2010,5.1
Anguilla,AIA,2010,4
Antigua and Barbuda,ATG,2010,1.7
Argentina,ARG,2010,12.2
Armenia,ARM,2010,1.3
Aruba,ABW,2010,6
Asia-Pacific,,2010,21.2
Australia,AUS,2010,24.2
Austria,AUT,2010,13.5
Azerbaijan,AZE,2010,1
Bahamas,BHS,2010,3.1
Bahrain,BHR,2010,1.9
Bangladesh,BGD,2010,1
Barbados,BRB,2010,1.9
Belarus,BLR,2010,28.6
Belgium,BEL,2010,29
Belize,BLZ,2010,8.9
Benin,BEN,2010,5
Bermuda,BMU,2010,19.4
Bhutan,BTN,2010,1
Bolivia,BOL,2010,4.1
Bosnia and Herzegovina,BIH,2010,2.5
Botswana,BWA,2010,20.6
Brazil,BRA,2010,7.9
British Virgin Islands,VGB,2010,3.9
Brunei,BRN,2010,1
Bulgaria,BGR,2010,4.2
Burkina Faso,BFA,2010,1
Burundi,BDI,2010,1
Cambodia,KHM,2010,1
Cameroon,CMR,2010,5.3
Canada,CAN,2010,23.7
Cape Verde,CPV,2010,9.1
Caribbean Netherlands,OWID_NLC,2010,3.3
Cayman Islands,CYM,2010,9.4
Central African Republic,CAF,2010,1
Chad,TCD,2010,2.5
Channel Islands,OWID_CIS,2010,14.2
Chile,CHL,2010,8.6
China,CHN,2010,52.2
Colombia,COL,2010,6.6
Comoros,COM,2010,1
Congo,COG,2010,9
Cook Islands,COK,2010,3.2
Costa Rica,CRI,2010,7.9
Cote d'Ivoire,CIV,2010,8
Croatia,HRV,2010,5.1
Cuba,CUB,2010,23
Curacao,CUW,2010,3.3
Cyprus,CYP,2010,1.2
Czech Republic,CZE,2010,76.4
Democratic Republic of Congo,COD,2010,1.8
Denmark,DNK,2010,11.8
Djibouti,DJI,2010,1
Dominica,DMA,2010,1
Dominican Republic,DOM,2010,10.9
