Entity,Code,Year,UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total (%)
Albania,ALB,2001,7.4
Albania,ALB,2008,9.8
Albania,ALB,2011,12
Albania,ALB,2012,12.9
Andorra,AND,2003,27.8
Andorra,AND,2004,30.5
Andorra,AND,2005,28.1
Andorra,AND,2006,30.5
Andorra,AND,2014,32.7
Armenia,ARM,2001,42.1
Armenia,ARM,2011,47
Australia,AUS,2004,33.4
Australia,AUS,2005,34.2
Australia,AUS,2006,35.7
Australia,AUS,2007,36.7
Australia,AUS,2008,39.4
Australia,AUS,2009,40.6
Australia,AUS,2010,41.8
Australia,AUS,2011,42.7
Australia,AUS,2012,46.5
Australia,AUS,2013,41.6
Australia,AUS,2014,39
Austria,AUT,2005,23.8
Austria,AUT,2007,23.9
Austria,AUT,2008,23.6
Austria,AUT,2009,25.6
Austria,AUT,2010,26.2
Austria,AUT,2011,26.3
Austria,AUT,2012,27
Austria,AUT,2013,27.8
Austria,AUT,2014,28.4
Azerbaijan,AZE,1999,32.6
Azerbaijan,AZE,2007,33.3
Azerbaijan,AZE,2008,33.4
Azerbaijan,AZE,2009,29.8
Azerbaijan,AZE,2010,30
Azerbaijan,AZE,2011,30
Azerbaijan,AZE,2012,30
Azerbaijan,AZE,2013,30
Azerbaijan,AZE,2014,30.1
Bahamas,BHS,2000,19.2
Bahamas,BHS,2010,31.3
Bahrain,BHR,2010,40.1
Bangladesh,BGD,2001,4.2
Barbados,BRB,2000,15.7
Belarus,BLR,2009,63.4
Belgium,BEL,2006,28.2
Belgium,BEL,2008,29.4
Belgium,BEL,2009,30.6
Belgium,BEL,2010,31.7
Belgium,BEL,2011,32.2
Belgium,BEL,2012,32.7
Belgium,BEL,2013,33
Belgium,BEL,2014,32.8
Belize,BLZ,2010,15.4
Benin,BEN,2002,2.2
Bermuda,BMU,2000,51.2
Bermuda,BMU,2010,51
Bhutan,BTN,2012,5.4
Bolivia,BOL,2001,16.8
Bolivia,BOL,2006,20.9
Bolivia,BOL,2008,20.5
Bolivia,BOL,2009,22.8
Bosnia and Herzegovina,BIH,2010,9.2
Bosnia and Herzegovina,BIH,2011,9.8
Brazil,BRA,2006,8.6
Brazil,BRA,2007,9.3
Brazil,BRA,2008,10
Brazil,BRA,2009,10.6
Brazil,BRA,2010,11.3
Brazil,BRA,2011,11.4
Brazil,BRA,2013,12.6
Burkina Faso,BFA,2006,1.8
Burkina Faso,BFA,2007,0.3
Cambodia,KHM,2007,1.8
Cambodia,KHM,2008,1.9
Cambodia,KHM,2009,2
Cameroon,CMR,2010,13.5
Canada,CAN,2006,56
Canada,CAN,2011,59.6
Cayman Islands,CYM,2004,31.2
Cayman Islands,CYM,2005,39.8
Cayman Islands,CYM,2006,37.7
Cayman Islands,CYM,2007,45.2
Cayman Islands,CYM,2008,45.2
Cayman Islands,CYM,2014,54.8
Chile,CHL,2004,13.2
China,CHN,2000,4.3
Colombia,COL,2012,20.3
Colombia,COL,2013,21.9
Colombia,COL,2014,19.7
Costa Rica,CRI,2012,21
Cuba,CUB,2002,9.4
Cuba,CUB,2012,30.7
Cyprus,CYP,2004,27.7
Cyprus,CYP,2005,27.3
Cyprus,CYP,2006,28.6
Cyprus,CYP,2007,30.9
Cyprus,CYP,2008,31.3
