Entity,Code,Year,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Total (%)
Albania,ALB,2001,75.7
Albania,ALB,2008,81.7
Albania,ALB,2011,85.2
Albania,ALB,2012,87.2
Algeria,DZA,2006,24.2
Algeria,DZA,2008,47.3
Andorra,AND,2003,42.3
Andorra,AND,2004,51.5
Andorra,AND,2005,43.9
Andorra,AND,2006,50
Andorra,AND,2014,72.8
Argentina,ARG,2001,45.9
Argentina,ARG,2003,56.4
Armenia,ARM,2001,91.1
Armenia,ARM,2011,96.6
Aruba,ABW,2000,56
Australia,AUS,2004,89.7
Australia,AUS,2005,90.9
Australia,AUS,2006,91.1
Australia,AUS,2007,91.7
Australia,AUS,2008,92.3
Australia,AUS,2009,92.2
Australia,AUS,2010,93.2
Australia,AUS,2011,93.6
Australia,AUS,2012,94.4
Australia,AUS,2013,91.1
Australia,AUS,2014,91.5
Austria,AUT,2014,98.9
Azerbaijan,AZE,1999,92.8
Azerbaijan,AZE,2007,92.7
Azerbaijan,AZE,2008,92.7
Azerbaijan,AZE,2009,95.5
Azerbaijan,AZE,2010,95.6
Azerbaijan,AZE,2011,95.6
Azerbaijan,AZE,2012,95.6
Azerbaijan,AZE,2013,95.6
Azerbaijan,AZE,2014,95.6
Bahamas,BHS,2000,90.1
Bahamas,BHS,2010,89.1
Bahrain,BHR,2001,68.3
Bahrain,BHR,2010,54.9
Bangladesh,BGD,2001,26.7
Barbados,BRB,2000,78.1
Belarus,BLR,2009,91.9
Belgium,BEL,2006,76.8
Belgium,BEL,2008,78.3
Belgium,BEL,2009,79.4
Belgium,BEL,2010,79.6
Belgium,BEL,2011,80.1
Belgium,BEL,2012,80.3
Belgium,BEL,2013,81.6
Belgium,BEL,2014,82.3
Belize,BLZ,2005,24.8
Belize,BLZ,2010,83.9
Benin,BEN,2002,14.3
Bermuda,BMU,2000,91.3
Bhutan,BTN,2012,9.6
Bolivia,BOL,2001,45.1
Bolivia,BOL,2006,42.1
Bolivia,BOL,2008,44.6
Bolivia,BOL,2009,46.9
Bolivia,BOL,2012,51.9
