Entity,Code,Year,Percentage of workforce in coal industry (%)
United Kingdom,GBR,1873,3.28
United Kingdom,GBR,1883,3.49
United Kingdom,GBR,1893,4.06
United Kingdom,GBR,1903,4.78
United Kingdom,GBR,1913,5.34
United Kingdom,GBR,1914,4.96
United Kingdom,GBR,1915,4.43
United Kingdom,GBR,1916,4.61
United Kingdom,GBR,1917,4.67
United Kingdom,GBR,1918,4.58
United Kingdom,GBR,1919,5.21
United Kingdom,GBR,1920,5.41
United Kingdom,GBR,1922,5.5
United Kingdom,GBR,1923,5.87
United Kingdom,GBR,1924,5.9
United Kingdom,GBR,1925,5.37
United Kingdom,GBR,1927,4.85
United Kingdom,GBR,1928,4.42
United Kingdom,GBR,1929,4.42
United Kingdom,GBR,1930,4.25
United Kingdom,GBR,1931,3.86
United Kingdom,GBR,1932,3.6
United Kingdom,GBR,1933,3.46
United Kingdom,GBR,1934,3.45
United Kingdom,GBR,1935,3.36
United Kingdom,GBR,1936,3.3
United Kingdom,GBR,1937,3.35
United Kingdom,GBR,1938,3.3
United Kingdom,GBR,1939,3.23
United Kingdom,GBR,1940,3.13
United Kingdom,GBR,1941,2.86
United Kingdom,GBR,1942,2.83
United Kingdom,GBR,1943,2.8
United Kingdom,GBR,1944,2.85
United Kingdom,GBR,1945,2.9
United Kingdom,GBR,1946,2.96
United Kingdom,GBR,1947,3.02
United Kingdom,GBR,1948,3.08
United Kingdom,GBR,1949,3.06
United Kingdom,GBR,1950,2.93
United Kingdom,GBR,1951,2.9
United Kingdom,GBR,1952,2.95
United Kingdom,GBR,1953,2.95
United Kingdom,GBR,1954,2.89
United Kingdom,GBR,1955,2.86
United Kingdom,GBR,1956,2.82
United Kingdom,GBR,1957,2.84
United Kingdom,GBR,1958,2.81
United Kingdom,GBR,1959,2.73
United Kingdom,GBR,1960,2.46
United Kingdom,GBR,1961,2.3
United Kingdom,GBR,1962,2.2
United Kingdom,GBR,1963,2.08
United Kingdom,GBR,1964,1.97
United Kingdom,GBR,1965,1.77
United Kingdom,GBR,1966,1.62
United Kingdom,GBR,1967,1.51
United Kingdom,GBR,1968,1.29
United Kingdom,GBR,1969,1.19
United Kingdom,GBR,1970,1.13
United Kingdom,GBR,1971,1.12
United Kingdom,GBR,1972,1.06
United Kingdom,GBR,1973,0.97
United Kingdom,GBR,1974,0.97
United Kingdom,GBR,1975,0.97
United Kingdom,GBR,1976,0.95
United Kingdom,GBR,1977,0.94
United Kingdom,GBR,1978,0.91
United Kingdom,GBR,1979,0.91
United Kingdom,GBR,1980,0.88
United Kingdom,GBR,1981,0.64
United Kingdom,GBR,1982,0.61
United Kingdom,GBR,1983,0.55
United Kingdom,GBR,1984,0.5
United Kingdom,GBR,1985,0.41
United Kingdom,GBR,1986,0.33
United Kingdom,GBR,1987,0.27
United Kingdom,GBR,1988,0.24
United Kingdom,GBR,1989,0.19
United Kingdom,GBR,1990,0.17
United Kingdom,GBR,1991,0.13
United Kingdom,GBR,1992,0.1
United Kingdom,GBR,1993,0.04
United Kingdom,GBR,1994,0.02
United Kingdom,GBR,1995,0.04
United Kingdom,GBR,1996,0.04
United Kingdom,GBR,1997,0.05
United Kingdom,GBR,1998,0.04
United Kingdom,GBR,1999,0.04
United Kingdom,GBR,2000,0.04
United Kingdom,GBR,2001,0.04
United Kingdom,GBR,2002,0.03
United Kingdom,GBR,2003,0.03
United Kingdom,GBR,2004,0.03
United Kingdom,GBR,2005,0.02
United Kingdom,GBR,2006,0.02
United Kingdom,GBR,2007,0.02
United Kingdom,GBR,2008,0.02
United Kingdom,GBR,2009,0.02
United Kingdom,GBR,2010,0.02
United Kingdom,GBR,2011,0.02
United Kingdom,GBR,2012,0.02
United Kingdom,GBR,2013,0.01
United Kingdom,GBR,2014,0.01
United Kingdom,GBR,2015,0.01
United Kingdom,GBR,2016,0
United Kingdom,GBR,2017,0
