Entity,Code,Year,Share of tobacco in total household consumption (World Bank Global Consumption Database) (%)
Afghanistan,AFG,2010,0.42864531
Albania,ALB,2010,2.0059965
Armenia,ARM,2010,3.773015
Azerbaijan,AZE,2010,4.889523
Bangladesh,BGD,2010,1.2566941
Belarus,BLR,2010,1.2215586
Benin,BEN,2010,0
Bhutan,BTN,2010,0.29343387
Bolivia,BOL,2010,0.10084815
Bosnia and Herzegovina,BIH,2010,2.1167624
Brazil,BRA,2010,0.67551643
Bulgaria,BGR,2010,6.5266166
Burkina Faso,BFA,2010,1.0478166
Burundi,BDI,2010,0.34003207
Cambodia,KHM,2010,1.0117977
Cameroon,CMR,2010,0.23387665
Cape Verde,CPV,2010,0.41211826
Chad,TCD,2010,1.0281653
China,CHN,2010,1.8472285
Colombia,COL,2010,0.19763544
Congo,COG,2010,0.19301528
Cote d'Ivoire,CIV,2010,0.62139904
Democratic Republic of Congo,COD,2010,0.53150791
Djibouti,DJI,2010,1.392995
Egypt,EGY,2010,2.4188457
El Salvador,SLV,2010,0
Ethiopia,ETH,2010,0.18311556
Fiji,FJI,2010,0.92801863
Gabon,GAB,2010,0.36085892
Gambia,GMB,2010,0.49071151
Ghana,GHA,2010,0.12891622
Guatemala,GTM,2010,0.19235408
Guinea,GIN,2010,0.41991684
Honduras,HND,2010,0.4720391
India,IND,2010,0.83098358
Indonesia,IDN,2010,5.5380054
Iraq,IRQ,2010,0.74573398
Jamaica,JAM,2010,0
Jordan,JOR,2010,3.7247012
Kazakhstan,KAZ,2010,1.8751956
Kenya,KEN,2010,0.50357533
Kyrgyzstan,KGZ,2010,0.65944958
Laos,LAO,2010,0.68571508
Latvia,LVA,2010,2.0103223
Lesotho,LSO,2010,0.53523713
Liberia,LBR,2010,0.18885687
Lithuania,LTU,2010,1.2950302
Macedonia,MKD,2010,3.206279
Madagascar,MDG,2010,2.3122675
Malawi,MWI,2010,0.13670751
Maldives,MDV,2010,1.1689608
Mali,MLI,2010,1.0110171
Mauritania,MRT,2010,0.47466621
Mauritius,MUS,2010,2.6262124
Mexico,MEX,2010,0.10259458
Moldova,MDA,2010,0.57941628
Mongolia,MNG,2010,0.85781586
Montenegro,MNE,2010,1.677079
Morocco,MAR,2010,2.2108197
Mozambique,MOZ,2010,0.13112427
Namibia,NAM,2010,0.19567798
Nepal,NPL,2010,0.9366836
Nicaragua,NIC,2010,0.4586471
Niger,NER,2010,0.89518702
Nigeria,NGA,2010,0.015958836
Pakistan,PAK,2010,1.0963081
Papua New Guinea,PNG,2010,3.1036448
Peru,PER,2010,0.05631528
Philippines,PHL,2010,1.0058239
Romania,ROU,2010,4.7583704
Russia,RUS,2010,0.61954767
Rwanda,RWA,2010,0.29251483
Sao Tome and Principe,STP,2010,0
Senegal,SEN,2010,0.3672494
Serbia,SRB,2010,3.5151513
Sierra Leone,SLE,2010,1.7843223
South Africa,ZAF,2010,0.50276625
Sri Lanka,LKA,2010,0.63988853
Swaziland,SWZ,2010,0.13228482
Tajikistan,TJK,2010,0.19165438
Tanzania,TZA,2010,0.59137422
Thailand,THA,2010,0.71806532
Timor,TLS,2010,3.1895504
Togo,TGO,2010,0.14822821
Turkey,TUR,2010,4.6889648
Uganda,UGA,2010,0.20991202
Ukraine,UKR,2010,2.246927
Vietnam,VNM,2010,1.1346433
Yemen,YEM,2010,1.4316754
Zambia,ZMB,2010,0.12239696
