Entity,Code,Year,Share of Top 1% in net personal wealth
China,CHN,1978,0.1579725
China,CHN,1979,0.157972515
China,CHN,1980,0.1579725
China,CHN,1981,0.157972515
China,CHN,1982,0.1579725
China,CHN,1983,0.1579725
China,CHN,1984,0.1579725
China,CHN,1985,0.1579725
China,CHN,1986,0.1579725
China,CHN,1987,0.1579725
China,CHN,1988,0.157972515
China,CHN,1989,0.157972515
China,CHN,1990,0.1579725
China,CHN,1991,0.1579725
China,CHN,1992,0.1579725
China,CHN,1993,0.1579725
China,CHN,1994,0.157972515
China,CHN,1995,0.1579725
China,CHN,1996,0.170144156
China,CHN,1997,0.17923221
China,CHN,1998,0.186276779
China,CHN,1999,0.191897348
China,CHN,2000,0.19648613
China,CHN,2001,0.200303286
China,CHN,2002,0.203528434
China,CHN,2003,0.205001935
China,CHN,2004,0.224525511
China,CHN,2005,0.237034768
China,CHN,2006,0.262048215
China,CHN,2007,0.284824282
China,CHN,2008,0.292496175
China,CHN,2009,0.311558098
China,CHN,2010,0.30450359
China,CHN,2011,0.279194802
China,CHN,2012,0.272453427
China,CHN,2013,0.272461355
China,CHN,2014,0.278310061
China,CHN,2015,0.296289712
France,FRA,1807,0.44135651
France,FRA,1817,0.4843947
France,FRA,1827,0.46669811
France,FRA,1837,0.45786181
France,FRA,1847,0.51181543
France,FRA,1857,0.51554412
France,FRA,1867,0.49274549
France,FRA,1877,0.45367229
France,FRA,1887,0.48943001
France,FRA,1902,0.52361208
France,FRA,1903,0.54364753
France,FRA,1904,0.56326371
France,FRA,1905,0.56903207
France,FRA,1907,0.54416227
France,FRA,1909,0.55371112
France,FRA,1910,0.5402261
France,FRA,1911,0.55407143
France,FRA,1912,0.5529986
France,FRA,1913,0.54561007
France,FRA,1914,0.54563922
France,FRA,1915,0.54002082
France,FRA,1916,0.53761017
France,FRA,1917,0.53486592
France,FRA,1918,0.52808487
France,FRA,1919,0.52001339
France,FRA,1920,0.50458509
France,FRA,1921,0.49396041
France,FRA,1922,0.48459899
France,FRA,1923,0.47731239
France,FRA,1924,0.47426939
France,FRA,1925,0.44698679
France,FRA,1926,0.45357439
France,FRA,1927,0.47740781
France,FRA,1929,0.4907321
France,FRA,1930,0.49606511
France,FRA,1931,0.46331969
France,FRA,1932,0.447956
France,FRA,1933,0.4459345
France,FRA,1935,0.4374533
France,FRA,1936,0.4326669
France,FRA,1937,0.42636779
France,FRA,1938,0.39694229
France,FRA,1939,0.39993489
France,FRA,1940,0.3478514
France,FRA,1941,0.34842631
France,FRA,1942,0.36246979
France,FRA,1943,0.38055071
France,FRA,1944,0.3783794
France,FRA,1945,0.35172209
France,FRA,1946,0.307017
France,FRA,1947,0.30239081
France,FRA,1948,0.3056677
France,FRA,1949,0.33264631
France,FRA,1950,0.3337734
France,FRA,1951,0.3272438
France,FRA,1952,0.32055101
France,FRA,1953,0.31898129
France,FRA,1954,0.3043074
France,FRA,1955,0.31082559
France,FRA,1956,0.31331271
France,FRA,1957,0.33243439
France,FRA,1958,0.3112233
France,FRA,1959,0.32563251
France,FRA,1960,0.31434929
France,FRA,1962,0.32007349
France,FRA,1964,0.3254984
France,FRA,1965,0.31861621
France,FRA,1966,0.30487609
France,FRA,1967,0.29204959
France,FRA,1968,0.25710729
France,FRA,1969,0.23332299
France,FRA,1970,0.2032662
France,FRA,1971,0.198403
France,FRA,1972,0.19785
France,FRA,1973,0.1977859
France,FRA,1974,0.1913306
France,FRA,1975,0.18681151
France,FRA,1976,0.1830304
France,FRA,1977,0.17867009
France,FRA,1978,0.1760201
France,FRA,1979,0.1743554
France,FRA,1980,0.1720697
France,FRA,1981,0.1667469
France,FRA,1982,0.1617877
France,FRA,1983,0.1592766
France,FRA,1984,0.1580372
France,FRA,1985,0.1613958
France,FRA,1986,0.16787329
France,FRA,1987,0.1705865
France,FRA,1988,0.1736979
France,FRA,1989,0.1765921
France,FRA,1990,0.1718258
France,FRA,1991,0.1809158
France,FRA,1992,0.17498089
France,FRA,1993,0.18789551
France,FRA,1994,0.1932383
France,FRA,1995,0.1964225
France,FRA,1996,0.23320881
France,FRA,1997,0.2530818
France,FRA,1998,0.2669858
France,FRA,1999,0.27835509
France,FRA,2000,0.28112301
France,FRA,2001,0.27050111
France,FRA,2002,0.25402331
France,FRA,2003,0.2461832
France,FRA,2004,0.2376418
France,FRA,2005,0.22511061
France,FRA,2006,0.2213207
France,FRA,2007,0.22374851
France,FRA,2008,0.2159293
France,FRA,2009,0.21701071
France,FRA,2010,0.23506591
France,FRA,2011,0.2297551
France,FRA,2012,0.2235779
France,FRA,2013,0.2290456
France,FRA,2014,0.23378859
Russia,RUS,1995,0.215031221
