Entity,Code,Year,Population living in slums (% of urban population) (% of urban population)
Afghanistan,AFG,2014,62.7
Algeria,DZA,1990,11.8
Angola,AGO,2000,86.5
Angola,AGO,2005,86.5
Angola,AGO,2007,76.2
Angola,AGO,2009,65.8
Angola,AGO,2014,55.5
Antigua and Barbuda,ATG,1990,6.9
Antigua and Barbuda,ATG,2005,4.8
Arab World,,2005,27.3729013709254
Arab World,,2014,32.4691142948089
Argentina,ARG,1990,30.5
Argentina,ARG,1995,31.7
Argentina,ARG,2000,32.9
Argentina,ARG,2005,26.2
Argentina,ARG,2007,23.5
Argentina,ARG,2009,20.8
Argentina,ARG,2014,16.7
Armenia,ARM,2014,14.4
Bangladesh,BGD,1990,87.3
Bangladesh,BGD,1995,84.7
Bangladesh,BGD,2000,77.8
Bangladesh,BGD,2005,70.8
Bangladesh,BGD,2007,66.2
Bangladesh,BGD,2009,61.6
Bangladesh,BGD,2014,55.1
Belize,BLZ,2007,18.7
Belize,BLZ,2014,10.8
Benin,BEN,1990,79.3
Benin,BEN,1995,76.8
Benin,BEN,2000,74.3
Benin,BEN,2005,71.8
Benin,BEN,2007,70.8
Benin,BEN,2009,69.8
Benin,BEN,2014,61.5
Bhutan,BTN,1990,70
Bolivia,BOL,1990,62.2
Bolivia,BOL,1995,58.2
Bolivia,BOL,2000,54.3
Bolivia,BOL,2005,50.4
Bolivia,BOL,2007,48.8
Bolivia,BOL,2009,47.3
Bolivia,BOL,2014,43.5
Botswana,BWA,1990,59.2
Brazil,BRA,1990,36.7
Brazil,BRA,1995,34.1
Brazil,BRA,2000,31.5
Brazil,BRA,2005,29
Brazil,BRA,2007,28
Brazil,BRA,2009,26.9
Brazil,BRA,2014,22.3
Burkina Faso,BFA,1990,78.8
Burkina Faso,BFA,1995,72.4
Burkina Faso,BFA,2000,65.9
Burkina Faso,BFA,2005,59.5
Burkina Faso,BFA,2007,59.5
Burkina Faso,BFA,2014,65.8
Burundi,BDI,2005,64.3
Burundi,BDI,2007,64.3
Burundi,BDI,2014,57.9
Cambodia,KHM,2005,78.9
Cambodia,KHM,2014,55.1
Cameroon,CMR,1990,50.8
Cameroon,CMR,1995,49.6
Cameroon,CMR,2000,48.4
Cameroon,CMR,2005,47.4
Cameroon,CMR,2007,46.6
Cameroon,CMR,2009,46.1
Cameroon,CMR,2014,37.8
Cape Verde,CPV,1990,70.3
Caribbean small states,,2005,40.8000594330861
