Entity,Code,Year, (%)
Afghanistan,AFG,2015,5.8
Algeria,DZA,2015,7.8
Argentina,ARG,2015,1.3
Armenia,ARM,2015,13.9
Australia,AUS,2015,4.3
Austria,AUT,2015,11.8
Azerbaijan,AZE,2015,13.3
Bangladesh,BGD,2015,5.1
Belgium,BEL,2015,5.1
Bosnia and Herzegovina,BIH,2015,26
Brazil,BRA,2015,4.5
Bulgaria,BGR,2015,7
Canada,CAN,2015,10.5
China,CHN,2015,12.6
Colombia,COL,2015,5.9
Czech Republic,CZE,2015,7.3
Democratic Republic of Congo,COD,2015,8.8
Denmark,DNK,2015,4.1
Ecuador,ECU,2015,2.1
Ethiopia,ETH,2015,2.1
Fiji,FJI,2015,11.6
Finland,FIN,2015,3.4
France,FRA,2015,17.3
Germany,DEU,2015,8
Ghana,GHA,2015,8.4
Greece,GRC,2015,17
Hong Kong,HKG,2015,13.5
Iceland,ISL,2015,2.3
India,IND,2015,7.5
Indonesia,IDN,2015,7
Iran,IRN,2015,8.5
Ireland,IRL,2015,6.2
Italy,ITA,2015,18.3
Japan,JPN,2015,9.9
Kosovo,OWID_KOS,2015,4.5
Latvia,LVA,2015,14.3
Lebanon,LBN,2015,8
Macedonia,MKD,2015,11.3
Mexico,MEX,2015,13.9
Mongolia,MNG,2015,6.6
Morocco,MAR,2015,5.2
Netherlands,NLD,2015,6.7
Nigeria,NGA,2015,11.3
Pakistan,PAK,2015,12.6
Palestine,PSE,2015,10.9
Panama,PAN,2015,5.1
Papua New Guinea,PNG,2015,9.9
Peru,PER,2015,8
Philippines,PHL,2015,2.2
Poland,POL,2015,10.3
Portugal,PRT,2015,4.4
Romania,ROU,2015,15.6
Russia,RUS,2015,18.4
Saudi Arabia,SAU,2015,2.4
Serbia,SRB,2015,14.1
Slovenia,SVN,2015,16.4
South Africa,ZAF,2015,9.9
South Korea,KOR,2015,6.4
Spain,ESP,2015,7.1
Sweden,SWE,2015,5.9
Thailand,THA,2015,6.5
Tunisia,TUN,2015,4.3
Turkey,TUR,2015,8.3
Ukraine,UKR,2015,15.4
United Kingdom,GBR,2015,7
United States,USA,2015,9.6
Vietnam,VNM,2015,4.6
