Entity,Code,Year,Sanitation - Proportion of population using improved sanitation facilities (excluding shared) - Safely managed - National - Percent (%)
Albania,ALB,2000,54.66699528764274
Albania,ALB,2001,55.48822011785227
Albania,ALB,2002,56.34666287910164
Albania,ALB,2003,57.18359794970559
Albania,ALB,2004,57.9988353418285
Albania,ALB,2005,58.79175409464212
Albania,ALB,2006,59.56248414863325
Albania,ALB,2007,60.31081135367698
Albania,ALB,2008,61.03656335506258
Albania,ALB,2009,61.73927976368247
Albania,ALB,2010,62.41941720992375
Albania,ALB,2011,63.07668583106479
Albania,ALB,2012,63.71124713289994
Albania,ALB,2013,64.30558178223724
Albania,ALB,2014,64.80229637341073
Albania,ALB,2015,64.81757324233162
Algeria,DZA,2000,21.18107148519243
Algeria,DZA,2001,21.06416426422641
Algeria,DZA,2002,20.94396813873662
Algeria,DZA,2003,20.82060636384571
Algeria,DZA,2004,20.69411788948064
Algeria,DZA,2005,20.56464828098131
Algeria,DZA,2006,20.43213866073829
Algeria,DZA,2007,20.29674345630091
Algeria,DZA,2008,20.15839470270809
Algeria,DZA,2009,20.01825283315946
Algeria,DZA,2010,19.87628399738105
Algeria,DZA,2011,19.73262778584993
Algeria,DZA,2012,19.58749279774365
Algeria,DZA,2013,19.44095398873042
Algeria,DZA,2014,19.29315085608932
Algeria,DZA,2015,19.14422288298937
Andorra,AND,2000,6.462857142858411
Andorra,AND,2001,15.31472527472579
Andorra,AND,2002,24.16659340659317
Andorra,AND,2003,33.01846153846418
Andorra,AND,2004,41.87032967033156
Andorra,AND,2005,50.72219780219893
Andorra,AND,2006,59.57406593406632
Andorra,AND,2007,68.4259340659337
Andorra,AND,2008,77.2778021978047
Andorra,AND,2009,86.1296703296721
Andorra,AND,2010,94.98153846153946
Andorra,AND,2011,99.99999999999999
Andorra,AND,2012,100
Andorra,AND,2013,100
Andorra,AND,2014,100
Andorra,AND,2015,100
Argentina,ARG,2000,28.77630254991448
Argentina,ARG,2001,28.61368715872601
Argentina,ARG,2002,28.45540895916322
Argentina,ARG,2003,28.30187121091748
Argentina,ARG,2004,28.15364548501131
Argentina,ARG,2005,28.01109159393397
Argentina,ARG,2006,27.87400512920284
Argentina,ARG,2007,27.74237031097977
Argentina,ARG,2008,27.61599397579448
Argentina,ARG,2009,27.48800974618819
Argentina,ARG,2010,27.35124108419577
Argentina,ARG,2011,27.21995733843681
Argentina,ARG,2012,27.09430627686447
Argentina,ARG,2013,27.00112727972113
Argentina,ARG,2014,26.74250051225479
Argentina,ARG,2015,26.48400148683261
Australia,AUS,2000,65.45210000000003
Australia,AUS,2001,65.45210000000003
Australia,AUS,2002,65.45210000000003
Australia,AUS,2003,65.45210000000003
Australia,AUS,2004,65.45210000000003
Australia,AUS,2005,66.24859999999991
Australia,AUS,2006,67.04509999999999
Australia,AUS,2007,67.84159999999987
Australia,AUS,2008,68.63809999999995
Australia,AUS,2009,69.43460000000003
Australia,AUS,2010,70.23109999999991
Australia,AUS,2011,71.02759999999999
Australia,AUS,2012,71.82409999999987
Australia,AUS,2013,72.62059999999995
Australia,AUS,2014,73.41710000000003
Australia,AUS,2015,74.21359999999991
Austria,AUT,2000,96.78212974506036
Austria,AUT,2001,96.78220406679284
Austria,AUT,2002,96.78255912354356
Austria,AUT,2003,96.78208204544995
Austria,AUT,2004,96.78147111461351
Austria,AUT,2005,96.78085999563064
Austria,AUT,2006,96.78017856539431
Austria,AUT,2007,96.7795670857975
Austria,AUT,2008,96.7789554180543
Austria,AUT,2009,96.77834356216465
Austria,AUT,2010,96.77766145773703
Austria,AUT,2011,96.77704924123344
Austria,AUT,2012,96.77643683658343
Austria,AUT,2013,96.7768044307567
Austria,AUT,2014,96.7782213629169
Austria,AUT,2015,96.78061694551772
Belarus,BLR,2000,81.69459924139781
Belarus,BLR,2001,81.79699703037687
Belarus,BLR,2002,81.89850839119401
Belarus,BLR,2003,81.99892345286902
Belarus,BLR,2004,81.72805901459029
Belarus,BLR,2005,81.41600586680379
Belarus,BLR,2006,81.06373369331578
Belarus,BLR,2007,80.67219528550429
Belarus,BLR,2008,80.24246756888894
Belarus,BLR,2009,79.77504667519271
Belarus,BLR,2010,79.27137470622486
Belarus,BLR,2011,78.73131821290384
Belarus,BLR,2012,78.15616290823836
Belarus,BLR,2013,77.5468199057904
Belarus,BLR,2014,76.90435608659648
Belarus,BLR,2015,76.22970018029184
Belgium,BEL,2000,69.82651729109608
Belgium,BEL,2001,69.8267004868655
Belgium,BEL,2002,69.82688401543264
Belgium,BEL,2003,69.82706788887333
Belgium,BEL,2004,72.0999451978005
Belgium,BEL,2005,74.37282261709345
Belgium,BEL,2006,76.64570014415685
Belgium,BEL,2007,78.918577793302
Belgium,BEL,2008,81.19135923061765
Belgium,BEL,2009,83.46404906426525
Belgium,BEL,2010,85.73673881528465
Belgium,BEL,2011,88.00942848685588
Belgium,BEL,2012,90.28211808215896
Belgium,BEL,2013,92.55480760437658
Belgium,BEL,2014,94.82749708007593
Belgium,BEL,2015,97.10018651561951
Bolivia,BOL,2000,14.76001938730436
Bolivia,BOL,2001,15.04981149236648
Bolivia,BOL,2002,15.33903752321869
Bolivia,BOL,2003,15.62729397564805
Bolivia,BOL,2004,15.91459123281146
Bolivia,BOL,2005,16.20083805495969
Bolivia,BOL,2006,16.4862475504688
Bolivia,BOL,2007,16.77062708790818
Bolivia,BOL,2008,17.05398744923676
Bolivia,BOL,2009,17.33643891743675
Bolivia,BOL,2010,17.61789137399531
Bolivia,BOL,2011,17.89835506461444
Bolivia,BOL,2012,18.17793851912002
Bolivia,BOL,2013,18.45645437098077
Bolivia,BOL,2014,18.73401127044259
Bolivia,BOL,2015,19.01061887345659
Bosnia and Herzegovina,BIH,2000,23.2498218648566
Bosnia and Herzegovina,BIH,2001,23.23343918390804
Bosnia and Herzegovina,BIH,2002,23.21716511913533
Bosnia and Herzegovina,BIH,2003,23.20079900228336
Bosnia and Herzegovina,BIH,2004,23.2030608589888
Bosnia and Herzegovina,BIH,2005,23.20544508498229
Bosnia and Herzegovina,BIH,2006,23.2079513935373
Bosnia and Herzegovina,BIH,2007,23.21057949792727
Bosnia and Herzegovina,BIH,2008,23.20865032093089
Bosnia and Herzegovina,BIH,2009,23.20222107421608
Bosnia and Herzegovina,BIH,2010,23.19114164850123
Bosnia and Herzegovina,BIH,2011,23.17504267571945
Bosnia and Herzegovina,BIH,2012,23.15376804868786
Bosnia and Herzegovina,BIH,2013,23.12738681396899
Bosnia and Herzegovina,BIH,2014,23.0955242049404
Bosnia and Herzegovina,BIH,2015,23.07979338638361
Brazil,BRA,2000,26.35304782349179
Brazil,BRA,2001,26.96760858669334
Brazil,BRA,2002,27.60733338565349
Brazil,BRA,2003,28.27598771262881
Brazil,BRA,2004,28.97374902494715
Brazil,BRA,2005,29.70090033256571
Brazil,BRA,2006,30.45782567667651
Brazil,BRA,2007,31.24479110485688
Brazil,BRA,2008,32.06205595416533
Brazil,BRA,2009,32.90965259074878
Brazil,BRA,2010,33.78804396969076
Brazil,BRA,2011,34.69757957141278
Brazil,BRA,2012,35.63770058389763
Brazil,BRA,2013,36.60883218615194
Brazil,BRA,2014,37.61116414131625
Brazil,BRA,2015,38.64487264472898
Bulgaria,BGR,2000,71.81863764980082
Bulgaria,BGR,2001,72.11034384399245
Bulgaria,BGR,2002,72.42937937191459
Bulgaria,BGR,2003,72.74727114460791
Bulgaria,BGR,2004,73.06466588009366
Bulgaria,BGR,2005,71.3355038138941
Bulgaria,BGR,2006,69.30652743415493
Bulgaria,BGR,2007,67.23009547783582
Bulgaria,BGR,2008,65.1063821521047
Bulgaria,BGR,2009,62.93536620844702
Bulgaria,BGR,2010,60.71745941227674
Bulgaria,BGR,2011,58.45268287652343
Bulgaria,BGR,2012,56.14127382635962
Bulgaria,BGR,2013,53.78336024698609
Bulgaria,BGR,2014,51.32635194136923
Bulgaria,BGR,2015,48.8550937500462
Canada,CAN,2000,73.07235989247172
Canada,CAN,2001,73.07235989247172
Canada,CAN,2002,73.07235989247172
Canada,CAN,2003,73.51667902809234
Canada,CAN,2004,73.95301915780169
Canada,CAN,2005,74.38138028159975
Canada,CAN,2006,74.80176239948653
Canada,CAN,2007,75.21416551146204
Canada,CAN,2008,75.61858961752628
Canada,CAN,2009,76.01503471767924
Canada,CAN,2010,76.40350081192092
Canada,CAN,2011,76.78398790025132
Canada,CAN,2012,76.78398790025132
Canada,CAN,2013,76.78398790025132
Canada,CAN,2014,76.78398790025132
Canada,CAN,2015,76.78398790025132
Chile,CHL,2000,27.13901096429538
Chile,CHL,2001,30.69117665197462
Chile,CHL,2002,34.29717824961777
Chile,CHL,2003,37.95624194894987
Chile,CHL,2004,41.66744934555317
Chile,CHL,2005,45.4299362425481
Chile,CHL,2006,49.24275212063267
Chile,CHL,2007,53.10511579112482
Chile,CHL,2008,57.01635435649194
Chile,CHL,2009,60.97556063783853
Chile,CHL,2010,64.98194267230248
Chile,CHL,2011,69.03515240481059
Chile,CHL,2012,73.13432198387926
Chile,CHL,2013,77.23284920603854
Chile,CHL,2014,81.429797660316
Chile,CHL,2015,85.47656279199515
China,CHN,2000,29.06480607821441
China,CHN,2001,29.15629052303487
China,CHN,2002,29.52448782815136
China,CHN,2003,31.39001547952457
China,CHN,2004,33.33129930459383
China,CHN,2005,35.34947991723963
China,CHN,2006,37.44271350772952
China,CHN,2007,39.62529576987077
China,CHN,2008,41.88343543086015
China,CHN,2009,44.21667197998144
China,CHN,2010,46.6257423434658
China,CHN,2011,49.11021577432464
China,CHN,2012,51.66281065071794
China,CHN,2013,54.27938069491231
China,CHN,2014,56.9568254751868
China,CHN,2015,59.69173686613056
"China, Hong Kong Special Administrative Region",,2000,16.72411528282828
"China, Hong Kong Special Administrative Region",,2001,16.72411528282828
"China, Hong Kong Special Administrative Region",,2002,16.72411528282828
"China, Hong Kong Special Administrative Region",,2003,16.72411528282827
"China, Hong Kong Special Administrative Region",,2004,16.67902805555556
"China, Hong Kong Special Administrative Region",,2005,16.63406806464646
"China, Hong Kong Special Administrative Region",,2006,16.589235310101
"China, Hong Kong Special Administrative Region",,2007,16.54452979191919
"China, Hong Kong Special Administrative Region",,2008,16.49995151010101
"China, Hong Kong Special Administrative Region",,2009,16.45550046464646
"China, Hong Kong Special Administrative Region",,2010,16.41117665555555
"China, Hong Kong Special Administrative Region",,2011,16.36698008282828
"China, Hong Kong Special Administrative Region",,2012,16.32291074646464
"China, Hong Kong Special Administrative Region",,2013,16.27896864646465
"China, Hong Kong Special Administrative Region",,2014,16.23515378282828
"China, Hong Kong Special Administrative Region",,2015,16.19146615555555
Colombia,COL,2000,16.7574959782607
Colombia,COL,2001,16.97791644540787
Colombia,COL,2002,17.19381206912575
Colombia,COL,2003,17.40522750251307
Colombia,COL,2004,17.61213611390006
Colombia,COL,2005,17.81471782056513
Colombia,COL,2006,18.01295377763119
Colombia,COL,2007,18.20688894173285
Colombia,COL,2008,18.39656833332883
Colombia,COL,2009,18.58203703255074
Colombia,COL,2010,18.76334017533796
Colombia,COL,2011,18.94052294983443
Colombia,COL,2012,19.11376303281664
Colombia,COL,2013,19.28298853094602
Colombia,COL,2014,19.44824476799382
Colombia,COL,2015,19.60973244160542
Croatia,HRV,2000,59.63497911397312
Croatia,HRV,2001,59.64991051396831
Croatia,HRV,2002,59.67526983802981
Croatia,HRV,2003,59.70204068320333
Croatia,HRV,2004,59.73022369843214
Croatia,HRV,2005,59.7597112757087
Croatia,HRV,2006,59.79061231624111
Croatia,HRV,2007,59.82281919629279
Croatia,HRV,2008,59.85633255050624
Croatia,HRV,2009,59.89126136006348
Croatia,HRV,2010,59.92738961902268
Croatia,HRV,2011,59.96493468247066
Croatia,HRV,2012,60.00368048809409
Croatia,HRV,2013,60.04362765671569
Croatia,HRV,2014,60.08488524839314
Croatia,HRV,2015,60.12734550512231
Cuba,CUB,2000,32.21568672428887
Cuba,CUB,2001,32.2560638050323
Cuba,CUB,2002,32.29517863850001
Cuba,CUB,2003,32.33711449695995
Cuba,CUB,2004,32.38247791961012
Cuba,CUB,2005,32.24805362830863
Cuba,CUB,2006,32.11274429557886
Cuba,CUB,2007,31.97654983898004
Cuba,CUB,2008,31.83947017615864
Cuba,CUB,2009,31.70159379202647
Cuba,CUB,2010,31.56284163882337
Cuba,CUB,2011,31.4232136353141
Cuba,CUB,2012,31.28270970031705
Cuba,CUB,2013,31.1414375248805
Cuba,CUB,2014,30.99851083955737
Cuba,CUB,2015,30.85394608639446
Cyprus,CYP,2000,76.46736
Cyprus,CYP,2001,76.50608
Cyprus,CYP,2002,76.48208
Cyprus,CYP,2003,76.43696
Cyprus,CYP,2004,76.37478961038961
Cyprus,CYP,2005,76.30455618181819
Cyprus,CYP,2006,76.23197544642858
Cyprus,CYP,2007,76.15925588961039
Cyprus,CYP,2008,76.08639751136364
Cyprus,CYP,2009,76.01307733766234
Cyprus,CYP,2010,75.93961737175326
Cyprus,CYP,2011,75.86569366883118
Cyprus,CYP,2012,75.79162920292208
Cyprus,CYP,2013,75.72294753896105
Cyprus,CYP,2014,75.6586972288961
Cyprus,CYP,2015,75.59955043181819
Czech Republic,CZE,2000,87.37107452967618
Czech Republic,CZE,2001,87.35778459160957
Czech Republic,CZE,2002,87.34957430914346
Czech Republic,CZE,2003,87.34124431321833
Czech Republic,CZE,2004,86.88887699160897
Czech Republic,CZE,2005,86.43670146221827
Czech Republic,CZE,2006,85.98471772587368
Czech Republic,CZE,2007,85.53281314110596
Czech Republic,CZE,2008,85.08121438294644
Czech Republic,CZE,2009,84.62969755725238
Czech Republic,CZE,2010,84.17848378061578
Czech Republic,CZE,2011,83.72735471736365
Czech Republic,CZE,2012,83.27642023141446
Czech Republic,CZE,2013,82.8272448910463
Czech Republic,CZE,2014,82.37966324520414
Czech Republic,CZE,2015,81.93361692374984
Denmark,DNK,2000,93.20517916756752
Denmark,DNK,2001,93.20517897794625
Denmark,DNK,2002,93.20517859870365
Denmark,DNK,2003,93.20517818153682
Denmark,DNK,2004,93.20517740029709
Denmark,DNK,2005,93.2051763004936
Denmark,DNK,2006,93.20517538272654
Denmark,DNK,2007,93.20517464320349
Denmark,DNK,2008,93.20517390747287
Denmark,DNK,2009,93.20517327413776
Denmark,DNK,2010,93.20517273940574
Denmark,DNK,2011,93.20517212503272
Denmark,DNK,2012,93.20517142343394
Denmark,DNK,2013,93.20517073321246
Denmark,DNK,2014,93.20517005816065
Denmark,DNK,2015,93.20516939827854
Ecuador,ECU,2000,42.31814864702432
Ecuador,ECU,2001,42.35984872539422
Ecuador,ECU,2002,42.394725509153
Ecuador,ECU,2003,42.42714445032036
Ecuador,ECU,2004,42.45392982201367
Ecuador,ECU,2005,42.47516737794247
Ecuador,ECU,2006,42.49090236694798
Ecuador,ECU,2007,42.50095883725619
Ecuador,ECU,2008,42.50554658137182
Ecuador,ECU,2009,42.50471036700152
Ecuador,ECU,2010,42.49834220446984
Ecuador,ECU,2011,42.48644449340026
Ecuador,ECU,2012,42.4675740580015
Ecuador,ECU,2013,42.44159105901504
Ecuador,ECU,2014,42.40799425274908
Ecuador,ECU,2015,42.36644901816009
Egypt,EGY,2000,52.74461594437663
Egypt,EGY,2001,53.27261109223912
Egypt,EGY,2002,53.80063334416261
Egypt,EGY,2003,54.32868270096608
Egypt,EGY,2004,54.85675916347766
Egypt,EGY,2005,55.38486273253578
Egypt,EGY,2006,55.91299340898839
Egypt,EGY,2007,56.43413556206377
Egypt,EGY,2008,56.95099417713303
Egypt,EGY,2009,57.46801113067748
Egypt,EGY,2010,57.98484329030477
Egypt,EGY,2011,58.50183440070606
Egypt,EGY,2012,59.02243802204818
Egypt,EGY,2013,59.54667342212368
Egypt,EGY,2014,60.07455997896829
Egypt,EGY,2015,60.60629074192897
Estonia,EST,2000,87.19912975678375
Estonia,EST,2001,87.53746656729078
Estonia,EST,2002,87.87610575197264
Estonia,EST,2003,88.21486091579442
Estonia,EST,2004,88.59875834484752
Estonia,EST,2005,88.98370361830698
Estonia,EST,2006,89.36951411781484
Estonia,EST,2007,89.75637605673367
Estonia,EST,2008,90.14429024275347
Estonia,EST,2009,90.53325748356339
Estonia,EST,2010,90.92309916421704
Estonia,EST,2011,91.31399752410583
Estonia,EST,2012,91.70577596576241
Estonia,EST,2013,92.10143717556215
Estonia,EST,2014,92.50075806049273
Estonia,EST,2015,92.90369375544186
Finland,FIN,2000,88.80517967389125
Finland,FIN,2001,89.17599391975199
Finland,FIN,2002,89.52134986840485
Finland,FIN,2003,89.86391474447795
Finland,FIN,2004,90.20327655367907
Finland,FIN,2005,90.53946630880074
Finland,FIN,2006,90.87251502261032
Finland,FIN,2007,91.20245370785112
Finland,FIN,2008,91.2523572678873
Finland,FIN,2009,91.3018799171627
Finland,FIN,2010,91.35102165494585
Finland,FIN,2011,91.40054444862076
Finland,FIN,2012,91.45044829891886
Finland,FIN,2013,91.50111419111379
Finland,FIN,2014,91.55216114187405
Finland,FIN,2015,91.60358915192481
France,FRA,2000,87.5078980434328
France,FRA,2001,87.8139035370926
France,FRA,2002,88.11991231749269
France,FRA,2003,88.42591905367034
France,FRA,2004,88.73192377379925
France,FRA,2005,89.03793468562628
France,FRA,2006,89.34394095818378
France,FRA,2007,89.64995082739229
France,FRA,2008,89.95595886837673
France,FRA,2009,90.26196510931082
France,FRA,2010,90.56797512532938
France,FRA,2011,90.87398065233812
France,FRA,2012,91.17999006712613
France,FRA,2013,91.48599785090597
France,FRA,2014,91.79200403185129
France,FRA,2015,92.0980142790094
French Guiana,GUF,2001,49.82345703798433
French Guiana,GUF,2002,49.82345703798433
French Guiana,GUF,2003,49.82345703798433
French Guiana,GUF,2004,49.82345703798433
French Guiana,GUF,2005,49.82345703798433
French Guiana,GUF,2006,50.63576408484116
French Guiana,GUF,2007,51.44807113169792
French Guiana,GUF,2008,52.26037817855502
French Guiana,GUF,2009,53.07268522541179
French Guiana,GUF,2010,53.88499227226888
French Guiana,GUF,2011,54.69729931912571
French Guiana,GUF,2012,55.50960636598275
French Guiana,GUF,2013,56.32191341283957
French Guiana,GUF,2014,57.13422045969634
French Guiana,GUF,2015,57.94652750655344
Germany,DEU,2000,96.46910248685728
Germany,DEU,2001,96.4715534868211
Germany,DEU,2002,96.47480373589725
Germany,DEU,2003,96.47794743027025
Germany,DEU,2004,96.35812051216925
Germany,DEU,2005,96.23880853194605
Germany,DEU,2006,96.12333866418834
Germany,DEU,2007,96.0111011329708
Germany,DEU,2008,95.89875658497115
Germany,DEU,2009,95.78625295262617
Germany,DEU,2010,95.67369571869759
Germany,DEU,2011,95.56103268062431
Germany,DEU,2012,95.44847250886892
Germany,DEU,2013,95.45899001398884
Germany,DEU,2014,95.46961177664623
Germany,DEU,2015,95.48038986888729
Greece,GRC,2000,72.68699789590545
Greece,GRC,2001,72.82126014363944
Greece,GRC,2002,73.00929874246143
