Entity,Code,Year, (%)
Albania,ALB,1998,33.43343353
Albania,ALB,2004,58.79999924
Algeria,DZA,2004,80.73323059
Algeria,DZA,2014,79.8941803
Argentina,ARG,1984,78.57142639
Argentina,ARG,2014,87.20703125
Armenia,ARM,1998,54.79999924
Armenia,ARM,2014,81.61965942
Australia,AUS,1984,95.49180603
Australia,AUS,2014,93.98906708
Azerbaijan,AZE,1998,76.62337494
Azerbaijan,AZE,2014,81.8363266
Bangladesh,BGD,1998,84.72130585
Bangladesh,BGD,2004,77.40000153
Belarus,BLR,1993,43.84236145
Belarus,BLR,2014,65.30612183
Brazil,BRA,1993,75.92592621
Brazil,BRA,2014,91.78451538
Bulgaria,BGR,1998,55.50373077
Bulgaria,BGR,2009,55.74425507
Canada,CAN,2004,95.85706329
Canada,CAN,2009,95.05088043
Chile,CHL,1993,71.8666687
Chile,CHL,2014,84.66934204
China,CHN,1993,67.00201416
China,CHN,2014,84.99562836
Colombia,COL,1998,84.31241608
Colombia,COL,2014,91.5949707
Cyprus,CYP,2009,87.51191711
Cyprus,CYP,2014,82.08207703
Czech Republic,CZE,1993,72.69772339
Czech Republic,CZE,1998,83.52423096
Egypt,EGY,2004,89.40000153
Egypt,EGY,2014,29.67826653
Estonia,EST,1998,63.66307831
Estonia,EST,2014,75.44088745
Finland,FIN,1984,93.58074188
Finland,FIN,2009,91.7159729
Georgia,GEO,1998,65.23904419
Georgia,GEO,2014,69.5507431
Germany,DEU,1998,80.5528183
Germany,DEU,2014,86.13424683
Ghana,GHA,2009,78.47357941
Ghana,GHA,2014,82.53865814
Hong Kong,HKG,2009,83.54632568
Hong Kong,HKG,2014,89.27855682
Hungary,HUN,1984,78.45188141
Hungary,HUN,2009,75.9203949
India,IND,1993,72
India,IND,2014,80.51865387
Indonesia,IDN,2004,94.59458923
Indonesia,IDN,2009,92.94293976
Iran,IRN,2004,58.29005432
Iran,IRN,2009,80.29557037
Iraq,IRQ,2004,62.3382225
Iraq,IRQ,2014,68
Japan,JPN,1984,83.22813416
Japan,JPN,2014,86.45108032
Jordan,JOR,2004,83.14238739
Jordan,JOR,2014,85.75
Kyrgyzstan,KGZ,2004,83.89261627
Kyrgyzstan,KGZ,2014,95.99465942
Macedonia,MKD,1998,62.31156158
Macedonia,MKD,2004,74.69194794
Malaysia,MYS,2009,94.75437164
Malaysia,MYS,2014,96.07692719
Mexico,MEX,1984,80.67739868
Mexico,MEX,2014,94.25
Moldova,MDA,1998,43.39431
Moldova,MDA,2009,50.19120407
Montenegro,MNE,1998,69.16666412
Montenegro,MNE,2004,65.28302002
Morocco,MAR,2004,79.13669586
Morocco,MAR,2014,78.46411133
Netherlands,NLD,2009,93.6962738
Netherlands,NLD,2014,92.42902374
New Zealand,NZL,1998,94.97066498
New Zealand,NZL,2014,94.0677948
Nigeria,NGA,1993,65.43456268
Nigeria,NGA,2014,83.79760742
Norway,NOR,1998,94.32121277
Norway,NOR,2009,96.38671875
Pakistan,PAK,1998,78.58116913
Pakistan,PAK,2014,83.88981628
Peru,PER,1998,62.84062958
Peru,PER,2014,75.86776733
Philippines,PHL,1998,92.5
Philippines,PHL,2014,89.58332825
Poland,POL,1993,87.63326263
Poland,POL,2014,92.72349548
Puerto Rico,PRI,1998,90.7996521
Puerto Rico,PRI,2004,94.02777863
Romania,ROU,1998,56.0936203
Romania,ROU,2014,67.77851868
Russia,RUS,1993,47.22080612
Russia,RUS,2014,73.18054199
Rwanda,RWA,2009,85.56221008
Rwanda,RWA,2014,90.43877411
Serbia,SRB,1998,69.921875
Serbia,SRB,2004,73.5
Singapore,SGP,2004,94.90740967
Singapore,SGP,2014,92.74848175
Slovakia,SVK,1993,52.0430069
Slovakia,SVK,1998,71.41552734
Slovenia,SVN,1998,73.78351593
Slovenia,SVN,2014,83.6466217
South Africa,ZAF,1984,81.92848206
South Africa,ZAF,2014,77.42848969
Spain,ESP,1993,83.44371033
Spain,ESP,2014,86.1227951
Sweden,SWE,1998,93.95440674
Sweden,SWE,2014,95.26184845
Switzerland,CHE,1993,93.2857132
Switzerland,CHE,2009,93.77526093
Taiwan,TWN,1998,90.87403107
Taiwan,TWN,2014,89.9595108
Thailand,THA,2009,92.67974091
Thailand,THA,2014,93.08333588
Trinidad and Tobago,TTO,2009,85.52893829
Trinidad and Tobago,TTO,2014,87.98799133
Turkey,TUR,1993,81.06796265
Turkey,TUR,2014,84.375
Ukraine,UKR,1998,45.8911438
Ukraine,UKR,2014,68.3008728
United Kingdom,GBR,1998,90.21043396
United Kingdom,GBR,2009,93.26922607
United States,USA,1998,93.25551605
United States,USA,2014,91.08108521
Uruguay,URY,1998,80.29999542
Uruguay,URY,2014,86.34538269
Venezuela,VEN,1998,92.66666412
Venezuela,VEN,2004,86.33333588
Vietnam,VNM,2004,91.3999939
Vietnam,VNM,2009,91.87374115
Zimbabwe,ZWE,2004,56.3872261
Zimbabwe,ZWE,2014,82.1333313
