Entity,Code,Year,Total Installed Price (2015 US$),Non-Module Costs (2015 US$),Module Price (2015 US$)
United States,USA,2000,11.24246693,7.457352234,3.785114692
United States,USA,2001,11.14191914,7.595363235,3.546555901
United States,USA,2002,11.15029335,7.527187458,3.623105892
United States,USA,2003,10.05778503,6.64422498,3.413560054
United States,USA,2004,9.381766319,5.743072301,3.638694018
United States,USA,2005,9.042267799,5.365045526,3.677222273
United States,USA,2006,9.120168686,5.134614966,3.98555372
United States,USA,2007,9.217387199,5.216463605,4.000923595
United States,USA,2008,8.817955971,5.240183018,3.577772953
United States,USA,2009,8.406482697,5.998054034,2.408428663
United States,USA,2010,7.089458942,5.18728817,1.902170773
United States,USA,2011,6.287246227,4.980664976,1.306581251
United States,USA,2012,5.343541145,4.486706428,0.856834717
United States,USA,2013,4.646448135,3.822331367,0.824116768
United States,USA,2014,4.26900959,3.488083749,0.780925841
United States,USA,2015,4.053122044,3.273122044,0.78
