Entity,Code,Year,All staff compensation as % of total expenditure in public institutions (%) (%)
Afghanistan,AFG,2015,59.8576393127441
Albania,ALB,2013,79.9188537597656
Andorra,AND,2006,41.0471382141113
Andorra,AND,2008,53.7248115539551
Andorra,AND,2010,36.7439117431641
Andorra,AND,2011,37.0164794921875
Andorra,AND,2013,40.0286102294922
Antigua and Barbuda,ATG,2009,73.2147598266602
Argentina,ARG,1998,88.3779296875
Argentina,ARG,2001,87.3586502075195
Argentina,ARG,2002,88.7689666748047
Argentina,ARG,2003,88.5053863525391
Argentina,ARG,2004,87.5774612426758
Argentina,ARG,2006,89.242317199707
Argentina,ARG,2007,88.3129425048828
Argentina,ARG,2008,87.2538223266602
Argentina,ARG,2009,86.6123886108398
Argentina,ARG,2010,85.8717803955078
Argentina,ARG,2013,88.1575622558594
Armenia,ARM,2012,88.9145126342773
Armenia,ARM,2013,67.2025604248047
Armenia,ARM,2014,65.5122222900391
Aruba,ABW,1998,91.5057373046875
Aruba,ABW,1999,90.3709335327148
Aruba,ABW,2000,80.6443710327148
Aruba,ABW,2001,88.5179214477539
Aruba,ABW,2002,84.2818832397461
Aruba,ABW,2005,90.6725006103516
Aruba,ABW,2007,93.5339965820313
Aruba,ABW,2008,91.5801162719727
Aruba,ABW,2009,87.0319213867188
Aruba,ABW,2011,94.5133285522461
Australia,AUS,2000,68.3223495483398
Austria,AUT,1998,72.0661468505859
Austria,AUT,1999,72.4694366455078
Austria,AUT,2000,72.2939834594727
Austria,AUT,2001,70.4519805908203
Austria,AUT,2002,70.869987487793
Austria,AUT,2003,72.9158935546875
Austria,AUT,2004,71.6610794067383
Austria,AUT,2005,72.0859298706055
Austria,AUT,2006,72.0556488037109
Austria,AUT,2007,71.8770599365234
Austria,AUT,2008,71.5804595947266
Austria,AUT,2009,71.5695877075195
Austria,AUT,2010,70.1928100585938
Austria,AUT,2011,69.66162109375
Austria,AUT,2012,68.4961776733398
Austria,AUT,2013,67.9886093139648
Azerbaijan,AZE,2000,63.5812110900879
Azerbaijan,AZE,2001,63.6563491821289
Azerbaijan,AZE,2002,62.5921096801758
Azerbaijan,AZE,2003,64.7088317871094
Azerbaijan,AZE,2004,64.8252182006836
Azerbaijan,AZE,2005,66.7912902832031
Azerbaijan,AZE,2006,64.1259918212891
Azerbaijan,AZE,2007,65.1391525268555
Azerbaijan,AZE,2008,66.2112426757813
Azerbaijan,AZE,2009,65.9035034179688
Azerbaijan,AZE,2010,64.8473434448242
Azerbaijan,AZE,2011,62.6799392700195
Azerbaijan,AZE,2012,52.845458984375
Azerbaijan,AZE,2013,64.5195236206055
Bahrain,BHR,2012,82.3205413818359
Bangladesh,BGD,2008,62.4016304016113
Bangladesh,BGD,2009,59.7806015014648
Barbados,BRB,1999,89.0008087158203
Barbados,BRB,2000,90.797721862793
Barbados,BRB,2001,87.8357391357422
Barbados,BRB,2002,68.6377487182617
Barbados,BRB,2003,69.2759780883789
Barbados,BRB,2004,72.4586486816406
Barbados,BRB,2005,79.8676910400391
Barbados,BRB,2007,81.9341583251953
Barbados,BRB,2008,78.6460723876953
Barbados,BRB,2009,84.5287933349609
Barbados,BRB,2010,83.3695602416992
Barbados,BRB,2014,48.6211204528809
Belarus,BLR,2004,62.9733581542969
Belarus,BLR,2005,65.1657562255859
Belarus,BLR,2006,65.6047515869141
Belarus,BLR,2007,64.4612197875977
Belarus,BLR,2009,66.5111694335938
Belarus,BLR,2010,62.5683708190918
Belarus,BLR,2011,65.4194488525391
Belarus,BLR,2012,64.0602188110352
