Entity,Code,Year,"suicide rate (age-adjusted suicides per 100,000 people)"
Afghanistan,AFG,2002,6.867054
Afghanistan,AFG,2004,6.6843853
Afghanistan,AFG,2005,6.6843853
Albania,ALB,2002,2.792918
Albania,ALB,2004,7.699329853
Albania,ALB,2005,7.699329853
Algeria,DZA,2002,3.754641
Algeria,DZA,2004,4.848769665
Algeria,DZA,2005,4.848769665
Andorra,AND,2002,5.460766
Andorra,AND,2004,5.362178802
Andorra,AND,2005,5.362178802
Angola,AGO,2002,11.94146
Angola,AGO,2004,14.55467701
Angola,AGO,2005,14.55467701
Antigua and Barbuda,ATG,2002,0.4761568
Antigua and Barbuda,ATG,2004,2.1618433
Antigua and Barbuda,ATG,2005,2.1618433
Argentina,ARG,1966,7.916583
Argentina,ARG,1967,9.915176
Argentina,ARG,1968,10.74287
Argentina,ARG,1969,10.48032
Argentina,ARG,1970,10.29312
Argentina,ARG,1977,7.778694
Argentina,ARG,1978,7.920763
Argentina,ARG,1979,6.838789
Argentina,ARG,1980,7.482319
Argentina,ARG,1981,8.257092
Argentina,ARG,1982,7.042588
Argentina,ARG,1983,6.405541
Argentina,ARG,1984,6.581609
Argentina,ARG,1985,6.916961
Argentina,ARG,1986,7.883313
Argentina,ARG,1987,7.797068
Argentina,ARG,1988,7.753856
Argentina,ARG,1989,7.32608
Argentina,ARG,1990,6.826613
Argentina,ARG,1991,6.151737
Argentina,ARG,1992,6.862964
Argentina,ARG,1993,6.864534
Argentina,ARG,1994,6.766797
Argentina,ARG,1995,6.497159
Argentina,ARG,1996,6.521007
Argentina,ARG,1997,6.404548
Argentina,ARG,1998,6.571886
Argentina,ARG,1999,6.705275
Argentina,ARG,2000,7.578039
Argentina,ARG,2001,8.426514
Argentina,ARG,2002,8.399384
Argentina,ARG,2003,8.574696
Argentina,ARG,2004,8.045732
Argentina,ARG,2005,7.765584
Armenia,ARM,2002,3.223157
Armenia,ARM,2004,3.741587877
Armenia,ARM,2005,3.741587877
Australia,AUS,1950,9.11394
Australia,AUS,1951,9.414491
Australia,AUS,1952,10.52931
Australia,AUS,1953,10.77947
Australia,AUS,1954,10.70571
Australia,AUS,1955,10.29923
Australia,AUS,1956,10.83826
Australia,AUS,1957,12.24532
Australia,AUS,1958,12.51539
Australia,AUS,1959,11.26922
Australia,AUS,1960,10.84956
Australia,AUS,1961,12.21164
Australia,AUS,1962,14.19252
Australia,AUS,1963,16.3551
Australia,AUS,1964,15.12317
Australia,AUS,1965,15.43313
Australia,AUS,1966,14.58644
Australia,AUS,1967,15.65878
Australia,AUS,1968,13.19256
Australia,AUS,1969,12.76834
Australia,AUS,1970,12.83559
Australia,AUS,1971,14.15584
Australia,AUS,1972,13.0239
Australia,AUS,1973,12.02608
Australia,AUS,1974,12.06323
Australia,AUS,1975,11.39783
Australia,AUS,1976,11.01759
Australia,AUS,1977,11.29412
Australia,AUS,1978,11.27129
Australia,AUS,1979,11.64795
Australia,AUS,1980,10.9455
Australia,AUS,1981,11.08437
Australia,AUS,1982,11.35668
Australia,AUS,1983,10.6924
Australia,AUS,1984,10.94829
Australia,AUS,1985,11.36893
Australia,AUS,1986,12.27354
Australia,AUS,1987,12.67795
Australia,AUS,1988,12.457
Australia,AUS,1989,11.61991
Australia,AUS,1990,12.21795
Australia,AUS,1991,12.50919
Australia,AUS,1992,12.13431
Australia,AUS,1993,10.8313
Australia,AUS,1994,12.03813
Australia,AUS,1995,11.34692
Australia,AUS,1996,12.44981
Australia,AUS,1997,13.50883
Australia,AUS,1998,13.31107
Australia,AUS,1999,12.37532
Australia,AUS,2000,11.69399
Australia,AUS,2001,11.84839
Australia,AUS,2002,11.03015
Australia,AUS,2003,10.10695
Australia,AUS,2004,9.656323
Australia,AUS,2005,8.470030125
Austria,AUT,1955,20.5962
Austria,AUT,1956,19.92693
Austria,AUT,1957,20.9564
Austria,AUT,1958,20.79216
Austria,AUT,1959,21.81896
Austria,AUT,1960,20.19164
Austria,AUT,1961,19.24125
Austria,AUT,1962,19.71283
Austria,AUT,1963,19.32392
Austria,AUT,1964,19.99342
Austria,AUT,1965,20.16066
Austria,AUT,1966,20.39829
Austria,AUT,1967,19.63787
Austria,AUT,1968,19.63363
Austria,AUT,1969,20.016
Austria,AUT,1970,21.93183
Austria,AUT,1971,20.31294
Austria,AUT,1972,20.87694
Austria,AUT,1973,19.62877
Austria,AUT,1974,21.15685
Austria,AUT,1975,21.48004
Austria,AUT,1976,20.11514
Austria,AUT,1977,21.48151
Austria,AUT,1978,22.21951
Austria,AUT,1979,22.31893
Austria,AUT,1980,22.57223
Austria,AUT,1981,23.46337
Austria,AUT,1982,24.12704
Austria,AUT,1983,23.308
Austria,AUT,1984,23.06893
Austria,AUT,1985,23.7467
Austria,AUT,1986,24.3092
Austria,AUT,1987,22.78188
Austria,AUT,1988,20.36467
Austria,AUT,1989,20.57605
Austria,AUT,1990,19.33369
Austria,AUT,1991,18.53028
Austria,AUT,1992,18.39543
Austria,AUT,1993,17.46171
Austria,AUT,1994,18.29631
Austria,AUT,1995,18.21025
Austria,AUT,1996,17.68246
Austria,AUT,1997,16.08883
Austria,AUT,1998,15.67687
Austria,AUT,1999,15.44316
Austria,AUT,2000,15.88142
Austria,AUT,2001,14.76183
Austria,AUT,2002,15.15603
Austria,AUT,2003,14.07254
Austria,AUT,2004,13.6443
Austria,AUT,2005,13.09437
Azerbaijan,AZE,1981,5.772842
Azerbaijan,AZE,1982,4.780469
Azerbaijan,AZE,1985,4.439677
Azerbaijan,AZE,1986,4.251373
Azerbaijan,AZE,1987,4.619159
Azerbaijan,AZE,1988,3.954315
Azerbaijan,AZE,1989,3.982391
Azerbaijan,AZE,1990,2.019469
Azerbaijan,AZE,1991,2.079842
Azerbaijan,AZE,1992,2.367986
Azerbaijan,AZE,1993,1.847722
Azerbaijan,AZE,1994,0.7762645
Azerbaijan,AZE,1995,0.7589484
Azerbaijan,AZE,1996,1.105828
Azerbaijan,AZE,1997,1.667972
Azerbaijan,AZE,1998,0.8385647
Azerbaijan,AZE,1999,0.7774907
Azerbaijan,AZE,2000,0.8361951
Azerbaijan,AZE,2002,4.718285
Azerbaijan,AZE,2004,1.380964637
Azerbaijan,AZE,2005,1.380964637
Bahamas,BHS,2002,3.141181
Bahamas,BHS,2004,3.374415874
Bahamas,BHS,2005,3.374415874
Bahrain,BHR,1985,2.361826
Bahrain,BHR,1987,2.411743
Bahrain,BHR,1988,2.750445
Bahrain,BHR,1999,2.012584
Bahrain,BHR,2000,3.683079
Bahrain,BHR,2001,2.977851
Bahrain,BHR,2002,3.881184
Bahrain,BHR,2004,4.414990425
Bahrain,BHR,2005,4.414990425
Bangladesh,BGD,2002,14.7468
Bangladesh,BGD,2004,14.53835678
Bangladesh,BGD,2005,14.53835678
Barbados,BRB,2002,3.996051
Barbados,BRB,2004,3.108602524
Barbados,BRB,2005,3.108602524
Belarus,BLR,1981,23.69643
Belarus,BLR,1982,25.53273
Belarus,BLR,1985,21.96483
Belarus,BLR,1986,16.7862
Belarus,BLR,1987,18.01035
Belarus,BLR,1988,17.2866
Belarus,BLR,1989,20.46141
Belarus,BLR,1990,19.26921
Belarus,BLR,1991,19.82858
Belarus,BLR,1992,22.24357
Belarus,BLR,1993,26.17479
Belarus,BLR,1994,28.45045
Belarus,BLR,1995,29.04394
Belarus,BLR,1997,31.74479
Belarus,BLR,1998,31.84211
Belarus,BLR,1999,30.93279
Belarus,BLR,2000,31.28184
Belarus,BLR,2001,29.6032
Belarus,BLR,2002,29.54302
Belarus,BLR,2003,30.52928
Belarus,BLR,2004,31.08221245
Belarus,BLR,2005,26.8746903
Belgium,BEL,1954,11.33692
Belgium,BEL,1955,10.97399
Belgium,BEL,1956,11.9794
Belgium,BEL,1957,11.96483
Belgium,BEL,1958,12.1242
Belgium,BEL,1959,10.79907
Belgium,BEL,1960,12.10405
Belgium,BEL,1961,12.21452
Belgium,BEL,1962,11.2106
Belgium,BEL,1963,11.66752
Belgium,BEL,1964,11.73851
Belgium,BEL,1965,12.73038
Belgium,BEL,1966,12.0517
Belgium,BEL,1967,12.59613
Belgium,BEL,1968,13.08375
Belgium,BEL,1969,12.58881
Belgium,BEL,1970,13.8067
Belgium,BEL,1971,12.983
Belgium,BEL,1972,13.16265
Belgium,BEL,1973,12.45009
Belgium,BEL,1974,13.38962
Belgium,BEL,1975,13.64228
Belgium,BEL,1976,14.15512
Belgium,BEL,1977,16.3792
Belgium,BEL,1978,17.72808
Belgium,BEL,1979,18.26249
Belgium,BEL,1980,19.00523
Belgium,BEL,1981,18.76957
Belgium,BEL,1982,18.62509
Belgium,BEL,1983,19.62522
Belgium,BEL,1984,20.16465
Belgium,BEL,1985,19.40232
Belgium,BEL,1986,18.66436
Belgium,BEL,1987,18.94862
Belgium,BEL,1988,16.84894
Belgium,BEL,1989,15.99179
Belgium,BEL,1990,15.71091
Belgium,BEL,1991,14.92314
Belgium,BEL,1992,15.48513
Belgium,BEL,1993,17.86711
Belgium,BEL,1994,17.69854
Belgium,BEL,1995,17.92797
Belgium,BEL,1996,16.79021
Belgium,BEL,1997,17.86538
Belgium,BEL,1998,16.64468
Belgium,BEL,1999,15.33369
Belgium,BEL,2002,17.61622
Belgium,BEL,2004,15.95385
Belgium,BEL,2005,15.95385
Belize,BLZ,2002,3.146572
Belize,BLZ,2004,9.388795853
Belize,BLZ,2005,9.388795853
Benin,BEN,2002,6.626652
Benin,BEN,2004,6.057739735
Benin,BEN,2005,6.057739735
Bhutan,BTN,2002,17.39743
Bhutan,BTN,2004,15.54260254
Bhutan,BTN,2005,15.54260254
Bolivia,BOL,2002,2.206954
Bolivia,BOL,2004,2.034178495
Bolivia,BOL,2005,2.034178495
Bosnia and Herzegovina,BIH,1985,10.2689
Bosnia and Herzegovina,BIH,1986,11.7112
Bosnia and Herzegovina,BIH,1987,11.22201
Bosnia and Herzegovina,BIH,1988,9.739096
Bosnia and Herzegovina,BIH,1989,9.906481
Bosnia and Herzegovina,BIH,1990,10.18912
Bosnia and Herzegovina,BIH,1991,11.34873
Bosnia and Herzegovina,BIH,2002,12.45098
Bosnia and Herzegovina,BIH,2004,11.8367157
Bosnia and Herzegovina,BIH,2005,11.8367157
Botswana,BWA,2002,7.453454
Botswana,BWA,2004,11.21397018
Botswana,BWA,2005,11.21397018
Brazil,BRA,1982,3.825186
Brazil,BRA,1983,4.306122
Brazil,BRA,1984,4.103057
Brazil,BRA,1985,3.875458
Brazil,BRA,1986,3.839376
Brazil,BRA,1987,4.032371
Brazil,BRA,1988,3.743677
Brazil,BRA,1989,3.627627
Brazil,BRA,1990,3.817847
Brazil,BRA,1991,4.002315
Brazil,BRA,1992,3.943459
Brazil,BRA,1993,3.987151
Brazil,BRA,1994,4.16313
Brazil,BRA,1995,4.613017
Brazil,BRA,1996,4.593544
Brazil,BRA,1997,4.648774
Brazil,BRA,1998,4.570699
Brazil,BRA,1999,4.156154
Brazil,BRA,2000,4.235338
Brazil,BRA,2001,4.689151
Brazil,BRA,2002,4.564688
Brazil,BRA,2003,4.541708
Brazil,BRA,2004,4.544517
Brazil,BRA,2005,4.777007
Brunei,BRN,2002,1.450894
Brunei,BRN,2004,1.370001554
Brunei,BRN,2005,1.370001554
Bulgaria,BGR,1964,8.495569
Bulgaria,BGR,1965,8.836132
Bulgaria,BGR,1966,9.524807
Bulgaria,BGR,1967,9.771757
Bulgaria,BGR,1968,9.300859
Bulgaria,BGR,1969,10.71659
Bulgaria,BGR,1970,11.03628
Bulgaria,BGR,1971,11.23274
Bulgaria,BGR,1972,10.35056
Bulgaria,BGR,1973,10.41801
Bulgaria,BGR,1974,11.29529
Bulgaria,BGR,1975,11.47946
Bulgaria,BGR,1976,12.37924
Bulgaria,BGR,1977,12.56126
Bulgaria,BGR,1978,11.87868
Bulgaria,BGR,1979,12.44803
Bulgaria,BGR,1980,11.81065
Bulgaria,BGR,1981,11.7393
Bulgaria,BGR,1982,13.22019
Bulgaria,BGR,1983,11.19199
Bulgaria,BGR,1984,14.27714
Bulgaria,BGR,1985,13.53859
Bulgaria,BGR,1986,13.31617
Bulgaria,BGR,1987,13.86124
Bulgaria,BGR,1988,13.47092
Bulgaria,BGR,1989,13.49538
Bulgaria,BGR,1990,12.25013
Bulgaria,BGR,1991,12.60847
Bulgaria,BGR,1992,14.42051
Bulgaria,BGR,1993,14.11095
Bulgaria,BGR,1994,13.8071
Bulgaria,BGR,1995,13.50905
Bulgaria,BGR,1996,14.4721
Bulgaria,BGR,1997,13.69746
Bulgaria,BGR,1998,14.18205
Bulgaria,BGR,1999,12.25715
Bulgaria,BGR,2000,13.05248
Bulgaria,BGR,2001,12.40352
Bulgaria,BGR,2002,12.3741
Bulgaria,BGR,2003,10.38297
Bulgaria,BGR,2004,9.517831
Bulgaria,BGR,2005,9.216544
Burkina Faso,BFA,2002,8.277635
Burkina Faso,BFA,2004,8.204221725
Burkina Faso,BFA,2005,8.204221725
Burundi,BDI,2002,10.84354
Burundi,BDI,2004,14.68093586
Burundi,BDI,2005,14.68093586
Cambodia,KHM,2002,5.028395
Cambodia,KHM,2004,4.961071491
Cambodia,KHM,2005,4.961071491
Cameroon,CMR,2002,6.682539
Cameroon,CMR,2004,7.214220524
Cameroon,CMR,2005,7.214220524
Canada,CAN,1950,8.201165
Canada,CAN,1951,7.869432
Canada,CAN,1952,7.786166
Canada,CAN,1953,7.629456
Canada,CAN,1954,7.803952
Canada,CAN,1955,7.667578
Canada,CAN,1956,8.347555
Canada,CAN,1957,8.257942
Canada,CAN,1958,8.249329
Canada,CAN,1959,8.147938
Canada,CAN,1960,8.403479
Canada,CAN,1961,8.312451
Canada,CAN,1962,8.002673
Canada,CAN,1963,8.473262
Canada,CAN,1964,9.206102
Canada,CAN,1965,9.751631
Canada,CAN,1966,9.506003
Canada,CAN,1967,9.95408
Canada,CAN,1968,10.67558
