Entity,Code,Year,Sulphur oxides (SO₂) ((1990 = 100))
Australia,AUS,1990,100
Australia,AUS,1991,102.74
Australia,AUS,1992,109.76
Australia,AUS,1993,112.97
Australia,AUS,1994,116.97
Australia,AUS,1995,109.12
Australia,AUS,1996,112.99
Australia,AUS,1997,116.21
Australia,AUS,1998,112.38
Australia,AUS,1999,117.8
Australia,AUS,2000,151.73
Australia,AUS,2001,163.13
Australia,AUS,2002,173.74
Australia,AUS,2003,173.24
Australia,AUS,2004,157
Australia,AUS,2005,162.05
Australia,AUS,2006,155.14
Australia,AUS,2007,157.18
Australia,AUS,2008,168.46
Australia,AUS,2009,167.16
Australia,AUS,2010,153.02
Australia,AUS,2011,151.43
Australia,AUS,2012,150.47
Australia,AUS,2013,148.32
Australia,AUS,2014,146.84
Australia,AUS,2015,145.46
Austria,AUT,1990,100
Austria,AUT,1991,96
Austria,AUT,1992,74
Austria,AUT,1993,71.82
Austria,AUT,1994,64.22
Austria,AUT,1995,63.69
Austria,AUT,1996,60.06
Austria,AUT,1997,53.78
Austria,AUT,1998,47.55
Austria,AUT,1999,44.99
Austria,AUT,2000,42.26
Austria,AUT,2001,43.43
Austria,AUT,2002,42.32
Austria,AUT,2003,42.39
Austria,AUT,2004,36.2
Austria,AUT,2005,34.69
Austria,AUT,2006,35.62
Austria,AUT,2007,30.96
Austria,AUT,2008,27.49
Austria,AUT,2009,20.16
Austria,AUT,2010,22.28
Austria,AUT,2011,20.75
Austria,AUT,2012,20.08
Austria,AUT,2013,19.91
Austria,AUT,2014,19.69
Austria,AUT,2015,19.86
Belgium,BEL,1990,100
Belgium,BEL,1991,100.67
Belgium,BEL,1992,98.26
Belgium,BEL,1993,91.24
Belgium,BEL,1994,79.52
Belgium,BEL,1995,70.57
Belgium,BEL,1996,67.92
Belgium,BEL,1997,61.54
Belgium,BEL,1998,58.3
Belgium,BEL,1999,47.4
Belgium,BEL,2000,47.25
Belgium,BEL,2001,45.49
Belgium,BEL,2002,42.81
Belgium,BEL,2003,41.6
