Entity,Code,Year,Children (children),Households with children (households with children),Households (households)
England,,2004,122530,72510,101300
England,,2005,127990,74180,101020
England,,2006,129340,69500,93090
England,,2007,117090,62830,82750
England,,2008,104640,55850,72130
England,,2009,82780,43400,56920
England,,2010,71460,37620,49680
England,,2011,69850,36680,49100
England,,2012,75460,40090,52960
England,,2013,78770,42210,57410
England,,2014,91090,47460,60900
England,,2015,103440,53480,68560
England,,2016,117510,59380,74750
England,,2017,122830,61980,79830
England,,2002,,61740,85010
England,,2003,,67260,94440
England,,1998,,,52510
England,,1999,,,71860
England,,2000,,,77800
England,,2001,,,77510
