Entity,Code,Year,Terrestrial protected areas (% of total land area) (% of total land area)
Afghanistan,AFG,2016,0.1
Afghanistan,AFG,2017,0.104707034792812
Albania,ALB,2016,17.21
Albania,ALB,2017,17.7360953122157
Algeria,DZA,2016,7.5
Algeria,DZA,2017,7.49506002830462
American Samoa,ASM,2016,4.27
American Samoa,ASM,2017,15.8477447307274
Andorra,AND,2016,21.19
Andorra,AND,2017,26.7277247815139
Angola,AGO,2016,6.97
Angola,AGO,2017,6.97142669594584
Antigua and Barbuda,ATG,2016,19.33
Antigua and Barbuda,ATG,2017,18.5696736890488
Arab World,,2016,4.93511332087057
Arab World,,2017,5.2609229556864
Argentina,ARG,2016,8.89
Argentina,ARG,2017,8.80825141581955
Armenia,ARM,2016,23.11
Armenia,ARM,2017,23.1105028060216
Aruba,ABW,2016,0.53
Aruba,ABW,2017,18.9175762600279
Australia,AUS,2016,16.98
Australia,AUS,2017,19.2656223071572
Austria,AUT,2016,28.44
Austria,AUT,2017,28.397981655605
Azerbaijan,AZE,2016,10.15
Azerbaijan,AZE,2017,10.1551256208372
Bahamas,BHS,2016,31.2
Bahamas,BHS,2017,36.6336475275265
Bahrain,BHR,2016,6.7
Bahrain,BHR,2017,6.62174781265092
Bangladesh,BGD,2016,4.61
Bangladesh,BGD,2017,4.60596281196676
Barbados,BRB,2016,1.35
Barbados,BRB,2017,1.27010819350234
Belarus,BLR,2016,9.51
Belarus,BLR,2017,9.35349335261769
Belgium,BEL,2016,23.21
Belgium,BEL,2017,23.293342934656
Belize,BLZ,2016,37.68
Belize,BLZ,2017,37.6793655671877
Benin,BEN,2016,28.87
Benin,BEN,2017,29.6233712049703
Bermuda,BMU,2016,5.52
Bermuda,BMU,2017,2.07991902345745
Bhutan,BTN,2016,48.01
Bhutan,BTN,2017,48.0078510451913
Bolivia,BOL,2016,30.87
Bolivia,BOL,2017,30.8654914952936
Bosnia and Herzegovina,BIH,2016,1.45
Bosnia and Herzegovina,BIH,2017,1.39550157071326
Botswana,BWA,2016,29.14
Botswana,BWA,2017,29.1432374214093
Brazil,BRA,2016,28.94
Brazil,BRA,2017,29.4196676737717
British Virgin Islands,VGB,2016,8.54
British Virgin Islands,VGB,2017,9.10881468166607
Brunei,BRN,2016,46.87
Brunei,BRN,2017,46.87211976066
Bulgaria,BGR,2016,34.69
Bulgaria,BGR,2017,34.7035801172141
Burkina Faso,BFA,2016,15.08
Burkina Faso,BFA,2017,14.9228805539331
Burundi,BDI,2016,7.59
Burundi,BDI,2017,7.5914717058788
Cambodia,KHM,2016,26.03
Cambodia,KHM,2017,26.027716099692
Cameroon,CMR,2016,10.6
Cameroon,CMR,2017,10.6005464149767
Canada,CAN,2016,9.69
Canada,CAN,2017,9.68557393581083
Cape Verde,CPV,2016,2.6
Cape Verde,CPV,2017,2.89524038891919
Caribbean small states,,2016,13.6508563415251
Caribbean small states,,2017,13.8223398502535
Cayman Islands,CYM,2016,10.72
Cayman Islands,CYM,2017,10.7627698356687
Central African Republic,CAF,2016,18.06
Central African Republic,CAF,2017,18.0648242198926
Central Europe and the Baltics,,2016,30.0645257831066
Central Europe and the Baltics,,2017,30.1582070259681
Chad,TCD,2016,20.35
Chad,TCD,2017,20.3544358034532
Chile,CHL,2016,18.4
Chile,CHL,2017,18.4944542424793
China,CHN,2016,17.08
China,CHN,2017,15.449041955767
Colombia,COL,2016,14.16
Colombia,COL,2017,14.8069558212089
Comoros,COM,2016,10.17
Comoros,COM,2017,10.1514342727337
Congo,COG,2016,40.59
Congo,COG,2017,40.7380367837893
Costa Rica,CRI,2016,27.6
Costa Rica,CRI,2017,27.6026953211753
Cote d'Ivoire,CIV,2016,22.88
Cote d'Ivoire,CIV,2017,22.8846634839832
Croatia,HRV,2016,38.11
Croatia,HRV,2017,38.2536302140039
Cuba,CUB,2016,16.55
Cuba,CUB,2017,16.5532324654921
Curacao,CUW,2016,15.52
Curacao,CUW,2017,15.4623806987241
Cyprus,CYP,2016,18.65
Cyprus,CYP,2017,18.6504409036147
Czech Republic,CZE,2016,21.69
Czech Republic,CZE,2017,22.1556760039807
Democratic Republic of Congo,COD,2016,12.7
Democratic Republic of Congo,COD,2017,13.8332604673993
Denmark,DNK,2016,17.56
Denmark,DNK,2017,18.1020211937511
Djibouti,DJI,2016,1.57
Djibouti,DJI,2017,1.57464592463938
Dominica,DMA,2016,22.06
Dominica,DMA,2017,21.9868244583373
Dominican Republic,DOM,2016,23.02
Dominican Republic,DOM,2017,26.2367518845671
Early-demographic dividend,,2016,12.7767894437764
Early-demographic dividend,,2017,12.6698826982907
East Asia & Pacific,,2016,16.221155320015
East Asia & Pacific,,2017,16.4803471395691
East Asia & Pacific (IDA & IBRD),,2016,15.5869135150026
East Asia & Pacific (IDA & IBRD),,2017,14.6523225976623
East Asia & Pacific (excluding high income),,2016,15.4890256415961
East Asia & Pacific (excluding high income),,2017,14.5614498516303
Ecuador,ECU,2016,20.03
Ecuador,ECU,2017,21.6861189348777
Egypt,EGY,2016,13.14
Egypt,EGY,2017,13.1360553831375
El Salvador,SLV,2016,8.78
El Salvador,SLV,2017,8.77628667233756
Equatorial Guinea,GNQ,2016,19.27
Equatorial Guinea,GNQ,2017,19.2667589536442
Eritrea,ERI,2016,4.87
Eritrea,ERI,2017,4.87239093903435
Estonia,EST,2016,20.18
Estonia,EST,2017,20.2184748207416
Ethiopia,ETH,2016,18.47
Ethiopia,ETH,2017,18.4749603066502
Euro area,,2016,25.7889082228244
Euro area,,2017,25.7988558110942
Europe & Central Asia,,2016,11.5930394270617
Europe & Central Asia,,2017,11.6236560006401
Europe & Central Asia (IDA & IBRD),,2016,9.02258276364164
Europe & Central Asia (IDA & IBRD),,2017,9.037497917306
Europe & Central Asia (excluding high income),,2016,8.54488616848965
Europe & Central Asia (excluding high income),,2017,8.55928822045764
European Union,,2016,25.8406046381438
European Union,,2017,25.9376293148688
Faeroe Islands,FRO,2016,2.34
Faeroe Islands,FRO,2017,2.32909328433195
Fiji,FJI,2016,5.4
Fiji,FJI,2017,5.41119687502089
Finland,FIN,2016,14.94
Finland,FIN,2017,15.0232916032633
Fragile and conflict affected situations,,2016,9.75135401166689
Fragile and conflict affected situations,,2017,10.2889170093838
France,FRA,2016,26.03
France,FRA,2017,25.7919660039
French Polynesia,PYF,2016,1.96
French Polynesia,PYF,2017,1.95319459774213
Gabon,GAB,2016,20.14
Gabon,GAB,2017,22.4427560590428
Gambia,GMB,2016,4.11
Gambia,GMB,2017,4.10736207362125
Georgia,GEO,2016,8.33
Georgia,GEO,2017,8.33359715447386
Germany,DEU,2016,37.68
Germany,DEU,2017,37.7519230162364
Ghana,GHA,2016,15.06
Ghana,GHA,2017,15.0573797984075
Gibraltar,GIB,2016,26.67
Gibraltar,GIB,2017,32.4234218176205
Greece,GRC,2016,34.96
Greece,GRC,2017,35.2163408633262
Greenland,GRL,2016,41.12
Greenland,GRL,2017,41.1536023513172
Grenada,GRD,2016,9.37
Grenada,GRD,2017,9.77750817324608
Guam,GUM,2016,21.92
Guam,GUM,2017,22.4691376782389
Guatemala,GTM,2016,31.75
Guatemala,GTM,2017,20.0478790782543
Guinea,GIN,2016,30.68
Guinea,GIN,2017,35.6461939863954
Guinea-Bissau,GNB,2016,16.66
Guinea-Bissau,GNB,2017,16.662653555347
Guyana,GUY,2016,8.74
Guyana,GUY,2017,8.73748680882895
Haiti,HTI,2016,0.27
Haiti,HTI,2017,1.9498829806779
Heavily indebted poor countries (HIPC),,2016,15.891781025528
Heavily indebted poor countries (HIPC),,2017,16.6304260277274
High income,,2016,14.0268281765504
High income,,2017,14.6208932889518
Honduras,HND,2016,28.44
Honduras,HND,2017,23.8855522578119
Hong Kong,HKG,2016,41.9
Hong Kong,HKG,2017,41.8836803684402
Hungary,HUN,2016,22.6
Hungary,HUN,2017,22.5975581595624
IBRD only,,2016,14.6001017802078
IBRD only,,2017,14.4045507698151
IDA & IBRD total,,2016,14.4990003555034
IDA & IBRD total,,2017,14.4916734652395
IDA blend,,2016,14.8947802704695
IDA blend,,2017,14.9852428000614
IDA only,,2016,14.0433320375802
IDA only,,2017,14.6500554119244
IDA total,,2016,14.23291916454
IDA total,,2017,14.726487079747
Iceland,ISL,2016,17.44
Iceland,ISL,2017,18.15153229479
India,IND,2016,5.97
India,IND,2017,5.96651940171319
Indonesia,IDN,2016,11.87
Indonesia,IDN,2017,12.1656963637972
Iran,IRN,2016,8.61
Iran,IRN,2017,8.61413274206963
Iraq,IRQ,2016,1.54
Iraq,IRQ,2017,1.53341211794309
Ireland,IRL,2016,14.44
Ireland,IRL,2017,14.4412618535015
Isle of Man,IMN,2016,3.78
Isle of Man,IMN,2017,3.72176999077853
Israel,ISR,2016,19.94
Israel,ISR,2017,19.9465990771498
Italy,ITA,2016,21.51
Italy,ITA,2017,21.5390596088817
Jamaica,JAM,2016,15.91
Jamaica,JAM,2017,15.916513533077
Japan,JPN,2016,19.36
Japan,JPN,2017,29.3875386330145
Jordan,JOR,2016,1.73
Jordan,JOR,2017,1.77057864219415
Kazakhstan,KAZ,2016,3.28
Kazakhstan,KAZ,2017,3.3120856618332
Kenya,KEN,2016,12.36
Kenya,KEN,2017,12.3633596228224
Kiribati,KIR,2016,22.37
Kiribati,KIR,2017,22.3604134900276
Kuwait,KWT,2016,17.5
Kuwait,KWT,2017,17.5006769636402
Kyrgyzstan,KGZ,2016,6.51
Kyrgyzstan,KGZ,2017,6.70269298312778
Laos,LAO,2016,16.68
Laos,LAO,2017,16.6822056274146
Late-demographic dividend,,2016,15.6540714486364
Late-demographic dividend,,2017,15.4537243457995
Latin America & Caribbean,,2016,23.1081137853447
Latin America & Caribbean,,2017,23.4634276200651
Latin America & Caribbean (IDA & IBRD),,2016,23.1452060273838
Latin America & Caribbean (IDA & IBRD),,2017,23.4991327705005
Latin America & Caribbean (excluding high income),,2016,25.9212585361923
Latin America & Caribbean (excluding high income),,2017,26.3636980575224
Latvia,LVA,2016,18.17
Latvia,LVA,2017,18.1713211908866
Least developed countries: UN classification,,2016,13.4380971824565
Least developed countries: UN classification,,2017,14.058087723922
Lebanon,LBN,2016,2.59
