Entity,Code,Year,"Mammal species, threatened (threatened species)"
Afghanistan,AFG,2017,11
Albania,ALB,2017,3
Algeria,DZA,2017,14
American Samoa,ASM,2017,1
Andorra,AND,2017,2
Angola,AGO,2017,18
Antigua and Barbuda,ATG,2017,2
Arab World,,2017,249
Argentina,ARG,2017,37
Armenia,ARM,2017,9
Aruba,ABW,2017,2
Australia,AUS,2017,63
Austria,AUT,2017,3
Azerbaijan,AZE,2017,8
Bahamas,BHS,2017,6
Bahrain,BHR,2017,3
Bangladesh,BGD,2017,37
Barbados,BRB,2017,3
Belarus,BLR,2017,4
Belgium,BEL,2017,2
Belize,BLZ,2017,9
Benin,BEN,2017,14
Bermuda,BMU,2017,4
Bhutan,BTN,2017,25
Bolivia,BOL,2017,20
Bosnia and Herzegovina,BIH,2017,4
Botswana,BWA,2017,11
Brazil,BRA,2017,81
British Virgin Islands,VGB,2017,1
Brunei,BRN,2017,33
Bulgaria,BGR,2017,8
Burkina Faso,BFA,2017,9
Burundi,BDI,2017,14
Cambodia,KHM,2017,39
Cameroon,CMR,2017,47
Canada,CAN,2017,14
Cape Verde,CPV,2017,4
Caribbean small states,,2017,61
Cayman Islands,CYM,2017,1
Central African Republic,CAF,2017,16
Central Europe and the Baltics,,2017,51
Chad,TCD,2017,16
Chile,CHL,2017,19
China,CHN,2017,74
Colombia,COL,2017,54
Comoros,COM,2017,5
Congo,COG,2017,17
Costa Rica,CRI,2017,11
Cote d'Ivoire,CIV,2017,31
Croatia,HRV,2017,9
Cuba,CUB,2017,11
Curacao,CUW,2017,3
Cyprus,CYP,2017,6
Czech Republic,CZE,2017,3
Democratic Republic of Congo,COD,2017,34
Denmark,DNK,2017,2
Djibouti,DJI,2017,10
Dominica,DMA,2017,3
Dominican Republic,DOM,2017,6
Early-demographic dividend,,2017,1394
East Asia & Pacific,,2017,930
East Asia & Pacific (IDA & IBRD),,2017,729
East Asia & Pacific (excluding high income),,2017,736
Ecuador,ECU,2017,45
Egypt,EGY,2017,18
El Salvador,SLV,2017,6
Equatorial Guinea,GNQ,2017,24
Eritrea,ERI,2017,15
Estonia,EST,2017,1
Ethiopia,ETH,2017,32
Euro area,,2017,100
Europe & Central Asia,,2017,355
Europe & Central Asia (IDA & IBRD),,2017,203
Europe & Central Asia (excluding high income),,2017,189
European Union,,2017,145
Faeroe Islands,FRO,2017,4
Fiji,FJI,2017,6
Finland,FIN,2017,2
Fragile and conflict affected situations,,2017,504
France,FRA,2017,9
French Polynesia,PYF,2017,0
Gabon,GAB,2017,20
Gambia,GMB,2017,10
Georgia,GEO,2017,9
Germany,DEU,2017,5
Ghana,GHA,2017,22
Gibraltar,GIB,2017,4
Greece,GRC,2017,11
Greenland,GRL,2017,9
Grenada,GRD,2017,4
Guam,GUM,2017,2
Guatemala,GTM,2017,14
Guinea,GIN,2017,29
Guinea-Bissau,GNB,2017,14
Guyana,GUY,2017,11
Haiti,HTI,2017,5
Heavily indebted poor countries (HIPC),,2017,799
High income,,2017,596
Honduras,HND,2017,7
Hong Kong,HKG,2017,4
Hungary,HUN,2017,3
IBRD only,,2017,1612
IDA & IBRD total,,2017,2903
IDA blend,,2017,248
IDA only,,2017,1043
IDA total,,2017,1291
Iceland,ISL,2017,6
India,IND,2017,94
Indonesia,IDN,2017,191
Iran,IRN,2017,19
Iraq,IRQ,2017,15
Ireland,IRL,2017,5
Isle of Man,IMN,2017,1
Israel,ISR,2017,15
Italy,ITA,2017,8
Jamaica,JAM,2017,6
Japan,JPN,2017,29
Jordan,JOR,2017,13
Kazakhstan,KAZ,2017,16
Kenya,KEN,2017,30
Kiribati,KIR,2017,1
Kuwait,KWT,2017,7
Kyrgyzstan,KGZ,2017,5
Laos,LAO,2017,45
Late-demographic dividend,,2017,802
Latin America & Caribbean,,2017,615
Latin America & Caribbean (IDA & IBRD),,2017,579
Latin America & Caribbean (excluding high income),,2017,501
Latvia,LVA,2017,1
Least developed countries: UN classification,,2017,949
Lebanon,LBN,2017,10
Lesotho,LSO,2017,4
Liberia,LBR,2017,23
Libya,LBY,2017,10
Liechtenstein,LIE,2017,0
Lithuania,LTU,2017,2
Low & middle income,,2017,2816
Low income,,2017,680
Lower middle income,,2017,1128
Luxembourg,LUX,2017,0
Macao,MAC,2017,0
Macedonia,MKD,2017,6
Madagascar,MDG,2017,121
Malawi,MWI,2017,10
Malaysia,MYS,2017,72
Maldives,MDV,2017,2
Mali,MLI,2017,14
Malta,MLT,2017,2
Marshall Islands,MHL,2017,2
Mauritania,MRT,2017,18
Mauritius,MUS,2017,7
Mexico,MEX,2017,93
Micronesia (country),FSM,2017,5
Middle East & North Africa,,2017,232
Middle East & North Africa (IDA & IBRD),,2017,166
Middle East & North Africa (excluding high income),,2017,170
Middle income,,2017,2136
Moldova,MDA,2017,5
Monaco,MCO,2017,3
Mongolia,MNG,2017,11
Montenegro,MNE,2017,6
Morocco,MAR,2017,18
Mozambique,MOZ,2017,17
Myanmar,MMR,2017,49
Namibia,NAM,2017,15
Nauru,NRU,2017,1
Nepal,NPL,2017,29
Netherlands,NLD,2017,3
New Caledonia,NCL,2017,9
New Zealand,NZL,2017,9
Nicaragua,NIC,2017,7
Niger,NER,2017,13
Nigeria,NGA,2017,32
North America,,2017,54
North Korea,PRK,2017,10
Northern Mariana Islands,MNP,2017,4
Norway,NOR,2017,8
OECD members,,2017,434
Oman,OMN,2017,11
