Entity,Code,Year, (£)
England,,1270,3517775650
England,,1271,3481222223
England,,1272,3611892126
England,,1273,3406873983
England,,1274,3394209720
England,,1275,3879733912
England,,1276,3414313796
England,,1277,3645879869
England,,1278,3780002360
England,,1279,3137459102
England,,1280,3187376041
England,,1281,3389514117
England,,1282,3290186519
England,,1283,3130209503
England,,1284,3239452092
England,,1285,3282516639
England,,1286,3238336173
England,,1287,3547235246
England,,1288,3441497085
England,,1289,3177762744
England,,1290,3225140194
England,,1291,3231350950
England,,1292,3403053173
England,,1293,3483230916
England,,1294,3456899900
England,,1295,3701981344
England,,1296,3849827185
England,,1297,3683481162
England,,1298,3874317047
England,,1299,3731019244
England,,1300,3705247227
England,,1301,3731189579
England,,1302,3827503547
England,,1303,3986082932
England,,1304,3605678277
England,,1305,3705503810
England,,1306,3598401469
England,,1307,3771924182
England,,1308,3816136022
England,,1309,3910138810
England,,1310,3857976146
England,,1311,3993569498
England,,1312,3887658936
England,,1313,3956537817
England,,1314,3957419006
England,,1315,3555671848
England,,1316,3356171670
England,,1317,3510662648
England,,1318,3873321178
England,,1319,3889591915
England,,1320,3761672658
England,,1321,3180900376
England,,1322,3347058920
England,,1323,3471878215
England,,1324,3162990576
England,,1325,3422890478
England,,1326,3488044194
England,,1327,3449154667
England,,1328,3223249556
England,,1329,3411395282
England,,1330,3342788007
England,,1331,3205486387
England,,1332,3394495792
England,,1333,3517461217
England,,1334,3422229865
England,,1335,3298993711
England,,1336,3476253947
England,,1337,3876230824
England,,1338,3975567588
England,,1339,3264751617
England,,1340,3680038915
England,,1341,3741009145
England,,1342,3939912857
England,,1343,3853652294
England,,1344,4140208298
England,,1345,3879384482
England,,1346,3708715930
England,,1347,3877395504
England,,1348,4000382123
England,,1349,3061664484
England,,1350,2840724840
England,,1351,2673647791
England,,1352,2767411925
England,,1353,2771405631
England,,1354,2650311629
England,,1355,2727284701
England,,1356,2686022001
England,,1357,2732731586
England,,1358,2742675734
England,,1359,2768294073
England,,1360,2745526781
England,,1361,2645145826
England,,1362,2571810333
England,,1363,2493081702
England,,1364,2765475960
England,,1365,2638260730
England,,1366,2713758964
England,,1367,2542803758
England,,1368,2521440408
England,,1369,2350823876
England,,1370,2630223733
England,,1371,2541160282
England,,1372,2294904191
England,,1373,2481049795
England,,1374,2278376751
England,,1375,2194030696
England,,1376,2531891852
England,,1377,2602529678
England,,1378,2554708433
England,,1379,2327131102
England,,1380,2413836602
England,,1381,2457540117
England,,1382,2522961040
England,,1383,2393126821
England,,1384,2686820613
England,,1385,2430566361
England,,1386,2697725207
England,,1387,2698284644
England,,1388,2477068226
England,,1389,2545530257
England,,1390,2369641652
England,,1391,2637395863
England,,1392,2951777607
England,,1393,2426811709
England,,1394,2651520436
England,,1395,2524873219
England,,1396,2527156659
England,,1397,2458778326
England,,1398,2618567242
England,,1399,2501017610
England,,1400,2418861155
England,,1401,2385903890
England,,1402,2447676183
England,,1403,2485729373
England,,1404,2526355157
England,,1405,2528707932
