Entity,Code,Year,Total number of people aged 15+ with no education (millions) - IIASA
Africa,,1970,108.5529022
Africa,,1975,114.2972996
Africa,,1980,119.9812981
Africa,,1985,125.7315369
Africa,,1990,132.0366668
Africa,,1995,137.7942427
Africa,,2000,143.3881769
Africa,,2005,147.6567774
Africa,,2010,150.9997302
Africa,,2015,154.2116953
Africa,,2020,156.3857725
Africa,,2025,157.521609
Africa,,2030,157.3982138
Africa,,2035,155.8441533
Africa,,2040,152.8032478
Africa,,2045,148.3492346
Africa,,2050,142.5944
Asia,,1970,543.0627898
Asia,,1975,542.216741
Asia,,1980,551.1921929
Asia,,1985,555.890135
Asia,,1990,555.7083876
Asia,,1995,545.3016543
Asia,,2000,531.9538142
Asia,,2005,516.4350823
Asia,,2010,496.2043581
Asia,,2015,471.9026993
Asia,,2020,444.6036777
Asia,,2025,415.5046212
Asia,,2030,384.8388952
Asia,,2035,352.4441054
Asia,,2040,318.4865588
Asia,,2045,283.54146
Asia,,2050,248.4860704
Europe,,1970,39.40432161
Europe,,1975,36.07936594
Europe,,1980,32.89006803
Europe,,1985,29.63542419
Europe,,1990,26.57090023
Europe,,1995,23.54875444
Europe,,2000,21.33661845
Europe,,2005,19.73308722
Europe,,2010,17.70370106
Europe,,2015,15.57340654
Europe,,2020,13.5568611
Europe,,2025,11.78464266
Europe,,2030,10.26495382
Europe,,2035,8.961270705
Europe,,2040,7.816729094
Europe,,2045,6.784155983
Europe,,2050,5.829735241
North America,,1970,17.69630628
North America,,1975,17.30473821
North America,,1980,16.78238485
North America,,1985,15.98106111
North America,,1990,15.20645521
North America,,1995,14.39953041
North America,,2000,13.61481418
North America,,2005,12.70823788
North America,,2010,11.81397565
North America,,2015,10.8849186
North America,,2020,9.918958761
North America,,2025,8.934339725
North America,,2030,7.953497371
North America,,2035,6.993239479
North America,,2040,6.067789738
North America,,2045,5.191487093
North America,,2050,4.377054269
Oceania,,1970,0.435840983
Oceania,,1975,0.336031644
Oceania,,1980,0.270634273
Oceania,,1985,0.207403376
Oceania,,1990,0.165193059
Oceania,,1995,0.126186946
Oceania,,2000,0.093674075
Oceania,,2005,0.068402609
Oceania,,2010,0.048684609
Oceania,,2015,0.033919627
Oceania,,2020,0.023252935
Oceania,,2025,0.0157185
Oceania,,2030,0.010415458
Oceania,,2035,0.006656269
Oceania,,2040,0.003993181
Oceania,,2045,0.002163096
Oceania,,2050,0.001008062
South America,,1970,27.23616332
South America,,1975,26.83347591
South America,,1980,26.12522995
South America,,1985,24.98832332
South America,,1990,23.68756642
South America,,1995,22.1767029
South America,,2000,20.59146067
South America,,2005,18.87882068
South America,,2010,17.03922435
South America,,2015,15.1660813
South America,,2020,13.30935011
South America,,2025,11.50554002
South America,,2030,9.79006695
South America,,2035,8.188047588
South America,,2040,6.717071003
South America,,2045,5.388886219
South America,,2050,4.213695021
