Entity,Code,Year,"15.a.1 - Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars) - DC_ODA_BDVDL (constant USD)"
Australia,AUS,2002,12589320
Australia,AUS,2003,594960
Australia,AUS,2004,902070
Australia,AUS,2005,16330690
Australia,AUS,2006,71407730
Australia,AUS,2007,69508830
Australia,AUS,2008,104469560
Australia,AUS,2009,177781680
Australia,AUS,2010,372633050
Australia,AUS,2011,294871820
Australia,AUS,2012,274654850
Australia,AUS,2013,245146570
Australia,AUS,2014,204182600
Australia,AUS,2015,233876680
Australia,AUS,2016,285116000
Australia,AUS,2017,219235560
Austria,AUT,2002,9704300
Austria,AUT,2003,4455340
Austria,AUT,2004,9442400
Austria,AUT,2005,14803550
Austria,AUT,2006,16157060.000000002
Austria,AUT,2007,12429350
Austria,AUT,2008,29011560
Austria,AUT,2009,28089230
Austria,AUT,2010,15774770
Austria,AUT,2011,16376430
Austria,AUT,2012,14838910
Austria,AUT,2013,43264970
Austria,AUT,2014,20192850
Austria,AUT,2015,17884030
Austria,AUT,2016,20310730
Austria,AUT,2017,22245980
Belgium,BEL,2002,5595090
Belgium,BEL,2003,5476720
Belgium,BEL,2004,18444790
Belgium,BEL,2005,25072150
Belgium,BEL,2006,28057100
Belgium,BEL,2007,54239420
Belgium,BEL,2008,106038640
Belgium,BEL,2009,147453320
Belgium,BEL,2010,137115950
Belgium,BEL,2011,142358310
Belgium,BEL,2012,81594520
Belgium,BEL,2013,145117400
Belgium,BEL,2014,167811400
Belgium,BEL,2015,202553610
Belgium,BEL,2016,135562860
Belgium,BEL,2017,180976920
Canada,CAN,2002,73789410
Canada,CAN,2003,98230870
Canada,CAN,2004,235057540
Canada,CAN,2005,5926350
Canada,CAN,2006,81616470
Canada,CAN,2007,57240310
Canada,CAN,2008,28110630
Canada,CAN,2009,118362910
Canada,CAN,2010,42274240
Canada,CAN,2011,67994060
Canada,CAN,2012,261463250.00000003
Canada,CAN,2013,45831320
Canada,CAN,2014,37505910
Canada,CAN,2015,60102770
Canada,CAN,2016,22934360
Canada,CAN,2017,4731650
Czech Republic,CZE,2011,308670
Czech Republic,CZE,2012,4689970
Czech Republic,CZE,2013,3491410
Czech Republic,CZE,2014,4007630
Czech Republic,CZE,2015,3195570
Czech Republic,CZE,2016,3839460
Czech Republic,CZE,2017,3123480
Denmark,DNK,2002,96211620
Denmark,DNK,2003,89538780
Denmark,DNK,2004,157765430
Denmark,DNK,2005,172406480
Denmark,DNK,2006,150111380
Denmark,DNK,2007,98695170
Denmark,DNK,2008,112185670
Denmark,DNK,2009,105517320
Denmark,DNK,2010,229025530
Denmark,DNK,2011,142082700
Denmark,DNK,2012,110660710
Denmark,DNK,2013,219216370
Denmark,DNK,2014,316970990
Denmark,DNK,2015,156192920
Denmark,DNK,2016,38669740
Denmark,DNK,2017,52721570
Finland,FIN,2002,13518460
Finland,FIN,2003,4272230
Finland,FIN,2004,17793770
Finland,FIN,2005,3141770
Finland,FIN,2006,3488930
Finland,FIN,2007,49369030
Finland,FIN,2008,116051250
Finland,FIN,2009,103450520
Finland,FIN,2010,103607710
Finland,FIN,2011,174140850
Finland,FIN,2012,40855490
Finland,FIN,2013,17424970
Finland,FIN,2014,12608160
Finland,FIN,2015,19875880
Finland,FIN,2016,6133460
Finland,FIN,2017,3324820
France,FRA,2002,104898280
France,FRA,2003,63486520
France,FRA,2004,110283510
France,FRA,2005,67692730
France,FRA,2006,113339920
France,FRA,2007,152033190
France,FRA,2008,185283500
France,FRA,2009,212247900
France,FRA,2010,404025340
France,FRA,2011,278469450
France,FRA,2012,469700500
France,FRA,2013,218181810
France,FRA,2014,615076570
France,FRA,2015,1581099290
France,FRA,2016,1893907850
