Entity,Code,Year,"Number of people living in extreme poverty, by world region (World Bank, Povcalnet (2019))"
East Asia and Pacific,,1990,983880000
East Asia and Pacific,,1993,899240000
East Asia and Pacific,,1996,710780032
East Asia and Pacific,,1999,692270016
East Asia and Pacific,,2002,549090048
East Asia and Pacific,,2005,358589984
East Asia and Pacific,,2008,296480000
East Asia and Pacific,,2010,220510000
East Asia and Pacific,,2011,169740000
East Asia and Pacific,,2012,144420000
East Asia and Pacific,,2013,73090000
East Asia and Pacific,,2015,47000000
Europe and Central Asia,,1990,13290000
Europe and Central Asia,,1993,24530000
Europe and Central Asia,,1996,34210000
Europe and Central Asia,,1999,37020000
Europe and Central Asia,,2002,28050000
Europe and Central Asia,,2005,22830000
Europe and Central Asia,,2008,13200000
Europe and Central Asia,,2010,11370000
Europe and Central Asia,,2011,9810000
Europe and Central Asia,,2012,8900000
Europe and Central Asia,,2013,7610000
Europe and Central Asia,,2015,7130000
Latin America and the Caribbean,,1990,65460000
Latin America and the Caribbean,,1993,65019996
Latin America and the Caribbean,,1996,67080000
Latin America and the Caribbean,,1999,69410000
Latin America and the Caribbean,,2002,63090000
Latin America and the Caribbean,,2005,54990000
Latin America and the Caribbean,,2008,39810000
Latin America and the Caribbean,,2010,36260000
Latin America and the Caribbean,,2011,34110000
Latin America and the Caribbean,,2012,28640000
Latin America and the Caribbean,,2013,27970000
Latin America and the Caribbean,,2015,24320000
Middle East and North Africa,,1990,14210000
Middle East and North Africa,,1993,17140000
Middle East and North Africa,,1996,16190001
Middle East and North Africa,,1999,10530000
Middle East and North Africa,,2002,9850000
Middle East and North Africa,,2005,9440000
Middle East and North Africa,,2008,8820000
Middle East and North Africa,,2010,7860000
Middle East and North Africa,,2011,9240000
Middle East and North Africa,,2012,9410000
Middle East and North Africa,,2013,9400000
Middle East and North Africa,,2015,15650000
Other High Income,,1990,4330000
Other High Income,,1993,4870000
Other High Income,,1996,4900000
Other High Income,,1999,5000000
Other High Income,,2002,5070000
Other High Income,,2005,5250000
Other High Income,,2008,5080000
Other High Income,,2010,5820000
Other High Income,,2011,6170000
Other High Income,,2012,6120000
Other High Income,,2013,6440000
Other High Income,,2015,7360000
South Asia,,1990,535929984
South Asia,,1993,542140032
South Asia,,1996,517940000
South Asia,,1999,534060000
South Asia,,2002,554880000
South Asia,,2005,510360000
South Asia,,2008,467020000
South Asia,,2010,400840000
South Asia,,2011,327989984
South Asia,,2012,304720000
South Asia,,2013,274420000
South Asia,,2015,216570000
Sub-Saharan Africa,,1990,280149984
Sub-Saharan Africa,,1993,331960000
Sub-Saharan Africa,,1996,355520000
Sub-Saharan Africa,,1999,381049984
Sub-Saharan Africa,,2002,390890016
Sub-Saharan Africa,,2005,389070016
Sub-Saharan Africa,,2008,398549984
Sub-Saharan Africa,,2010,408529984
Sub-Saharan Africa,,2011,405850016
Sub-Saharan Africa,,2012,405630016
Sub-Saharan Africa,,2013,403970016
Sub-Saharan Africa,,2015,412989984
World,OWID_WRL,1990,1897250048
World,OWID_WRL,1993,1884910080
World,OWID_WRL,1996,1706610048
World,OWID_WRL,1999,1729339904
World,OWID_WRL,2002,1600920064
World,OWID_WRL,2005,1350550016
World,OWID_WRL,2008,1228960000
World,OWID_WRL,2010,1091189888
World,OWID_WRL,2011,962909952
World,OWID_WRL,2012,907859968
World,OWID_WRL,2013,802889984
World,OWID_WRL,2015,731020032
