Entity,Code,Year,Net foreign assets ($),Human capital ($),Natural capital ($),Produced capital ($)
East Asia & Pacific,,1995,-506138290000,104490678960000,11782183800000,27671821530000
East Asia & Pacific,,2000,194317710000,115115257580000,13474654840000,36198802170000
East Asia & Pacific,,2010,1428161650000,116085831530000,17742046490000,48097551230000
East Asia & Pacific,,2014,3827740660000,182551351040000,31625575010000,84077115890000
East Asia & Pacific (developing countries),,1995,-713249240000,34200498210000,9421242780000,8564724770000
East Asia & Pacific (developing countries),,2000,-540488079999.99994,42134843710000,11024255410000,12703699770000
East Asia & Pacific (developing countries),,2010,238922360000,45613867750000,14848158520000,19481009540000
East Asia & Pacific (developing countries),,2014,-4581318860000,742071731940000,107427308060000,303548363090000
Europe & Central Asia,,1995,-533268980000,143287989510000,11271446880000,73503091930000
Europe & Central Asia,,2000,-1136039420000,158252264910000,11046448270000,77707810710000
Europe & Central Asia,,2010,-1589812170000,171859039950000,14047274820000,87476040690000
Europe & Central Asia,,2014,-1357702050000,193692969190000,16491363050000,104574108390000
Europe & Central Asia (developing countries),,1995,-176244620000,3057600200000,3086913020000,4945090230000
Europe & Central Asia (developing countries),,2000,-348236660000,3382299100000,2629048600000,4338334969999.9995
Europe & Central Asia (developing countries),,2010,-398814080000,4391819000000,3170370620000,4901073990000
Europe & Central Asia (developing countries),,2014,-747161640000,5869295120000,4489967610000,6238929130000
High income: OECD,,1995,-1228725120000,388377626490000,12735832070000,118743993670000
High income: OECD,,2000,-2803645790000,447521857610000,12905004900000,140870027640000
High income: OECD,,2010,-2940126620000,473959602060000,14764849310000,168184516720000
High income: OECD,,2014,-5719109210000,523222371040000,20434919970000,205058529520000
High income: non-OECD,,1995,908925730000,14818260710000,8520320470000.001,17151628120000.002
High income: non-OECD,,2000,1752735250000,17782200880000,9675443330000,13179686670000
High income: non-OECD,,2010,1947991850000,22236680910000,15232782500000,13073597170000
High income: non-OECD,,2014,4026035360000,32137128640000,23027672830000,16988316960000
Latin America & Caribbean,,1995,-903852790000,33252052010000,8371473930000,11945073780000
Latin America & Caribbean,,2000,-1383438210000,37803355050000,8274557330000,13066160140000
Latin America & Caribbean,,2010,-1268267350000,42995934860000,10782796710000,15176616570000
Latin America & Caribbean,,2014,-1442994700000,53950935430000,15417065900000,19809392070000
Latin America & Caribbean (developing countries),,1995,-787927510000,28767040400000,6976433710000,9553131190000
Latin America & Caribbean (developing countries),,2000,-1198070850000,32309033440000,6850593650000,10403034340000
Latin America & Caribbean (developing countries),,2010,-1231638360000,37855747020000,8752538760000,12258252840000
Latin America & Caribbean (developing countries),,2014,-1592787360000,46302818520000,12496255880000,15007844360000
Low income,,1995,-147452690000,1222052480000,1937052990000,604309000000
Low income,,2000,-126581510000,1435889880000,1803222780000,618763310000
Low income,,2005,-134702850000,1657002540000,2011523420000,659985550000
Low income,,2014,-169367360000,2923077910000,3373466310000,1033431500000
Lower middle income,,1995,-1116902330000,15900083650000,12287512180000,8178628260000
Lower middle income,,2000,-1127806240000,17263061230000,11568039090000,8807680640000
Lower middle income,,2010,-891376210000,22059345020000,13022157470000,11884872340000
Lower middle income,,2014,-1770496650000,35747815890000,18939998240000,17800228070000
Middle East & North Africa,,1995,830590880000,6096678780000,4571279790000,4111598580000
Middle East & North Africa,,2000,1293315010000,7454054860000,5492018940000,3850075160000
Middle East & North Africa,,2010,1211884030000,9457982200000,9390353250000,4104916530000
Middle East & North Africa,,2014,2635611330000,14607216160000,18671122650000,6384808490000
Middle East & North Africa (developing countries),,1995,-124675250000,1826239400000,983832960000,927760960000
Middle East & North Africa (developing countries),,2000,-110521940000,2262869290000,1231679170000,978071140000
Middle East & North Africa (developing countries),,2010,-372610610000,2763788220000,2353971720000,1390832850000
Middle East & North Africa (developing countries),,2014,-305436250000,4153745420000,4448338350000,2095190580000
North America,,1995,-1009226840000,183919866140000,5728190610000,42654743110000
North America,,2000,-2216383180000,226768171610000,6028345670000,51650006350000
North America,,2010,-2538241620000,246422716430000,7160200170000,64434158110000
North America,,2014,-7216761230000,270410159089999.97,9397797920000,77118389930000
South Asia,,1995,-229585750000,5529949150000,3570653170000,2614776480000
South Asia,,2000,-236956550000,7566850730000,3895365550000,3146182820000
South Asia,,2010,-267412900000.00003,10229147910000,4354399719999.9995,4273438679999.9995
South Asia,,2014,-714872490000,15862617740000,7824337520000,8100538390000
South Asia (developing countries),,1995,-229585750000,5529949150000,3570653170000,2614776480000
South Asia (developing countries),,2000,-236956550000,7566850730000,3895365550000,3146182820000
South Asia (developing countries),,2010,-267412900000.00003,10229147910000,4354399719999.9995,4273438679999.9995
South Asia (developing countries),,2014,-714872490000,15862617740000,7824337520000,8100538390000
Sub-Saharan Africa,,1995,-538424699999.99994,4919760310000,7162006370000,2279650990000
Sub-Saharan Africa,,2000,-399870810000,5232623700000,5993448030000,2276753450000
Sub-Saharan Africa,,2010,-261612450000,5778590480000,6521464930000,3359081020000
Sub-Saharan Africa,,2014,-312340380000,10996483290000,8000046010000,3484009920000
Sub-Saharan Africa (developing countries),,1995,-538424699999.99994,4919760310000,7162006370000,2279650990000
Sub-Saharan Africa (developing countries),,2000,-399870810000,5232623700000,5993448030000,2276753450000
