Entity,Code,Year,"Natural capital, renewable (excluding sub-soil assets) ($)","Fossil energy resources (oil, natural gas, coal) ($)",Human capital ($),Net foreign assets ($),Produced capital ($),Metals and minerals ($)
Albania,ALB,1995,10055.26,834.55,10676.01,-72.95,9770.88,109.23
Albania,ALB,2000,8302.46,364.05,10757.17,-309.13,10495.8,0
Albania,ALB,2005,9034.33,470.13,12905.3,-522.01,13889.29,24.03
Albania,ALB,2010,8995.68,933.69,21097.73,-1438.63,17561.26,399.08
Albania,ALB,2014,11284.08,1752.93,22818.33,-1894.06,18807.68,338.26
Argentina,ARG,1995,9546.24,642.81,59968.78,-1666.31,32865.78,7.07
Argentina,ARG,2000,9298.57,1089.01,75451.72,-2913.63,33956.99,90.68
Argentina,ARG,2005,13493.28,2688.08,56195.26,-593.31,36828.58,342.13
Argentina,ARG,2010,13363.27,3807.7,69921.65,471.9,37701.13,1063.13
Argentina,ARG,2014,12253.58,2966.98,71429.27,1032.58,37869.34,964.3
Armenia,ARM,1995,5283.47,0,7673.81,7.29,5912.94,60.24
Armenia,ARM,2000,6481.97,0,10323.66,-1016.06,7209.93,82.29
Armenia,ARM,2005,6417.82,0,18736.13,-1060.44,9522.34,288.37
Armenia,ARM,2010,8381.97,0,23020.09,-2430.56,15920.97,1052.17
Armenia,ARM,2014,10552.17,0,27329.41,-2588.32,15450.82,2149.77
Australia,AUS,1995,86005.61,4053.31,409659.93,-24102.35,203166.84,9487.28
Australia,AUS,2000,82113.53,4873.55,447624.94,-23941.46,217113.94,11236.58
Australia,AUS,2005,79595.41,13080.82,499529.08,-30778.13,281795.32,21549.79
Australia,AUS,2010,70124.36,32682.73,548781.7,-39328.55,311345.85,75000.21
Australia,AUS,2014,65749.57,25475.34,585737.46,-31186.74,311442.43,89567.19
Austria,AUT,1995,16588.73,188.6,348599.19,-6034.63,171927.37,0
Austria,AUT,2000,13795.32,193.06,356413.44,-9428.24,199895.73,0
Austria,AUT,2005,13526,303.82,353572.26,-10357.31,212560.31,44.15
Austria,AUT,2010,14210.28,379.73,389435.41,-4261.59,243213.01,496.72
