Entity,Code,Year,Total wealth per capita ($)
Albania,ALB,1995,31372.98
Albania,ALB,2000,29610.35
Albania,ALB,2005,35801.06
Albania,ALB,2010,47548.81
Albania,ALB,2014,53107.24
Argentina,ARG,1995,101364.38
Argentina,ARG,2000,116973.34
Argentina,ARG,2005,108954.02
Argentina,ARG,2010,126328.79
Argentina,ARG,2014,126516.06
Armenia,ARM,1995,18937.75
Armenia,ARM,2000,23081.78
Armenia,ARM,2005,33904.23
Armenia,ARM,2010,45944.64
Armenia,ARM,2014,52893.84
Australia,AUS,1995,688270.63
Australia,AUS,2000,739021.08
Australia,AUS,2005,864772.29
Australia,AUS,2010,998606.3
Australia,AUS,2014,1046785.26
Austria,AUT,1995,531269.26
Austria,AUT,2000,560869.3
Austria,AUT,2005,569649.23
Austria,AUT,2010,643473.56
Austria,AUT,2014,694616.19
Azerbaijan,AZE,1995,28149.25
Azerbaijan,AZE,2000,22262.31
Azerbaijan,AZE,2005,44340.28
Azerbaijan,AZE,2010,69076.15
Azerbaijan,AZE,2014,85340.62
Bahrain,BHR,1995,315831.88
Bahrain,BHR,2000,277561.76
Bahrain,BHR,2005,279132.92
Bahrain,BHR,2010,253852.58
Bahrain,BHR,2014,270310.66
Bangladesh,BGD,1995,5667.39
Bangladesh,BGD,2000,5788.46
Bangladesh,BGD,2005,7029.42
Bangladesh,BGD,2010,10536.67
Bangladesh,BGD,2014,12713.77
Belarus,BLR,1995,49348.97
Belarus,BLR,2000,57428.95
Belarus,BLR,2005,69619.46
Belarus,BLR,2010,94140.12
Belarus,BLR,2014,99685.45
Belgium,BEL,1995,463528.99
Belgium,BEL,2000,533134.44
Belgium,BEL,2005,542256.91
Belgium,BEL,2010,612261.77
Belgium,BEL,2014,645968.92
Belize,BLZ,1995,62457.93
Belize,BLZ,2000,59152.93
Belize,BLZ,2005,59757.29
Belize,BLZ,2010,58177.18
Belize,BLZ,2014,58871.92
Bolivia,BOL,1995,39484.28
Bolivia,BOL,2000,41667.65
Bolivia,BOL,2005,41719.01
Bolivia,BOL,2010,47709.07
Bolivia,BOL,2014,49235.46
Bosnia and Herzegovina,BIH,1995,10827.79
Bosnia and Herzegovina,BIH,2000,26318.71
Bosnia and Herzegovina,BIH,2005,32848.25
Bosnia and Herzegovina,BIH,2010,38596.71
Bosnia and Herzegovina,BIH,2014,40485.79
Botswana,BWA,1995,73518.08
Botswana,BWA,2000,61123.67
Botswana,BWA,2005,64390.62
Botswana,BWA,2010,89331.33
Botswana,BWA,2014,95797.42
Brazil,BRA,1995,152726.14
Brazil,BRA,2000,151375.47
Brazil,BRA,2005,176869.09
Brazil,BRA,2010,194390.91
Brazil,BRA,2014,197899.23
Bulgaria,BGR,1995,34556.01
Bulgaria,BGR,2000,41244.37
Bulgaria,BGR,2005,56904.85
Bulgaria,BGR,2010,68903.23
Bulgaria,BGR,2014,81877.86
Burkina Faso,BFA,1995,8466.33
Burkina Faso,BFA,2000,9919.42
Burkina Faso,BFA,2005,10496.62
Burkina Faso,BFA,2010,11671.02
Burkina Faso,BFA,2014,12323.38
Burundi,BDI,1995,12409.84
Burundi,BDI,2000,10408.9
Burundi,BDI,2005,10663.25
Burundi,BDI,2010,8383.77
Burundi,BDI,2014,7579.09
Cambodia,KHM,1995,6421.98
Cambodia,KHM,2000,7871.15
Cambodia,KHM,2005,8273.03
Cambodia,KHM,2010,12772.39
Cambodia,KHM,2014,16932.63
Cameroon,CMR,1995,23515.18
Cameroon,CMR,2000,23950.67
Cameroon,CMR,2005,24219.94
Cameroon,CMR,2010,26123.85
Cameroon,CMR,2014,31397.89
Canada,CAN,1995,778812.18
Canada,CAN,2000,848542.15
Canada,CAN,2005,891926.6
Canada,CAN,2010,949092.18
Canada,CAN,2014,1016593.09
Central African Republic,CAF,1995,15457.44
Central African Republic,CAF,2000,18188.63
Central African Republic,CAF,2005,18585.23
Central African Republic,CAF,2010,21421.75
Central African Republic,CAF,2014,21055.26
Chad,TCD,1995,14555.82
Chad,TCD,2000,14644.94
Chad,TCD,2005,17914.14
Chad,TCD,2010,18732.01
Chad,TCD,2014,20076.87
Chile,CHL,1995,109946.69
Chile,CHL,2000,125165.64
Chile,CHL,2005,150696.33
Chile,CHL,2010,213796.81
Chile,CHL,2014,237712.88
China,CHN,1995,30585.45
China,CHN,2000,40047.09
China,CHN,2005,47465.16
China,CHN,2010,81791.59
China,CHN,2014,108171.81
Colombia,COL,1995,117235.38
Colombia,COL,2000,105177.17
Colombia,COL,2005,105583.77
Colombia,COL,2010,135559.37
Colombia,COL,2014,155703.35
Comoros,COM,1995,10738.13
Comoros,COM,2000,9965.97
Comoros,COM,2005,9438.54
Comoros,COM,2010,7844.11
Comoros,COM,2014,8835.67
Congo,COG,1995,43953.12
Congo,COG,2000,44939.66
Congo,COG,2005,50830.15
Congo,COG,2010,54866.6
Congo,COG,2014,68779.18
Costa Rica,CRI,1995,101569.36
Costa Rica,CRI,2000,105265.15
Costa Rica,CRI,2005,128954.34
Costa Rica,CRI,2010,160314.11
Costa Rica,CRI,2014,166985.41
Cote d'Ivoire,CIV,1995,26368.67
Cote d'Ivoire,CIV,2000,22669.84
Cote d'Ivoire,CIV,2005,17835.21
Cote d'Ivoire,CIV,2010,19318.34
Cote d'Ivoire,CIV,2014,24484.68
Croatia,HRV,1995,97942.96
Croatia,HRV,2000,123127.3
Croatia,HRV,2005,145949.72
Croatia,HRV,2010,148696.66
Croatia,HRV,2014,147544.62
Democratic Republic of Congo,COD,1995,18298.14
Democratic Republic of Congo,COD,2000,11662.8
Democratic Republic of Congo,COD,2005,8494.38
Democratic Republic of Congo,COD,2010,9009.07
Democratic Republic of Congo,COD,2014,12256
Denmark,DNK,1995,663278.1
Denmark,DNK,2000,714585.28
Denmark,DNK,2005,799289.91
Denmark,DNK,2010,819306.51
Denmark,DNK,2014,854330.87
Djibouti,DJI,1995,15017.78
Djibouti,DJI,2000,21318.19
Djibouti,DJI,2005,16679.67
Djibouti,DJI,2010,27357.1
Djibouti,DJI,2014,22913.61
Dominican Republic,DOM,1995,50740.26
Dominican Republic,DOM,2000,64407.68
Dominican Republic,DOM,2005,70798.94
Dominican Republic,DOM,2010,81697.3
Dominican Republic,DOM,2014,97257.29
Ecuador,ECU,1995,54361.25
Ecuador,ECU,2000,66137.76
Ecuador,ECU,2005,76299.26
Ecuador,ECU,2010,95493.73
Ecuador,ECU,2014,102451.21
