Entity,Code,Year,Total urban area per world region (HYDE 3.1 (2010)) (km²)
Asia-Stan,,"10,000 BCE",0
Asia-Stan,,"5,000 BCE",0
Asia-Stan,,0,0
Asia-Stan,,500,0
Asia-Stan,,1000,0
Asia-Stan,,1500,3
Asia-Stan,,1600,10
Asia-Stan,,1700,29
Asia-Stan,,1800,40
Asia-Stan,,1900,373
Asia-Stan,,1950,1499
Asia-Stan,,2000,5791
Brazil,BRA,"10,000 BCE",0
Brazil,BRA,"5,000 BCE",0
Brazil,BRA,0,0
Brazil,BRA,500,0
Brazil,BRA,1000,0
Brazil,BRA,1500,9
Brazil,BRA,1600,22
Brazil,BRA,1700,72
Brazil,BRA,1800,163
Brazil,BRA,1900,843
Brazil,BRA,1950,3145
Brazil,BRA,2000,22168
Canada,CAN,"10,000 BCE",0
Canada,CAN,"5,000 BCE",0
Canada,CAN,0,0
Canada,CAN,500,0
Canada,CAN,1000,0
Canada,CAN,1500,0
Canada,CAN,1600,0
Canada,CAN,1700,1
Canada,CAN,1800,7
Canada,CAN,1900,193
Canada,CAN,1950,1126
Canada,CAN,2000,6030
Central Europe,,"10,000 BCE",0
Central Europe,,"5,000 BCE",0
Central Europe,,0,0
Central Europe,,500,0
Central Europe,,1000,10
Central Europe,,1500,1657
Central Europe,,1600,2286
Central Europe,,1700,1419
Central Europe,,1800,1403
Central Europe,,1900,4182
Central Europe,,1950,6495
Central Europe,,2000,17088
China,CHN,"10,000 BCE",0
China,CHN,"5,000 BCE",52
China,CHN,0,1310
China,CHN,500,2300
China,CHN,1000,2861
China,CHN,1500,4013
China,CHN,1600,5762
China,CHN,1700,3916
China,CHN,1800,3923
China,CHN,1900,2846
China,CHN,1950,7005
China,CHN,2000,43199
Eastern Africa,,"10,000 BCE",0
Eastern Africa,,"5,000 BCE",0
Eastern Africa,,0,0
Eastern Africa,,500,0
Eastern Africa,,1000,0
Eastern Africa,,1500,8
Eastern Africa,,1600,24
Eastern Africa,,1700,69
Eastern Africa,,1800,73
Eastern Africa,,1900,181
Eastern Africa,,1950,395
Eastern Africa,,2000,5853
Greenland,GRL,"10,000 BCE",0
Greenland,GRL,"5,000 BCE",0
Greenland,GRL,0,0
Greenland,GRL,500,0
Greenland,GRL,1000,0
Greenland,GRL,1500,0
Greenland,GRL,1600,0
Greenland,GRL,1700,0
Greenland,GRL,1800,0
Greenland,GRL,1900,0
Greenland,GRL,1950,0
Greenland,GRL,2000,24
India,IND,"10,000 BCE",0
India,IND,"5,000 BCE",0
India,IND,0,931
India,IND,500,1012
India,IND,1000,1110
India,IND,1500,942
India,IND,1600,1154
India,IND,1700,1419
India,IND,1800,1729
India,IND,1900,2615
India,IND,1950,4953
India,IND,2000,23854
Indonesia,IDN,"10,000 BCE",0
