Entity,Code,Year,Urban land area (sq. km) (square kilometres)
Albania,ALB,1990,1689.403809
Albania,ALB,2000,1689.403809
Albania,ALB,2010,1689.403809
Algeria,DZA,1990,30195.79688
Algeria,DZA,2000,30195.79688
Algeria,DZA,2010,30195.79688
American Samoa,ASM,1990,116.1668701
American Samoa,ASM,2000,116.1668701
American Samoa,ASM,2010,116.1668701
Angola,AGO,1990,1427.029541
Angola,AGO,2000,1427.029541
Angola,AGO,2010,1427.029541
Antigua and Barbuda,ATG,1990,266.2775574
Antigua and Barbuda,ATG,2000,266.2775574
Antigua and Barbuda,ATG,2010,266.2775574
Arab World,,1990,193254.6570712
Arab World,,2000,193254.6570712
Arab World,,2010,193254.6570712
Argentina,ARG,1990,55032.20313
Argentina,ARG,2000,55032.20313
Argentina,ARG,2010,55032.20313
Aruba,ABW,1990,172.8477478
Aruba,ABW,2000,172.8477478
Aruba,ABW,2010,172.8477478
Australia,AUS,1990,36745.70313
Australia,AUS,2000,36745.70313
Australia,AUS,2010,36745.70313
Bahamas,BHS,1990,425.8963623
Bahamas,BHS,2000,425.8963623
Bahamas,BHS,2010,425.8963623
Bahrain,BHR,1990,549.2779541
Bahrain,BHR,2000,549.2779541
Bahrain,BHR,2010,549.2779541
Bangladesh,BGD,1990,11125.3916
Bangladesh,BGD,2000,11125.3916
Bangladesh,BGD,2010,11125.3916
Barbados,BRB,1990,420.3754272
Barbados,BRB,2000,420.3754272
Barbados,BRB,2010,420.3754272
Belarus,BLR,1990,7783.031738
Belarus,BLR,2000,7783.031738
Belarus,BLR,2010,7783.031738
Belgium,BEL,1990,12349.22852
Belgium,BEL,2000,12349.22852
Belgium,BEL,2010,12349.22852
Belize,BLZ,1990,508.0564575
Belize,BLZ,2000,508.0564575
Belize,BLZ,2010,508.0564575
Benin,BEN,1990,1447.184937
Benin,BEN,2000,1447.184937
Benin,BEN,2010,1447.184937
Bermuda,BMU,1990,38.61519241
Bermuda,BMU,2000,38.61519241
Bermuda,BMU,2010,38.61519241
Bosnia and Herzegovina,BIH,1990,1723.146729
Bosnia and Herzegovina,BIH,2000,1723.146729
Bosnia and Herzegovina,BIH,2010,1723.146729
Brazil,BRA,1990,134981.375
Brazil,BRA,2000,134981.375
Brazil,BRA,2010,134981.375
British Virgin Islands,VGB,1990,51.4707756
British Virgin Islands,VGB,2000,51.4707756
British Virgin Islands,VGB,2010,51.4707756
Brunei,BRN,1990,1017.068604
Brunei,BRN,2000,1017.068604
Brunei,BRN,2010,1017.068604
Bulgaria,BGR,1990,6678.94043
Bulgaria,BGR,2000,6678.94043
Bulgaria,BGR,2010,6678.94043
Cambodia,KHM,1990,1152.062866
Cambodia,KHM,2000,1152.062866
Cambodia,KHM,2010,1152.062866
Cameroon,CMR,1990,3680.405762
Cameroon,CMR,2000,3680.405762
Cameroon,CMR,2010,3680.405762
Canada,CAN,1990,126511.1641
Canada,CAN,2000,126511.1641
Canada,CAN,2010,126511.1641
Cape Verde,CPV,1990,180.3818817
Cape Verde,CPV,2000,180.3818817
Cape Verde,CPV,2010,180.3818817
Caribbean small states,,1990,9341.8206331
Caribbean small states,,2000,9341.8206331
Caribbean small states,,2010,9341.8206331
Cayman Islands,CYM,1990,160.9671021
Cayman Islands,CYM,2000,160.9671021
Cayman Islands,CYM,2010,160.9671021
Central Europe and the Baltics,,1990,71091.078125
Central Europe and the Baltics,,2000,71091.078125
Central Europe and the Baltics,,2010,71091.078125
Chile,CHL,1990,12027.5166
Chile,CHL,2000,12027.5166
Chile,CHL,2010,12027.5166
China,CHN,1990,380679.3
China,CHN,2000,380679.3
China,CHN,2010,380679.3
Colombia,COL,1990,36132.13672
Colombia,COL,2000,36132.13672
Colombia,COL,2010,36132.13672
Comoros,COM,1990,196.407196
Comoros,COM,2000,196.407196
Comoros,COM,2010,196.407196
Congo,COG,1990,1087.161865
Congo,COG,2000,1087.161865
Congo,COG,2010,1087.161865
Costa Rica,CRI,1990,4051.562988
Costa Rica,CRI,2000,4051.562988
Costa Rica,CRI,2010,4051.562988
Cote d'Ivoire,CIV,1990,3466.161621
Cote d'Ivoire,CIV,2000,3466.161621
Cote d'Ivoire,CIV,2010,3466.161621
Croatia,HRV,1990,5302.795898
Croatia,HRV,2000,5302.795898
Croatia,HRV,2010,5302.795898
Cuba,CUB,1990,9572.447266
Cuba,CUB,2000,9572.447266
Cuba,CUB,2010,9572.447266
Cyprus,CYP,1990,2280.400391
Cyprus,CYP,2000,2280.400391
Cyprus,CYP,2010,2280.400391
Democratic Republic of Congo,COD,1990,9061.722656
Democratic Republic of Congo,COD,2000,9061.722656
Democratic Republic of Congo,COD,2010,9061.722656
Denmark,DNK,1990,9295.174805
Denmark,DNK,2000,9295.174805
Denmark,DNK,2010,9295.174805
Djibouti,DJI,1990,149.8288422
Djibouti,DJI,2000,149.8288422
Djibouti,DJI,2010,149.8288422
Dominica,DMA,1990,251.302948
Dominica,DMA,2000,251.302948
Dominica,DMA,2010,251.302948
Dominican Republic,DOM,1990,5089.375977
Dominican Republic,DOM,2000,5089.375977
Dominican Republic,DOM,2010,5089.375977
Early-demographic dividend,,1990,895934.126237805
Early-demographic dividend,,2000,895934.126237805
Early-demographic dividend,,2010,895934.126237805
East Asia & Pacific,,1990,701588.054975745
East Asia & Pacific,,2000,701588.054975745
East Asia & Pacific,,2010,701588.054975745
East Asia & Pacific (IDA & IBRD),,1990,507314.326138585
East Asia & Pacific (IDA & IBRD),,2000,507314.326138585
East Asia & Pacific (IDA & IBRD),,2010,507314.326138585
East Asia & Pacific (excluding high income),,1990,509743.364759035
East Asia & Pacific (excluding high income),,2000,509743.364759035
East Asia & Pacific (excluding high income),,2010,509743.364759035
Ecuador,ECU,1990,10905.65137
Ecuador,ECU,2000,10905.65137
Ecuador,ECU,2010,10905.65137
Egypt,EGY,1990,24270.23242
Egypt,EGY,2000,24270.23242
Egypt,EGY,2010,24270.23242
El Salvador,SLV,1990,3598.269287
El Salvador,SLV,2000,3598.269287
El Salvador,SLV,2010,3598.269287
Equatorial Guinea,GNQ,1990,97.47089386
Equatorial Guinea,GNQ,2000,97.47089386
