Entity,Code,Year,"Land (crop, pasture) ($)",Protected areas ($),"Fossil energy resources (oil, natural gas, coal) ($)",Metals and minerals ($),Net foreign assets ($),Produced capital ($),"Forest, timber ($)","Forest, non-timber ($)",Human capital ($)
Albania,ALB,1995,8923.37,17.22,834.55,109.23,-72.95,9770.88,743.32,371.35,10676.01
Albania,ALB,2000,7838.45,28.45,364.05,0,-309.13,10495.8,57.13,378.42,10757.17
Albania,ALB,2005,8530.77,65.33,470.13,24.03,-522.01,13889.29,43.46,394.77,12905.3
Albania,ALB,2010,8394.3,127.88,933.69,399.08,-1438.63,17561.26,68.56,404.94,21097.73
Albania,ALB,2014,10527.87,170.28,1752.93,338.26,-1894.06,18807.68,180.3,405.63,22818.33
Argentina,ARG,1995,5758.31,400.25,642.81,7.07,-1666.31,32865.78,102.43,3285.25,59968.78
Argentina,ARG,2000,5810.93,393.26,1089.01,90.68,-2913.63,33956.99,128.51,2965.87,75451.72
Argentina,ARG,2005,9950.87,618.89,2688.08,342.13,-593.31,36828.58,263.37,2660.15,56195.26
Argentina,ARG,2010,9980.75,694.48,3807.7,1063.13,471.9,37701.13,295,2393.04,69921.65
Argentina,ARG,2014,9152.01,581.48,2966.98,964.3,1032.58,37869.34,320.18,2199.91,71429.27
Armenia,ARM,1995,4319.06,878.04,0,60.24,7.29,5912.94,10.71,75.66,7673.81
Armenia,ARM,2000,4617.97,1780.06,0,82.29,-1016.06,7209.93,4.9,79.04,10323.66
Armenia,ARM,2005,4832.15,1494.51,0,288.37,-1060.44,9522.34,10.76,80.4,18736.13
Armenia,ARM,2010,6334.64,1880.38,0,1052.17,-2430.56,15920.97,85.4,81.55,23020.09
Armenia,ARM,2014,7653.87,2634.67,0,2149.77,-2588.32,15450.82,183.04,80.59,27329.41
Australia,AUS,1995,14840.03,1476.57,4053.31,9487.28,-24102.35,203166.84,2309.19,67379.83,409659.93
Australia,AUS,2000,14830.46,1388.7,4873.55,11236.58,-23941.46,217113.94,2243.36,63651,447624.94
Australia,AUS,2005,16059.6,2040.02,13080.82,21549.79,-30778.13,281795.32,2277.11,59218.68,499529.08
Australia,AUS,2010,12678.07,2151.69,32682.73,75000.21,-39328.55,311345.85,2378.42,52916.17,548781.7
