Entity,Code,Year,Human capital ($),Net foreign assets ($),Produced capital (including urban land) ($),Natural capital ($)
East Asia & Pacific,,1995,56828.89,-275.27,15049.75,6407.92
East Asia & Pacific,,2000,59380.02,100.24,18672.47,6950.65
East Asia & Pacific,,2005,57499.9,707.4,23823.79,8788.03
East Asia & Pacific,,2010,72468.28,1618.62,31541.47,13179.12
East Asia & Pacific,,2014,85078.97,1783.94,39184.56,14739.26
East Asia & Pacific (developing countries),,1995,20770.87,-433.18,5201.58,5721.77
East Asia & Pacific (developing countries),,2000,24193.36,-310.34,7294.32,6330
East Asia & Pacific (developing countries),,2005,25085.78,131.4,10713.76,8165.88
East Asia & Pacific (developing countries),,2010,41612.11,688.91,16945.22,12177.26
East Asia & Pacific (developing countries),,2014,53387.05,404.48,24017.84,13771.66
Europe & Central Asia,,1995,176534.96,-657,90557.94,13886.75
Europe & Central Asia,,2000,193916.37,-1392.06,95220.23,13535.9
Europe & Central Asia,,2005,208334.07,-1927.23,106041.79,17028.64
Europe & Central Asia,,2010,221080.49,-2629.5,119124.64,19335.67
Europe & Central Asia,,2014,227581.23,-1595.24,122870.25,19376.67
Europe & Central Asia (developing countries),,1995,14559.64,-839.24,23547.47,14699.22
Europe & Central Asia (developing countries),,2000,15987.81,-1646.08,20506.9,12427.26
Europe & Central Asia (developing countries),,2005,20565.65,-1867.53,22950.35,14845.95
Europe & Central Asia (developing countries),,2010,24064.12,-2873.33,26115.37,18760.01
Europe & Central Asia (developing countries),,2014,26115.66,-3324.52,27760.36,19978.29
High income: OECD,,1995,412757.08,-1305.86,126197.86,13535.29
High income: OECD,,2000,461959.38,-2894.09,145414.64,13321.33
High income: OECD,,2005,474872.07,-2945.79,168508.3,14793.27
High income: OECD,,2010,472946.49,-3248.77,185602.77,19241.82
High income: OECD,,2014,499926.65,-5464.47,195928.6,19525.08
High income: non-OECD,,1995,59375.97,3642.02,68725.65,34140.47
High income: non-OECD,,2000,69451.04,6845.57,51475.23,37788.89
High income: non-OECD,,2005,84507.29,7403.06,49684.31,57889.98
High income: non-OECD,,2010,107517.68,9137.39,54769.14,74088.58
High income: non-OECD,,2014,111792.78,14005.04,59095.86,80104.47
Latin America & Caribbean,,1995,70897.94,-1927.14,25468.54,17849.13
Latin America & Caribbean,,2000,74398.19,-2722.65,25714.61,16284.59
Latin America & Caribbean,,2005,78924.92,-2328.08,27858.75,19793.3
Latin America & Caribbean,,2010,85812.83,-2690.25,30133.34,24292.15
Latin America & Caribbean,,2014,88699.98,-2372.41,32568.35,25346.98
Latin America & Caribbean (developing countries),,1995,72936.77,-1997.73,24221.28,17688.25
Latin America & Caribbean (developing countries),,2000,75472.27,-2798.63,24300.96,16002.64
Latin America & Caribbean (developing countries),,2005,82396.61,-2680.78,26681.24,19050.73
Latin America & Caribbean (developing countries),,2010,87687.93,-3284.37,29154.94,23106.52
Latin America & Caribbean (developing countries),,2014,90191.28,-3102.52,29233.14,24340.92
Low income,,1995,3920.53,-473.05,1938.72,6214.36
Low income,,2000,4015.66,-354,1730.46,5042.96
Low income,,2005,4045.93,-328.91,1611.5,4911.57
Low income,,2010,4446.9,-210.66,1536.48,6029.38
Low income,,2014,5563.69,-322.37,1967,6420.94
Lower middle income,,1995,7991.98,-561.4,4110.89,6176.17
Lower middle income,,2000,7917.33,-517.24,4039.45,5305.43
Lower middle income,,2005,9300.59,-375.82,5010.86,5490.36
