Entity,Code,Year, (hours)
All Employed Women,,1900,14.3
All Employed Women,,1910,14.7
All Employed Women,,1920,15.1
All Employed Women,,1930,15.7
All Employed Women,,1940,18.3
All Employed Women,,1950,23.7
All Employed Women,,1960,26
All Employed Women,,1965,26.8
All Employed Women,,1975,24
All Employed Women,,1985,23.5
All Employed Women,,2003,25.4
All Employed Women,,2004,25.2
All Employed Women,,2005,24.5
All Prime-Age Men,,1900,3.9
All Prime-Age Men,,1910,4
All Prime-Age Men,,1920,3.9
All Prime-Age Men,,1930,6
All Prime-Age Men,,1940,7.7
All Prime-Age Men,,1950,9
All Prime-Age Men,,1960,10.4
All Prime-Age Men,,1965,11.2
All Prime-Age Men,,1975,12.1
All Prime-Age Men,,1985,13.9
All Prime-Age Men,,2003,17.2
All Prime-Age Men,,2004,17
All Prime-Age Men,,2005,16.8
All Prime-Age Women,,1900,46.8
All Prime-Age Women,,1910,45.6
All Prime-Age Women,,1920,44.5
All Prime-Age Women,,1930,43.2
All Prime-Age Women,,1940,41.9
All Prime-Age Women,,1950,41.5
All Prime-Age Women,,1960,41.2
All Prime-Age Women,,1965,40.9
All Prime-Age Women,,1975,32.1
All Prime-Age Women,,1985,28.4
All Prime-Age Women,,2003,29.7
All Prime-Age Women,,2004,29.7
All Prime-Age Women,,2005,29.3
Employed Men,,1900,3
Employed Men,,1910,3
Employed Men,,1920,3
Employed Men,,1930,5
Employed Men,,1940,6.5
Employed Men,,1950,8.1
Employed Men,,1960,9.6
Employed Men,,1965,10.4
Employed Men,,1975,11.1
Employed Men,,1985,13
Employed Men,,2003,16
Employed Men,,2004,15.9
Employed Men,,2005,15.8
Ever-Married Employed Women,,1900,27.1
Ever-Married Employed Women,,1910,26.5
Ever-Married Employed Women,,1920,26
Ever-Married Employed Women,,1930,25.3
Ever-Married Employed Women,,1940,26
Ever-Married Employed Women,,1950,28.3
Ever-Married Employed Women,,1960,28.8
Ever-Married Employed Women,,1965,28.9
Ever-Married Employed Women,,1975,25.2
Ever-Married Employed Women,,1985,26.4
Ever-Married Employed Women,,2003,27.8
Ever-Married Employed Women,,2004,27.5
Ever-Married Employed Women,,2005,26.9
Nonemployed Men,,1900,11.9
Nonemployed Men,,1910,11.9
Nonemployed Men,,1920,11.9
Nonemployed Men,,1930,11.9
Nonemployed Men,,1940,13.8
Nonemployed Men,,1950,16
Nonemployed Men,,1960,18.1
Nonemployed Men,,1965,19.2
Nonemployed Men,,1975,17.6
Nonemployed Men,,1985,18.2
Nonemployed Men,,2003,22.1
Nonemployed Men,,2004,21.5
Nonemployed Men,,2005,21.2
Nonemployed Women,,1900,54.9
Nonemployed Women,,1910,54.2
Nonemployed Women,,1920,53.6
Nonemployed Women,,1930,52.2
Nonemployed Women,,1940,50.8
Nonemployed Women,,1950,51.1
Nonemployed Women,,1960,51.6
Nonemployed Women,,1965,51.6
Nonemployed Women,,1975,40.3
Nonemployed Women,,1985,36
Nonemployed Women,,2003,38.5
Nonemployed Women,,2004,38.9
Nonemployed Women,,2005,39.1
Single Employed Women,,1900,7
Single Employed Women,,1910,7
Single Employed Women,,1920,7
Single Employed Women,,1930,7
Single Employed Women,,1940,9.9
Single Employed Women,,1950,12.7
Single Employed Women,,1960,15.6
Single Employed Women,,1965,17
Single Employed Women,,1975,15.1
Single Employed Women,,1985,14.3
Single Employed Women,,2003,18.4
Single Employed Women,,2004,18.5
Single Employed Women,,2005,18.1
