Entity,Code,Year,Crops - Wheat - 15 - Yield - 5419 - hg/ha (tonnes per hectare)
Afghanistan,AFG,1961,1.022
Afghanistan,AFG,1962,0.9735
Afghanistan,AFG,1963,0.8317
Afghanistan,AFG,1964,0.9510000000000001
Afghanistan,AFG,1965,0.9723
Afghanistan,AFG,1966,0.8666
Afghanistan,AFG,1967,1.1232
Afghanistan,AFG,1968,1.1562000000000001
Afghanistan,AFG,1969,1.1855
Afghanistan,AFG,1970,0.9563
Afghanistan,AFG,1971,0.8149000000000001
Afghanistan,AFG,1972,0.8457
Afghanistan,AFG,1973,1.1739000000000002
Afghanistan,AFG,1974,1.2074
Afghanistan,AFG,1975,1.2128
Afghanistan,AFG,1976,1.2494
Afghanistan,AFG,1977,1.1309
Afghanistan,AFG,1978,1.198
Afghanistan,AFG,1979,1.2317
Afghanistan,AFG,1980,1.2549000000000001
Afghanistan,AFG,1981,1.235
Afghanistan,AFG,1982,1.2299
Afghanistan,AFG,1983,1.258
Afghanistan,AFG,1984,1.2319
Afghanistan,AFG,1985,1.2277
Afghanistan,AFG,1986,1.189
Afghanistan,AFG,1987,1.2849000000000002
Afghanistan,AFG,1988,1.1728
Afghanistan,AFG,1989,1.118
Afghanistan,AFG,1990,1.0510000000000002
Afghanistan,AFG,1991,1.0213
Afghanistan,AFG,1992,1.0313
Afghanistan,AFG,1993,1.0211000000000001
Afghanistan,AFG,1994,1.0250000000000001
Afghanistan,AFG,1995,1.0895000000000001
Afghanistan,AFG,1996,1.122
Afghanistan,AFG,1997,1.2764
Afghanistan,AFG,1998,1.2964
Afghanistan,AFG,1999,1.2329
Afghanistan,AFG,2000,0.7240000000000001
Afghanistan,AFG,2001,0.8977
Afghanistan,AFG,2002,1.5419
Afghanistan,AFG,2003,1.5
Afghanistan,AFG,2004,1.2659
Afghanistan,AFG,2005,1.8215000000000001
Afghanistan,AFG,2006,1.3760000000000001
Afghanistan,AFG,2007,1.8183
Afghanistan,AFG,2008,1.2263000000000002
Afghanistan,AFG,2009,1.9666000000000001
Afghanistan,AFG,2010,1.9252
Afghanistan,AFG,2011,1.5179
Afghanistan,AFG,2012,2.0104
Afghanistan,AFG,2013,2.0248
Afghanistan,AFG,2014,2.0237000000000003
Afghanistan,AFG,2015,2.1959
Afghanistan,AFG,2016,1.9803000000000002
Afghanistan,AFG,2017,2.0342000000000002
Afghanistan,AFG,2018,2.21
Africa,,1961,0.6930000000000001
Africa,,1962,0.9236000000000001
Africa,,1963,0.899
Africa,,1964,0.8736
Africa,,1965,0.8287
Africa,,1966,0.7604000000000001
Africa,,1967,0.8423
Africa,,1968,0.9922000000000001
Africa,,1969,0.8103
Africa,,1970,0.8703000000000001
Africa,,1971,0.9828
Africa,,1972,0.9918
Africa,,1973,0.9402
Africa,,1974,0.9711000000000001
Africa,,1975,1.1004
Africa,,1976,1.1177000000000001
Africa,,1977,0.9269000000000001
Africa,,1978,1.0459
Africa,,1979,1.0458
Africa,,1980,1.0988
Africa,,1981,1.1340000000000001
Africa,,1982,1.2750000000000001
Africa,,1983,1.1231
Africa,,1984,1.1438000000000001
Africa,,1985,1.2476
Africa,,1986,1.4428
Africa,,1987,1.5013
Africa,,1988,1.7497
Africa,,1989,1.4811
Africa,,1990,1.5981
Africa,,1991,1.8951
Africa,,1992,1.6501000000000001
Africa,,1993,1.6279000000000001
Africa,,1994,1.9153
Africa,,1995,1.6212
Africa,,1996,2.0284
Africa,,1997,1.7976
Africa,,1998,1.8642
Africa,,1999,1.8099
Africa,,2000,1.752
Africa,,2001,2.0245
Africa,,2002,2.1283000000000003
Africa,,2003,2.2133000000000003
Africa,,2004,2.2137000000000002
Africa,,2005,2.1353
Africa,,2006,2.4572000000000003
Africa,,2007,2.0442
Africa,,2008,2.29
Africa,,2009,2.5284
Africa,,2010,2.3013
Africa,,2011,2.5836
Africa,,2012,2.3942
Africa,,2013,2.7934
Africa,,2014,2.5718
Africa,,2015,2.8369
Africa,,2016,2.4504
Africa,,2017,2.5580000000000003
Africa,,2018,2.8639
Albania,ALB,1961,0.7731
Albania,ALB,1962,1.0522
Albania,ALB,1963,0.7127
Albania,ALB,1964,0.9625
Albania,ALB,1965,1.1344
Albania,ALB,1966,1.2398
Albania,ALB,1967,1.355
Albania,ALB,1968,1.4124
Albania,ALB,1969,1.6389
Albania,ALB,1970,1.5377
Albania,ALB,1971,1.8735000000000002
Albania,ALB,1972,1.9000000000000001
Albania,ALB,1973,2.0097
Albania,ALB,1974,2.0625
Albania,ALB,1975,1.9375
Albania,ALB,1976,2.5526
Albania,ALB,1977,2.45
Albania,ALB,1978,2.45
Albania,ALB,1979,2.49
Albania,ALB,1980,2.5198
Albania,ALB,1981,2.5321000000000002
Albania,ALB,1982,2.6886
Albania,ALB,1983,3.0879000000000003
Albania,ALB,1984,3.1579
Albania,ALB,1985,3.1406
Albania,ALB,1986,2.8945000000000003
Albania,ALB,1987,3.1031
Albania,ALB,1988,3.201
Albania,ALB,1989,2.9302
Albania,ALB,1990,3.0197000000000003
Albania,ALB,1991,2.0698000000000003
Albania,ALB,1992,2.4388
Albania,ALB,1993,2.9976000000000003
Albania,ALB,1994,2.4745
Albania,ALB,1995,2.8703000000000003
Albania,ALB,1996,2.1741
Albania,ALB,1997,2.8516000000000004
Albania,ALB,1998,2.8037
Albania,ALB,1999,2.4954
Albania,ALB,2000,3.0455
Albania,ALB,2001,2.822
Albania,ALB,2002,3.1617
Albania,ALB,2003,2.8629000000000002
Albania,ALB,2004,3.113
Albania,ALB,2005,3.1582000000000003
Albania,ALB,2006,3.0787
Albania,ALB,2007,3.5496000000000003
Albania,ALB,2008,4.0168
Albania,ALB,2009,4.0229
Albania,ALB,2010,3.9905000000000004
Albania,ALB,2011,4.2301
Albania,ALB,2012,4.1096
Albania,ALB,2013,4.1292
Albania,ALB,2014,4.0001
