Entity,Code,Year,Wind (%)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.00019867519952656594
Africa,,1994,0.0005210691945066642
Africa,,1995,0.0005842306487600058
Africa,,1996,0.0006411645797387563
Africa,,1997,0.0006380515258185006
Africa,,1998,0.0006633417362084475
Africa,,1999,0.0016774245616226285
Africa,,2000,0.014565690427872894
Africa,,2001,0.03311429949055229
Africa,,2002,0.03498514442414391
Africa,,2003,0.04063356948896281
Africa,,2004,0.05387726186965614
Africa,,2005,0.05438340981075527
Africa,,2006,0.05819513995418428
Africa,,2007,0.06696148155739036
Africa,,2008,0.08125174272723068
Africa,,2009,0.09671322840599561
Africa,,2010,0.13465172686389057
Africa,,2011,0.14900723892085851
Africa,,2012,0.1678596084098688
Africa,,2013,0.1965927663277184
Africa,,2014,0.27614110355562294
Africa,,2015,0.4675649360749824
Africa,,2016,0.5821006971453175
Africa,,2017,0.6454202458816387
Africa,,2018,0.720036410317705
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.00044938644784184024
Algeria,DZA,2015,0.008097106934372348
Algeria,DZA,2016,0.00812780379152218
Algeria,DZA,2017,0.008092190531714437
Algeria,DZA,2018,0.0039897549788334465
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.003898531096243096
Argentina,ARG,1997,0.005958132253667498
Argentina,ARG,1998,0.012810179153624902
Argentina,ARG,1999,0.013985152009787501
Argentina,ARG,2000,0.013448343775021934
Argentina,ARG,2001,0.019324220848106876
Argentina,ARG,2002,0.030149679388614542
Argentina,ARG,2003,0.029788803017299605
Argentina,ARG,2004,0.026233945788944092
Argentina,ARG,2005,0.024328546274085868
Argentina,ARG,2006,0.022463794935198837
Argentina,ARG,2007,0.019002907639738893
Argentina,ARG,2008,0.012714573148136107
Argentina,ARG,2009,0.011372150182636556
Argentina,ARG,2010,0.00743229796058161
Argentina,ARG,2011,0.007642809574034653
Argentina,ARG,2012,0.10329639203869989
Argentina,ARG,2013,0.12141606775094872
Argentina,ARG,2014,0.16662261267723816
Argentina,ARG,2015,0.15593335625402888
Argentina,ARG,2016,0.14415455613745687
Argentina,ARG,2017,0.16071597647506278
Argentina,ARG,2018,0.37583722619523624
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.0004833911869873759
Australia,AUS,1994,0.0012781810845397762
Australia,AUS,1995,0.0015845727906286524
Australia,AUS,1996,0.0015456002438042219
Australia,AUS,1997,0.0016151231125668421
Australia,AUS,1998,0.003787748453794906
Australia,AUS,1999,0.00866906946811301
Australia,AUS,2000,0.026899103785460263
Australia,AUS,2001,0.05707082119720092
Australia,AUS,2002,0.10452537288940691
Australia,AUS,2003,0.13585181526276846
Australia,AUS,2004,0.14843745927692154
Australia,AUS,2005,0.24318768657041762
Australia,AUS,2006,0.3818651237921095
Australia,AUS,2007,0.4968968040595613
Australia,AUS,2008,0.591627369157947
Australia,AUS,2009,0.764363881029863
Australia,AUS,2010,0.8551199865866431
Australia,AUS,2011,1.0673621275019494
Australia,AUS,2012,1.2984741697868427
Australia,AUS,2013,1.548462405149747
Australia,AUS,2014,1.6094564542968977
Australia,AUS,2015,1.9180661562457426
Australia,AUS,2016,2.0737882569558765
Australia,AUS,2017,2.124770648438738
Australia,AUS,2018,2.5502522480470207
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.0007422985738103914
