Entity,Code,Year,"Indicator:Alcohol, consumption of pure alcohol by type of beverage (%) - Beverage Types:Wine (% total alcohol consumption)"
Albania,ALB,2010,19.8
Algeria,DZA,2010,35.5
Andorra,AND,2010,45.3
Angola,AGO,2010,13.7
Antigua and Barbuda,ATG,2010,16.4
Argentina,ARG,2010,48
Armenia,ARM,2010,5.3
Australia,AUS,2010,36.7
Austria,AUT,2010,35.5
Azerbaijan,AZE,2010,7.6
Bahamas,BHS,2010,14.6
Bahrain,BHR,2010,6.3
Barbados,BRB,2010,10.2
Belarus,BLR,2010,5.2
Belgium,BEL,2010,36.3
Belize,BLZ,2010,2
Benin,BEN,2010,21.7
Bhutan,BTN,2010,0
Bolivia,BOL,2010,3.8
Bosnia and Herzegovina,BIH,2010,3.2
Botswana,BWA,2010,11.8
Brazil,BRA,2010,4
Brunei,BRN,2010,2.3
Bulgaria,BGR,2010,16.5
Burkina Faso,BFA,2010,3
Burundi,BDI,2010,0
Cambodia,KHM,2010,0.8
Cameroon,CMR,2010,1.2
Canada,CAN,2010,22
Cape Verde,CPV,2010,7.3
Central African Republic,CAF,2010,0.6
Chad,TCD,2010,3.4
Chile,CHL,2010,40.7
China,CHN,2010,3
Colombia,COL,2010,1.1
Comoros,COM,2010,22.2
Congo,COG,2010,9.8
Cook Islands,COK,2010,22.6
Costa Rica,CRI,2010,4.7
Cote d'Ivoire,CIV,2010,3
Croatia,HRV,2010,44.8
Cuba,CUB,2010,2.2
Cyprus,CYP,2010,24.7
Czech Republic,CZE,2010,20.5
Democratic Republic of Congo,COD,2010,0.7
Denmark,DNK,2010,48.2
Djibouti,DJI,2010,5.3
Dominica,DMA,2010,7.1
Dominican Republic,DOM,2010,2.7
Ecuador,ECU,2010,1.2
Egypt,EGY,2010,5.4
El Salvador,SLV,2010,1.7
Equatorial Guinea,GNQ,2010,72.2
Eritrea,ERI,2010,0
Estonia,EST,2010,11.1
Ethiopia,ETH,2010,0.6
Fiji,FJI,2010,0.9
Finland,FIN,2010,17.5
France,FRA,2010,56.4
Gabon,GAB,2010,11.9
Gambia,GMB,2010,0.7
Georgia,GEO,2010,49.8
Germany,DEU,2010,27.8
Ghana,GHA,2010,9.7
Greece,GRC,2010,47.3
Grenada,GRD,2010,4.3
Guatemala,GTM,2010,1.6
Guinea,GIN,2010,16.3
Guinea-Bissau,GNB,2010,14.9
Guyana,GUY,2010,0.3
Haiti,HTI,2010,0.2
Honduras,HND,2010,1.1
Hungary,HUN,2010,29.4
Iceland,ISL,2010,21.2
India,IND,2010,0.1
Indonesia,IDN,2010,0.1
Iraq,IRQ,2010,1
Ireland,IRL,2010,26.1
Israel,ISR,2010,6.2
Italy,ITA,2010,65.6
Jamaica,JAM,2010,4.9
Japan,JPN,2010,4.1
Jordan,JOR,2010,2.1
Kazakhstan,KAZ,2010,3.1
Kenya,KEN,2010,1.8
Kiribati,KIR,2010,2.2
Kuwait,KWT,2010,10.8
Kyrgyzstan,KGZ,2010,4.2
Laos,LAO,2010,0
Latvia,LVA,2010,10.7
Lebanon,LBN,2010,29.1
Lesotho,LSO,2010,0.2
Liberia,LBR,2010,1
Lithuania,LTU,2010,7.8
Luxembourg,LUX,2010,42.8
Macedonia,MKD,2010,39.9
Madagascar,MDG,2010,9.5
Malawi,MWI,2010,1.2
Malaysia,MYS,2010,2
Mali,MLI,2010,1.5
Malta,MLT,2010,32.7
Mauritius,MUS,2010,12.3
Mexico,MEX,2010,1.5
Micronesia (country),FSM,2010,14.1
Moldova,MDA,2010,5.1
Mongolia,MNG,2010,2.8
Montenegro,MNE,2010,47
Morocco,MAR,2010,36.5
Mozambique,MOZ,2010,7.3
Myanmar,MMR,2010,5.7
Namibia,NAM,2010,0.3
Nauru,NRU,2010,14.6
Nepal,NPL,2010,0.9
Netherlands,NLD,2010,36.4
New Zealand,NZL,2010,33.9
Nicaragua,NIC,2010,0.5
Niger,NER,2010,13.2
Nigeria,NGA,2010,0.4
Niue,NIU,2010,1.7
Norway,NOR,2010,34.7
Oman,OMN,2010,3.3
Palau,PLW,2010,5.9
Panama,PAN,2010,4.6
Papua New Guinea,PNG,2010,0.9
Paraguay,PRY,2010,18.2
Peru,PER,2010,6.1
Philippines,PHL,2010,0.3
Poland,POL,2010,9.3
Portugal,PRT,2010,55.5
Qatar,QAT,2010,13.9
Romania,ROU,2010,28.9
Russia,RUS,2010,11.4
Rwanda,RWA,2010,0
Saint Kitts and Nevis,KNA,2010,7.4
Saint Lucia,LCA,2010,12.6
Saint Vincent and the Grenadines,VCT,2010,3
Samoa,WSM,2010,16.6
Sao Tome and Principe,STP,2010,60.2
Saudi Arabia,SAU,2010,1.9
Senegal,SEN,2010,41.3
Serbia,SRB,2010,23.9
Seychelles,SYC,2010,22.2
Sierra Leone,SLE,2010,0.5
Singapore,SGP,2010,13.5
Slovakia,SVK,2010,18.3
Slovenia,SVN,2010,46.9
Solomon Islands,SLB,2010,2.1
South Africa,ZAF,2010,17.8
South Korea,KOR,2010,1.6
Spain,ESP,2010,20.1
Sri Lanka,LKA,2010,0.1
Sudan,SDN,2010,0
Suriname,SUR,2010,2.3
Swaziland,SWZ,2010,0.8
Sweden,SWE,2010,46.6
Switzerland,CHE,2010,49.4
Syria,SYR,2010,27.9
Tajikistan,TJK,2010,1.1
Tanzania,TZA,2010,0.2
Thailand,THA,2010,0.4
Timor,TLS,2010,75.9
Togo,TGO,2010,26.9
Tonga,TON,2010,7.6
Trinidad and Tobago,TTO,2010,2
Tunisia,TUN,2010,27.7
Turkey,TUR,2010,8.6
Turkmenistan,TKM,2010,26.1
Tuvalu,TUV,2010,15.5
Uganda,UGA,2010,0.1
Ukraine,UKR,2010,9
United Arab Emirates,ARE,2010,2.9
United Kingdom,GBR,2010,33.8
United States,USA,2010,17.3
Uruguay,URY,2010,59.9
Uzbekistan,UZB,2010,6.3
Vanuatu,VUT,2010,22.8
Venezuela,VEN,2010,0.8
Vietnam,VNM,2010,0.6
Yemen,YEM,2010,0
Zambia,ZMB,2010,2.9
Zimbabwe,ZWE,2010,1.7
