Entity,Code,Year,"5.6.1 - Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) - SH_FPL_INFM (%)"
Africa,,2014,47.2
Albania,ALB,2009,61.5
Albania,ALB,2018,69
Americas,,2014,68.3
Angola,AGO,2016,62
Armenia,ARM,2010,64.3
Armenia,ARM,2016,66
Asia,,2014,70.2
"Asia, Central",,2014,51.9
Benin,BEN,2006,41.1
Benin,BEN,2012,38.2
Burkina Faso,BFA,2010,20.3
Burundi,BDI,2010,49
Burundi,BDI,2017,44
Cambodia,KHM,2010,74.6
Cambodia,KHM,2014,75.6
Cameroon,CMR,2011,38.1
Caribbean,,2014,70.3
Central America,,2014,67
Central and Southern Asia,,2014,48.7
Chad,TCD,2015,27.1
Comoros,COM,2012,20.8
Congo,COG,2012,26.8
Cote d'Ivoire,CIV,2012,25.2
Democratic Republic of Congo,COD,2007,19.3
Democratic Republic of Congo,COD,2014,30.7
Dominican Republic,DOM,2007,77
Eastern Africa,,2014,53
Eastern Europe,,2014,81
Eastern and South-Eastern Asia,,2014,76.1
Ethiopia,ETH,2011,53.4
Ethiopia,ETH,2016,45.2
Europe,,2014,80.2
Europe and Northern America,,2014,80.2
Gabon,GAB,2012,48
Gambia,GMB,2013,40.5
Ghana,GHA,2008,54.1
Ghana,GHA,2014,52
Guatemala,GTM,2015,64.8
Guinea,GIN,2012,22.7
Guyana,GUY,2009,71.3
Haiti,HTI,2006,53.6
Haiti,HTI,2012,56.3
Haiti,HTI,2017,59
Honduras,HND,2012,70.3
Jordan,JOR,2012,72.6
Kenya,KEN,2014,56
Kyrgyzstan,KGZ,2012,76.6
Landlocked developing countries,,2014,47
Latin America and the Caribbean	,,2014,68.3
Least Developed Countries (LDCs),,2014,49.4
Lesotho,LSO,2009,54
Lesotho,LSO,2014,60.9
Liberia,LBR,2013,67.2
Madagascar,MDG,2009,73.6
Malawi,MWI,2010,42.2
Malawi,MWI,2016,46.7
Mali,MLI,2006,9.6
Mali,MLI,2013,6.5
Middle Africa,,2014,36.2
Mozambique,MOZ,2011,49.1
Myanmar,MMR,2016,67.5
Namibia,NAM,2007,67.1
Namibia,NAM,2013,71.2
Nepal,NPL,2011,59.5
Nepal,NPL,2016,47.7
Niger,NER,2006,9.3
Niger,NER,2012,7.3
Nigeria,NGA,2008,47.1
Nigeria,NGA,2013,50.8
Northern Africa and Western Asia,,2014,71.1
Philippines,PHL,2017,81
Rwanda,RWA,2010,60.1
Rwanda,RWA,2015,69.5
Sao Tome and Principe,STP,2008,46
Senegal,SEN,2011,13.2
Senegal,SEN,2015,7.1
Senegal,SEN,2016,4.9
Senegal,SEN,2017,7
Sierra Leone,SLE,2013,40.2
Small Island Developing States (SIDS),,2014,68.6
South America,,2014,71.3
South Eastern Asia,,2014,76.1
Southern Africa,,2014,60.9
Southern Asia,,2014,47.7
Southern Europe,,2014,68.6
Sub-Saharan Africa,,2014,47.2
Swaziland,SWZ,2007,48.9
Tajikistan,TJK,2012,40.9
Tajikistan,TJK,2017,33
Tanzania,TZA,2010,46.8
Timor,TLS,2016,40
Togo,TGO,2014,29.6
Uganda,UGA,2006,48
Uganda,UGA,2011,49
Uganda,UGA,2016,62
Ukraine,UKR,2007,81
Western Africa,,2014,38.4
Western Asia,,2014,71.1
World,OWID_WRL,2014,56.7
Zambia,ZMB,2007,39.5
Zambia,ZMB,2014,46.6
Zimbabwe,ZWE,2006,52.5
Zimbabwe,ZWE,2011,58.8
Zimbabwe,ZWE,2015,59.9
