Entity,Code,Year,5.3.1 - Proportion of women aged 20-24 years who were married or in a union before age 15 (%) - SP_DYN_MRBF15 (% of married women aged 20-24 years)
Afghanistan,AFG,2015,8.8
Albania,ALB,2018,1.4
Algeria,DZA,2013,0.4
Angola,AGO,2016,7.9
Armenia,ARM,2016,0
"Asia, Central",,2003,0.3
"Asia, Central",,2008,0.1
"Asia, Central",,2013,0.2
"Asia, Central",,2018,0.3
Azerbaijan,AZE,2011,1.9
Bangladesh,BGD,2014,22.4
Barbados,BRB,2012,0.7
Belarus,BLR,2012,0
Belize,BLZ,2016,6.3
Benin,BEN,2014,7
Bhutan,BTN,2010,6.2
Bolivia,BOL,2016,3.4
Bosnia and Herzegovina,BIH,2012,0.2
Brazil,BRA,2006,5.9
Burkina Faso,BFA,2010,10.2
Burundi,BDI,2017,2.8
Cambodia,KHM,2014,1.9
Cameroon,CMR,2014,10.2
Cape Verde,CPV,2005,2.8
Central African Republic,CAF,2010,29.1
Central and Southern Asia,,2003,18.9
Central and Southern Asia,,2008,16.9
Central and Southern Asia,,2013,12.8
Central and Southern Asia,,2018,7.6
Chad,TCD,2015,29.7
Colombia,COL,2015,4.9
Comoros,COM,2012,10
Congo,COG,2015,6.9
Costa Rica,CRI,2011,6.8
Cote d'Ivoire,CIV,2016,7
Cuba,CUB,2014,4.7
Democratic Republic of Congo,COD,2014,10
Djibouti,DJI,2006,1.8
Dominican Republic,DOM,2014,12.3
Ecuador,ECU,2012,2.5
Egypt,EGY,2014,2
El Salvador,SLV,2014,5.8
Equatorial Guinea,GNQ,2011,8.6
Eritrea,ERI,2010,12.9
Ethiopia,ETH,2016,14.1
Gabon,GAB,2012,5.6
Gambia,GMB,2013,9.3
Georgia,GEO,2010,1.1
Ghana,GHA,2014,4.9
Guatemala,GTM,2015,6.2
Guinea,GIN,2016,19.2
Guinea-Bissau,GNB,2014,6.3
Guyana,GUY,2014,3.6
Haiti,HTI,2017,2.1
Honduras,HND,2012,7.6
India,IND,2016,6.6
Indonesia,IDN,2018,0.6
Iran,IRN,2010,2.7
Iraq,IRQ,2018,7.2
Jamaica,JAM,2011,1.4
Jordan,JOR,2012,0.3
Kazakhstan,KAZ,2015,0.2
Kenya,KEN,2014,4.4
Kiribati,KIR,2009,2.8
Kyrgyzstan,KGZ,2014,0.9
Landlocked developing countries,,2003,13.8
Landlocked developing countries,,2008,13.8
Landlocked developing countries,,2013,12.2
Landlocked developing countries,,2018,9.7
Laos,LAO,2017,7.1
Latin America and the Caribbean	,,2003,5.4
Latin America and the Caribbean	,,2008,5.2
Latin America and the Caribbean	,,2013,5.1
Latin America and the Caribbean	,,2018,4.4
Least Developed Countries (LDCs),,2003,19.6
Least Developed Countries (LDCs),,2008,18.2
Least Developed Countries (LDCs),,2013,16.1
Least Developed Countries (LDCs),,2018,12.2
Lebanon,LBN,2009,1.2
Lesotho,LSO,2014,1
Liberia,LBR,2013,8.8
Macedonia,MKD,2011,0.9
Madagascar,MDG,2013,12.4
Malawi,MWI,2015,9
Maldives,MDV,2009,0.3
Mali,MLI,2015,18.3
Marshall Islands,MHL,2007,5.5
Mauritania,MRT,2015,17.8
Mexico,MEX,2015,3.8
Moldova,MDA,2012,0.4
Mongolia,MNG,2013,0.1
Montenegro,MNE,2013,0.6
Morocco,MAR,2011,1.4
Mozambique,MOZ,2015,16.8
Myanmar,MMR,2015,1.9
Namibia,NAM,2013,1.6
Nauru,NRU,2007,1.9
Nepal,NPL,2016,7
Nicaragua,NIC,2012,9.7
Niger,NER,2012,28
Nigeria,NGA,2017,18.2
Northern Africa,,2003,5.3
Northern Africa,,2008,4.2
Northern Africa,,2013,4.1
Northern Africa,,2018,3.5
Northern Africa and Western Asia,,2003,5.7
Northern Africa and Western Asia,,2008,4.9
Northern Africa and Western Asia,,2013,4.3
Northern Africa and Western Asia,,2018,3.5
Oman,OMN,2014,1.2
Pakistan,PAK,2013,2.8
Palestine,PSE,2014,1
Panama,PAN,2013,6.8
Papua New Guinea,PNG,2006,2.1
Paraguay,PRY,2016,3.6
Peru,PER,2017,2.6
Philippines,PHL,2017,2.2
Qatar,QAT,2012,0
Rwanda,RWA,2015,0.4
Saint Lucia,LCA,2012,1.3
Samoa,WSM,2014,0.7
Sao Tome and Principe,STP,2014,7.9
Senegal,SEN,2017,8.4
Serbia,SRB,2014,0.3
Sierra Leone,SLE,2017,12.9
Small Island Developing States (SIDS),,2003,6.7
Small Island Developing States (SIDS),,2008,6.9
Small Island Developing States (SIDS),,2013,6.5
Small Island Developing States (SIDS),,2018,5.7
Solomon Islands,SLB,2015,5.6
Somalia,SOM,2006,8.4
South Africa,ZAF,2003,0.8
South Eastern Asia,,2003,2.8
South Eastern Asia,,2008,2.5
South Eastern Asia,,2013,2.1
South Eastern Asia,,2018,1.8
South Sudan,SSD,2010,8.9
Southern Asia,,2003,19.3
Southern Asia,,2008,17.2
Southern Asia,,2013,13.2
Southern Asia,,2018,7.7
Sri Lanka,LKA,2016,0.9
Sub-Saharan Africa,,2003,14.9
Sub-Saharan Africa,,2008,15.1
Sub-Saharan Africa,,2013,14.2
Sub-Saharan Africa,,2018,11.8
Sudan,SDN,2014,11.9
Suriname,SUR,2010,5.2
Swaziland,SWZ,2014,0.8
Syria,SYR,2006,2.5
Tajikistan,TJK,2017,0.1
Tanzania,TZA,2016,5.2
Thailand,THA,2015,4.4
Timor,TLS,2016,2.6
Togo,TGO,2014,5.5
Tonga,TON,2012,0.3
Trinidad and Tobago,TTO,2011,2.7
Tunisia,TUN,2012,0
Turkey,TUR,2013,1.1
Turkmenistan,TKM,2016,0
Tuvalu,TUV,2007,0
Uganda,UGA,2016,7.3
Ukraine,UKR,2012,0.1
Uruguay,URY,2013,0.7
Uzbekistan,UZB,2006,0.3
Vanuatu,VUT,2013,2.5
Vietnam,VNM,2014,0.9
Western Asia,,2003,6.2
Western Asia,,2008,5.7
Western Asia,,2013,4.5
Western Asia,,2018,3.4
World,OWID_WRL,2003,8.1
World,OWID_WRL,2008,7.5
World,OWID_WRL,2013,6.4
World,OWID_WRL,2018,5
Yemen,YEM,2013,9.4
Zambia,ZMB,2014,5.9
Zimbabwe,ZWE,2015,3.7
