Entity,Code,Year,Indicator 5.2.1: Age-standardised prevalence of women aged 15 years and older who experienced physical or sexual violence by an intimate partner in the last 12 months (%) - Past - Unscaled (%)
Afghanistan,AFG,1990,73.757
Afghanistan,AFG,1995,74.3
Afghanistan,AFG,2000,74.348
Afghanistan,AFG,2005,73.836
Afghanistan,AFG,2010,68.943
Afghanistan,AFG,2016,67.75
Albania,ALB,1990,27.418
Albania,ALB,1995,26.18
Albania,ALB,2000,25.025
Albania,ALB,2005,21.412
Albania,ALB,2010,20.034
Albania,ALB,2016,18.84
Algeria,DZA,1990,43.847
Algeria,DZA,1995,43.747
Algeria,DZA,2000,43.574
Algeria,DZA,2005,41.863
Algeria,DZA,2010,39.84
Algeria,DZA,2016,37.491
Andorra,AND,1990,14.009
Andorra,AND,1995,13.404
Andorra,AND,2000,12.76
Andorra,AND,2005,12.377
Andorra,AND,2010,11.948
Andorra,AND,2016,11.552
Angola,AGO,1990,56.644
Angola,AGO,1995,56.846
Angola,AGO,2000,56.26
Angola,AGO,2005,55.429
Angola,AGO,2010,53.35
Angola,AGO,2016,50.565
Antigua and Barbuda,ATG,1990,21.749
Antigua and Barbuda,ATG,1995,21.776
Antigua and Barbuda,ATG,2000,20.824
Antigua and Barbuda,ATG,2005,21.233
Antigua and Barbuda,ATG,2010,20.401
Antigua and Barbuda,ATG,2016,19.354
Argentina,ARG,1990,25.669
Argentina,ARG,1995,24.747
Argentina,ARG,2000,24.405
Argentina,ARG,2005,23.493
Argentina,ARG,2010,22.808
Argentina,ARG,2016,21.69
Armenia,ARM,1990,24.122
Armenia,ARM,1995,23.586
Armenia,ARM,2000,22.855
Armenia,ARM,2005,22.517
Armenia,ARM,2010,22.267
Armenia,ARM,2016,18.947
Australia,AUS,1990,16.511
Australia,AUS,1995,15.541
Australia,AUS,2000,14.573
Australia,AUS,2005,13.818
Australia,AUS,2010,13.565
Australia,AUS,2016,13.009
Austria,AUT,1990,15.205
Austria,AUT,1995,14.414
Austria,AUT,2000,13.561
Austria,AUT,2005,13.017
Austria,AUT,2010,12.357
Austria,AUT,2016,11.737
Azerbaijan,AZE,1990,26.381
Azerbaijan,AZE,1995,26.736
Azerbaijan,AZE,2000,25.598
Azerbaijan,AZE,2005,24.715
Azerbaijan,AZE,2010,22.84
Azerbaijan,AZE,2016,21.106
Bahamas,BHS,1990,26.213
Bahamas,BHS,1995,25.763
Bahamas,BHS,2000,24.469
Bahamas,BHS,2005,23.871
Bahamas,BHS,2010,23.962
Bahamas,BHS,2016,22.735
Bahrain,BHR,1990,45.233
Bahrain,BHR,1995,44.547
Bahrain,BHR,2000,45.31
Bahrain,BHR,2005,46.394
Bahrain,BHR,2010,46.396
Bahrain,BHR,2016,45.97
Bangladesh,BGD,1990,51.703
Bangladesh,BGD,1995,50.634
Bangladesh,BGD,2000,49.254
Bangladesh,BGD,2005,47.71
Bangladesh,BGD,2010,46.43
Bangladesh,BGD,2016,44.445
Barbados,BRB,1990,21.954
Barbados,BRB,1995,21.378
Barbados,BRB,2000,20.282
Barbados,BRB,2005,20.3
Barbados,BRB,2010,19.544
Barbados,BRB,2016,18.615
Belarus,BLR,1990,22.203
Belarus,BLR,1995,22.447
Belarus,BLR,2000,22.9
Belarus,BLR,2005,22.098
Belarus,BLR,2010,20.357
Belarus,BLR,2016,18.557
Belgium,BEL,1990,16.845
Belgium,BEL,1995,16.295
Belgium,BEL,2000,15.828
Belgium,BEL,2005,15.033
Belgium,BEL,2010,14.392
Belgium,BEL,2016,13.887
Belize,BLZ,1990,34.689
Belize,BLZ,1995,32.785
Belize,BLZ,2000,33.682
Belize,BLZ,2005,33.235
Belize,BLZ,2010,31.953
Belize,BLZ,2016,30.721
Benin,BEN,1990,44.593
Benin,BEN,1995,44.639
Benin,BEN,2000,44.31
Benin,BEN,2005,44.18
Benin,BEN,2010,43.864
Benin,BEN,2016,43.414
Bhutan,BTN,1990,45.166
Bhutan,BTN,1995,43.501
Bhutan,BTN,2000,41.461
Bhutan,BTN,2005,39.05
Bhutan,BTN,2010,37.505
Bhutan,BTN,2016,36.133
Bolivia,BOL,1990,40.863
Bolivia,BOL,1995,39.389
Bolivia,BOL,2000,37.403
Bolivia,BOL,2005,35.038
Bolivia,BOL,2010,33.786
Bolivia,BOL,2016,32.508
Bosnia and Herzegovina,BIH,1990,22.908
Bosnia and Herzegovina,BIH,1995,21.535
Bosnia and Herzegovina,BIH,2000,19.2
Bosnia and Herzegovina,BIH,2005,20.056
Bosnia and Herzegovina,BIH,2010,19.51
Bosnia and Herzegovina,BIH,2016,17.982
Botswana,BWA,1990,33.885
Botswana,BWA,1995,33.644
Botswana,BWA,2000,37.612
Botswana,BWA,2005,37.665
Botswana,BWA,2010,36.412
Botswana,BWA,2016,34.705
Brazil,BRA,1990,28.059
Brazil,BRA,1995,27.266
Brazil,BRA,2000,26.15
Brazil,BRA,2005,24.98
Brazil,BRA,2010,23.603
Brazil,BRA,2016,22.054
Brunei,BRN,1990,24.002
Brunei,BRN,1995,22.584
Brunei,BRN,2000,20.76
Brunei,BRN,2005,19.609
Brunei,BRN,2010,18.787
Brunei,BRN,2016,17.403
Bulgaria,BGR,1990,20.83
Bulgaria,BGR,1995,20.671
Bulgaria,BGR,2000,20.162
Bulgaria,BGR,2005,18.945
Bulgaria,BGR,2010,17.561
Bulgaria,BGR,2016,16.389
Burkina Faso,BFA,1990,39.936
Burkina Faso,BFA,1995,39.765
Burkina Faso,BFA,2000,39.533
Burkina Faso,BFA,2005,38.515
Burkina Faso,BFA,2010,38.339
Burkina Faso,BFA,2016,37.613
Burundi,BDI,1990,43.601
Burundi,BDI,1995,43.877
Burundi,BDI,2000,45.131
Burundi,BDI,2005,45.437
Burundi,BDI,2010,45.302
Burundi,BDI,2016,44.532
Cambodia,KHM,1990,41.277
Cambodia,KHM,1995,40.707
Cambodia,KHM,2000,40.09
Cambodia,KHM,2005,38.368
Cambodia,KHM,2010,36.133
Cambodia,KHM,2016,34.534
Cameroon,CMR,1990,45.828
Cameroon,CMR,1995,45.854
Cameroon,CMR,2000,44.546
Cameroon,CMR,2005,44.145
Cameroon,CMR,2010,44.962
