Entity,Code,Year,WEO Index overall score (Economist Intelligence Unit (2012))
APEC,,2012,63.200001
ASEAN,,2012,52.200001
Africa,,2012,41.599998
Albania,ALB,2012,56.4739
Algeria,DZA,2012,39.656799
All countries,,2012,55.799999
Americas,,2012,58.200001
Argentina,ARG,2012,59.150902
Armenia,ARM,2012,53.3241
Asia,,2012,49.099998
Australia,AUS,2012,87.132698
Austria,AUT,2012,76.291801
Azerbaijan,AZE,2012,46.831799
Bahrain,BHR,2012,48.981602
Bangladesh,BGD,2012,39.167599
Belarus,BLR,2012,53.8386
Belgium,BEL,2012,87.738998
Benin,BEN,2012,40.791599
Bolivia,BOL,2012,45.973
Bosnia and Herzegovina,BIH,2012,58.054501
Botswana,BWA,2012,49.926498
Brazil,BRA,2012,59.543999
Bulgaria,BGR,2012,73.450203
Burkina Faso,BFA,2012,36.8218
Cambodia,KHM,2012,44.615299
Cameroon,CMR,2012,36.1413
Canada,CAN,2012,83.215103
Chad,TCD,2012,23.2939
Chile,CHL,2012,64.243202
China,CHN,2012,52.320801
Colombia,COL,2012,55.3064
Costa Rica,CRI,2012,61.070301
Cote d'Ivoire,CIV,2012,30.8113
Croatia,HRV,2012,61.909901
Czech Republic,CZE,2012,70.835602
Denmark,DNK,2012,81.305
Dominican Republic,DOM,2012,50.511299
EBRD,,2012,58.700001
EU,,2012,76.699997
East Asia & Pacific,,2012,44.299999
Ecuador,ECU,2012,51.230999
Egypt,EGY,2012,48.6539
El Salvador,SLV,2012,52.406601
Estonia,EST,2012,71.680603
Ethiopia,ETH,2012,30.340799
Europe,,2012,72
Europe & Central Asia,,2012,56.299999
Fiji,FJI,2012,48.4935
Finland,FIN,2012,88.150101
France,FRA,2012,79.498001
G20,,2012,71.099998
Georgia,GEO,2012,54.5079
Germany,DEU,2012,86.302498
Ghana,GHA,2012,46.4263
Greece,GRC,2012,68.725098
HIPC,,2012,38.200001
High income,,2012,73.699997
High income (OECD),,2012,79.199997
High income (non-OECD),,2012,60.5
Honduras,HND,2012,46.978401
Hong Kong,HKG,2012,74.686699
Hungary,HUN,2012,74.8787
IBRD,,2012,55.200001
IDA,,2012,38.900002
Iceland,ISL,2012,83.024597
India,IND,2012,41.9464
Indonesia,IDN,2012,47.502701
Iran,IRN,2012,35.3974
Ireland,IRL,2012,74.561501
Israel,ISR,2012,71.512199
Italy,ITA,2012,70.896896
Japan,JPN,2012,73.887299
Jordan,JOR,2012,45.877102
Kazakhstan,KAZ,2012,54.460999
Kenya,KEN,2012,47.488998
Kuwait,KWT,2012,49.926998
Kyrgyzstan,KGZ,2012,45.676601
Laos,LAO,2012,38.6063
Latin America & the Caribbean,,2012,55.599998
Latvia,LVA,2012,72.114799
Lebanon,LBN,2012,48.714001
Lithuania,LTU,2012,77.0187
Low income,,2012,38.5
Lower-middle income,,2012,44.5
Luxembourg,LUX,2012,75.371101
Macedonia,MKD,2012,65.285103
Madagascar,MDG,2012,32.7379
Malawi,MWI,2012,39.030602
Malaysia,MYS,2012,57.733799
Mauritius,MUS,2012,67.694099
Mexico,MEX,2012,64.609497
Middle East & North Africa,,2012,42.799999
Moldova,MDA,2012,54.4631
Mongolia,MNG,2012,49.994099
Montenegro,MNE,2012,58.176998
Morocco,MAR,2012,46.974998
Namibia,NAM,2012,53.5993
Netherlands,NLD,2012,85.021301
New Zealand,NZL,2012,83.722702
Nicaragua,NIC,2012,47.822899
Nigeria,NGA,2012,33.4431
Non-OECD,,2012,49.200001
Norway,NOR,2012,88.308098
OECD,,2012,77.5
Oceania,,2012,49.299999
Oman,OMN,2012,48.2323
Pacific Islands,,2012,37.200001
Pakistan,PAK,2012,35.5481
Panama,PAN,2012,60.6404
Papua New Guinea,PNG,2012,26.641899
Paraguay,PRY,2012,52.097
Peru,PER,2012,55.831902
Philippines,PHL,2012,50.300301
Poland,POL,2012,70.2239
Portugal,PRT,2012,77.328201
Romania,ROU,2012,62.175301
Russia,RUS,2012,52.944901
Samoa,WSM,2012,41.723301
Saudi Arabia,SAU,2012,39.663601
Senegal,SEN,2012,38.687599
Serbia,SRB,2012,56.375099
Singapore,SGP,2012,71.440102
Slovakia,SVK,2012,73.751503
Slovenia,SVN,2012,76.178802
Solomon Islands,SLB,2012,29.2034
South Africa,ZAF,2012,65.346802
South Asia,,2012,41.099998
South Korea,KOR,2012,69.445801
Spain,ESP,2012,74.015404
Sri Lanka,LKA,2012,47.564701
Sub-Saharan Africa,,2012,40.299999
Sudan,SDN,2012,19.230801
Sweden,SWE,2012,90.399902
Switzerland,CHE,2012,76.113197
Syria,SYR,2012,35.8606
Tajikistan,TJK,2012,41.536201
Tanzania,TZA,2012,45.435799
Thailand,THA,2012,60.123798
Timor,TLS,2012,36.919601
Togo,TGO,2012,30.7122
Tonga,TON,2012,38.348801
Tunisia,TUN,2012,59.529999
Turkey,TUR,2012,53.191799
Turkmenistan,TKM,2012,34.3881
Uganda,UGA,2012,40.410198
Ukraine,UKR,2012,55.398102
United Arab Emirates,ARE,2012,50.7915
United Kingdom,GBR,2012,78.852097
United States,USA,2012,78.433296
Upper-middle income,,2012,59.299999
Uruguay,URY,2012,65.305603
Uzbekistan,UZB,2012,44.025101
Vanuatu,VUT,2012,39.104801
Venezuela,VEN,2012,51.806198
Vietnam,VNM,2012,47.128101
Western Europe,,2012,80.099998
Yemen,YEM,2012,24.6448
Zambia,ZMB,2012,36.897202
