Entity,Code,Year,Number of people not in extreme poverty (people),Number of people living in extreme poverty (people)
World,OWID_WRL,1820,117436202.1,964925107.9
World,OWID_WRL,1850,164148669.6,1098533404
World,OWID_WRL,1870,244873757.6,1154404857
World,OWID_WRL,1890,331686748.6,1225528033
World,OWID_WRL,1910,455000000,1295000000
World,OWID_WRL,1929,693247557.3,1351730488
World,OWID_WRL,1950,923580000,1596420000
World,OWID_WRL,1960,1387422349,1638580593
World,OWID_WRL,1970,1924946519,1766226097
World,OWID_WRL,1980,2519491424,1920141041
World,OWID_WRL,1981,2609492679,1909109363
World,OWID_WRL,1984,2895613535,1870044027
World,OWID_WRL,1987,3249321091,1784483853
World,OWID_WRL,1990,3406151829,1903515870
World,OWID_WRL,1993,3683471010,1886574370
World,OWID_WRL,1996,4105666967,1709725338
World,OWID_WRL,1999,4317317753,1731887450
World,OWID_WRL,2002,4670891364,1611410403
World,OWID_WRL,2005,5166811411,1352824439
World,OWID_WRL,2008,5540173601,1223559278
World,OWID_WRL,2010,5838986321,1090738722
World,OWID_WRL,2011,6050483518,962943534.2
World,OWID_WRL,2012,6189020395,908480058
World,OWID_WRL,2013,6302580402,794920050.7
World,OWID_WRL,2015,6615994784,733477315.5
