Entity,Code,Year,Yaws status (WHO GHO 2018)
Afghanistan,AFG,2016,No previous history of yaws
Albania,ALB,2016,No previous history of yaws
Algeria,DZA,2016,No previous history of yaws
Andorra,AND,2016,No previous history of yaws
Angola,AGO,2016,Previously endemic (current status unknown)
Antigua and Barbuda,ATG,2016,Previously endemic (current status unknown)
Argentina,ARG,2016,No previous history of yaws
Armenia,ARM,2016,No previous history of yaws
Australia,AUS,2016,Previously endemic (current status unknown)
Austria,AUT,2016,No previous history of yaws
Azerbaijan,AZE,2016,No previous history of yaws
Bahamas,BHS,2016,Previously endemic (current status unknown)
Bahrain,BHR,2016,No previous history of yaws
Bangladesh,BGD,2016,No previous history of yaws
Barbados,BRB,2016,Previously endemic (current status unknown)
Belarus,BLR,2016,No previous history of yaws
Belgium,BEL,2016,No previous history of yaws
Belize,BLZ,2016,Previously endemic (current status unknown)
Benin,BEN,2010,45
Benin,BEN,2012,11
Benin,BEN,2016,Currently endemic
Bhutan,BTN,2016,No previous history of yaws
Bolivia,BOL,2016,No previous history of yaws
Bosnia and Herzegovina,BIH,2016,No previous history of yaws
Botswana,BWA,2016,No previous history of yaws
Brazil,BRA,2016,Previously endemic (current status unknown)
Brunei,BRN,2016,No previous history of yaws
Bulgaria,BGR,2016,No previous history of yaws
Burkina Faso,BFA,2016,Previously endemic (current status unknown)
Burundi,BDI,2016,Previously endemic (current status unknown)
Cambodia,KHM,2016,Previously endemic (current status unknown)
Cameroon,CMR,2010,802
Cameroon,CMR,2011,133
Cameroon,CMR,2012,59
Cameroon,CMR,2013,97
Cameroon,CMR,2014,530
Cameroon,CMR,2015,463
Cameroon,CMR,2016,890
Canada,CAN,2016,No previous history of yaws
Cape Verde,CPV,2016,Previously endemic (current status unknown)
Central African Republic,CAF,2009,243
Central African Republic,CAF,2013,230
Chad,TCD,2016,Previously endemic (current status unknown)
Chile,CHL,2016,No previous history of yaws
China,CHN,2016,No previous history of yaws
Colombia,COL,2016,Previously endemic (current status unknown)
Comoros,COM,2016,Previously endemic (current status unknown)
Congo,COG,2009,646
Congo,COG,2012,197
Congo,COG,2016,Currently endemic
Cook Islands,COK,2016,Previously endemic (current status unknown)
Costa Rica,CRI,2016,Previously endemic (current status unknown)
Cote d'Ivoire,CIV,2010,3740
Cote d'Ivoire,CIV,2011,3343
Cote d'Ivoire,CIV,2012,3092
Cote d'Ivoire,CIV,2013,2256
Cote d'Ivoire,CIV,2014,2650
Cote d'Ivoire,CIV,2015,1940
Cote d'Ivoire,CIV,2016,1581
Croatia,HRV,2016,No previous history of yaws
Cuba,CUB,2016,Previously endemic (current status unknown)
Cyprus,CYP,2016,No previous history of yaws
Czech Republic,CZE,2016,No previous history of yaws
Democratic Republic of Congo,COD,2008,383
Democratic Republic of Congo,COD,2016,Currently endemic
Denmark,DNK,2016,No previous history of yaws
Djibouti,DJI,2016,No previous history of yaws
Dominica,DMA,2016,Previously endemic (current status unknown)
Dominican Republic,DOM,2016,Previously endemic (current status unknown)
Ecuador,ECU,2016,Interrupted transmission
Egypt,EGY,2016,No previous history of yaws
El Salvador,SLV,2016,Previously endemic (current status unknown)
Equatorial Guinea,GNQ,2016,Previously endemic (current status unknown)
Eritrea,ERI,2016,No previous history of yaws
Estonia,EST,2016,No previous history of yaws
Ethiopia,ETH,2016,Previously endemic (current status unknown)
Fiji,FJI,2016,Previously endemic (current status unknown)
Finland,FIN,2016,No previous history of yaws
France,FRA,2016,No previous history of yaws
Gabon,GAB,2016,Previously endemic (current status unknown)
Gambia,GMB,2016,Previously endemic (current status unknown)
Georgia,GEO,2016,No previous history of yaws
Germany,DEU,2016,No previous history of yaws
Ghana,GHA,2008,20525
Ghana,GHA,2009,35248
Ghana,GHA,2010,18157
Ghana,GHA,2011,9674
Ghana,GHA,2012,8980
Ghana,GHA,2013,18702
Ghana,GHA,2014,2055
Ghana,GHA,2015,1636
Ghana,GHA,2016,1481
Greece,GRC,2016,No previous history of yaws
Grenada,GRD,2016,Previously endemic (current status unknown)
Guatemala,GTM,2016,Previously endemic (current status unknown)
Guinea,GIN,2016,Previously endemic (current status unknown)
Guinea-Bissau,GNB,2016,Previously endemic (current status unknown)
Guyana,GUY,2016,Previously endemic (current status unknown)
Haiti,HTI,2016,Previously endemic (current status unknown)
Honduras,HND,2016,Previously endemic (current status unknown)
Hungary,HUN,2016,No previous history of yaws
Iceland,ISL,2016,No previous history of yaws
India,IND,2016,Interrupted transmission
Indonesia,IDN,2008,6083
Indonesia,IDN,2009,7751
Indonesia,IDN,2010,6178
Indonesia,IDN,2011,6631
Indonesia,IDN,2012,4360
Indonesia,IDN,2013,2043
Indonesia,IDN,2014,1521
Indonesia,IDN,2015,3379
Indonesia,IDN,2016,2762
Iran,IRN,2016,No previous history of yaws
Iraq,IRQ,2016,No previous history of yaws
Ireland,IRL,2016,No previous history of yaws
Israel,ISR,2016,No previous history of yaws
Italy,ITA,2016,No previous history of yaws
Jamaica,JAM,2016,Previously endemic (current status unknown)
Japan,JPN,2016,No previous history of yaws
Jordan,JOR,2016,No previous history of yaws
Kazakhstan,KAZ,2016,No previous history of yaws
Kenya,KEN,2016,Previously endemic (current status unknown)
Kiribati,KIR,2016,Previously endemic (current status unknown)
Kuwait,KWT,2016,No previous history of yaws
Kyrgyzstan,KGZ,2016,No previous history of yaws
Laos,LAO,2016,Previously endemic (current status unknown)
Latvia,LVA,2016,No previous history of yaws
Lebanon,LBN,2016,No previous history of yaws
Lesotho,LSO,2016,No previous history of yaws
Liberia,LBR,2016,Previously endemic (current status unknown)
Libya,LBY,2016,No previous history of yaws
Lithuania,LTU,2016,No previous history of yaws
Luxembourg,LUX,2016,No previous history of yaws
Macedonia,MKD,2016,No previous history of yaws
Madagascar,MDG,2016,Previously endemic (current status unknown)
Malawi,MWI,2016,Previously endemic (current status unknown)
Malaysia,MYS,2016,Previously endemic (current status unknown)
Maldives,MDV,2016,No previous history of yaws
Mali,MLI,2016,Previously endemic (current status unknown)
Malta,MLT,2016,No previous history of yaws
Marshall Islands,MHL,2016,Previously endemic (current status unknown)
Mauritania,MRT,2016,No previous history of yaws
Mauritius,MUS,2016,No previous history of yaws
Mexico,MEX,2016,No previous history of yaws
Micronesia (country),FSM,2016,Previously endemic (current status unknown)
Moldova,MDA,2016,No previous history of yaws
Monaco,MCO,2016,No previous history of yaws
Mongolia,MNG,2016,No previous history of yaws
Montenegro,MNE,2016,No previous history of yaws
Morocco,MAR,2016,No previous history of yaws
Mozambique,MOZ,2016,Previously endemic (current status unknown)
Myanmar,MMR,2016,Previously endemic (current status unknown)
Namibia,NAM,2016,No previous history of yaws
Nauru,NRU,2016,Previously endemic (current status unknown)
Nepal,NPL,2016,No previous history of yaws
Netherlands,NLD,2016,No previous history of yaws
New Zealand,NZL,2016,No previous history of yaws
Nicaragua,NIC,2016,Previously endemic (current status unknown)
Niger,NER,2016,Previously endemic (current status unknown)
Nigeria,NGA,2016,Previously endemic (current status unknown)
Niue,NIU,2016,No previous history of yaws
North Korea,PRK,2016,No previous history of yaws
Norway,NOR,2016,No previous history of yaws
Oman,OMN,2016,No previous history of yaws
Pakistan,PAK,2016,No previous history of yaws
Palau,PLW,2016,No previous history of yaws
Panama,PAN,2016,Previously endemic (current status unknown)
Papua New Guinea,PNG,2008,28989
Papua New Guinea,PNG,2009,25822
Papua New Guinea,PNG,2010,29061
Papua New Guinea,PNG,2011,28989
Papua New Guinea,PNG,2012,17560
Papua New Guinea,PNG,2013,19710
Papua New Guinea,PNG,2014,29886
Papua New Guinea,PNG,2015,28584
Papua New Guinea,PNG,2016,33891
Paraguay,PRY,2016,No previous history of yaws
Peru,PER,2016,Previously endemic (current status unknown)
Philippines,PHL,2016,Previously endemic (current status unknown)
Poland,POL,2016,No previous history of yaws
Portugal,PRT,2016,No previous history of yaws
Qatar,QAT,2016,No previous history of yaws
Romania,ROU,2016,No previous history of yaws
Russia,RUS,2016,No previous history of yaws
Rwanda,RWA,2016,Previously endemic (current status unknown)
Saint Kitts and Nevis,KNA,2016,Previously endemic (current status unknown)
Saint Lucia,LCA,2016,Previously endemic (current status unknown)
Saint Vincent and the Grenadines,VCT,2016,Previously endemic (current status unknown)
Samoa,WSM,2016,Previously endemic (current status unknown)
San Marino,SMR,2016,No previous history of yaws
Sao Tome and Principe,STP,2016,No previous history of yaws
Saudi Arabia,SAU,2016,No previous history of yaws
Senegal,SEN,2016,Previously endemic (current status unknown)
Serbia,SRB,2016,No previous history of yaws
Seychelles,SYC,2016,No previous history of yaws
Sierra Leone,SLE,2016,Previously endemic (current status unknown)
Singapore,SGP,2016,No previous history of yaws
Slovakia,SVK,2016,No previous history of yaws
Slovenia,SVN,2016,No previous history of yaws
Solomon Islands,SLB,2010,20635
Solomon Islands,SLB,2012,12372
Solomon Islands,SLB,2013,14909
Solomon Islands,SLB,2014,13312
Solomon Islands,SLB,2015,9736
Solomon Islands,SLB,2016,18082
Somalia,SOM,2016,Previously endemic (current status unknown)
South Africa,ZAF,2016,No previous history of yaws
South Korea,KOR,2016,No previous history of yaws
South Sudan,SSD,2016,Previously endemic (current status unknown)
Spain,ESP,2016,No previous history of yaws
Sri Lanka,LKA,2016,Previously endemic (current status unknown)
Sudan,SDN,2016,No previous history of yaws
Suriname,SUR,2016,Previously endemic (current status unknown)
Swaziland,SWZ,2016,No previous history of yaws
Sweden,SWE,2016,No previous history of yaws
Switzerland,CHE,2016,No previous history of yaws
Syria,SYR,2016,No previous history of yaws
Tajikistan,TJK,2016,No previous history of yaws
Tanzania,TZA,2016,Previously endemic (current status unknown)
Thailand,THA,2016,Previously endemic (current status unknown)
Timor,TLS,2016,Currently endemic
Togo,TGO,2010,15
Togo,TGO,2014,15
Togo,TGO,2015,7
Togo,TGO,2016,11
Tonga,TON,2016,Previously endemic (current status unknown)
Trinidad and Tobago,TTO,2016,Previously endemic (current status unknown)
Tunisia,TUN,2016,No previous history of yaws
Turkey,TUR,2016,No previous history of yaws
Turkmenistan,TKM,2016,No previous history of yaws
Tuvalu,TUV,2016,Previously endemic (current status unknown)
Uganda,UGA,2016,Previously endemic (current status unknown)
Ukraine,UKR,2016,No previous history of yaws
United Arab Emirates,ARE,2016,No previous history of yaws
United Kingdom,GBR,2016,No previous history of yaws
United States,USA,2016,No previous history of yaws
Uruguay,URY,2016,No previous history of yaws
Uzbekistan,UZB,2016,No previous history of yaws
Vanuatu,VUT,2010,1593
Vanuatu,VUT,2011,2331
Vanuatu,VUT,2012,2514
Vanuatu,VUT,2013,1198
Vanuatu,VUT,2014,615
Vanuatu,VUT,2015,317
Vanuatu,VUT,2016,609
Venezuela,VEN,2016,Previously endemic (current status unknown)
Vietnam,VNM,2016,Previously endemic (current status unknown)
Yemen,YEM,2016,No previous history of yaws
Zambia,ZMB,2016,Previously endemic (current status unknown)
Zimbabwe,ZWE,2016,Previously endemic (current status unknown)
