Entity,Code,Year,Year of Maternal Neonatal Tetanus (MNT) elimination
Afghanistan,AFG,0,endemic
Angola,AGO,0,endemic
Bangladesh,BGD,0,eliminate
Benin,BEN,0,eliminate
Burkina Faso,BFA,0,eliminate
Burundi,BDI,0,eliminate
Cambodia,KHM,0,eliminate
Cameroon,CMR,0,eliminate
Central African Republic,CAF,0,endemic
Chad,TCD,0,eliminate
China,CHN,0,eliminate
Comoros,COM,0,eliminate
Congo,COG,0,eliminate
Cote d'Ivoire,CIV,0,eliminate
Democratic Republic of Congo,COD,0,eliminate
Egypt,EGY,0,eliminate
Equatorial Guinea,GNQ,0,eliminate
Eritrea,ERI,0,eliminate
Ethiopia,ETH,0,eliminate
Gabon,GAB,0,eliminate
Ghana,GHA,0,eliminate
Guinea,GIN,0,endemic
Guinea-Bissau,GNB,0,eliminate
Haiti,HTI,0,eliminate
India,IND,0,eliminate
Indonesia,IDN,0,eliminate
Iraq,IRQ,0,eliminate
Kenya,KEN,0,eliminate
Laos,LAO,0,eliminate
Liberia,LBR,0,eliminate
Madagascar,MDG,0,eliminate
Malawi,MWI,0,eliminate
Mali,MLI,0,endemic
Mauritania,MRT,0,eliminate
Morocco,MAR,0,eliminate
Mozambique,MOZ,0,eliminate
Myanmar,MMR,0,eliminate
Namibia,NAM,0,eliminate
Nepal,NPL,0,eliminate
Niger,NER,0,eliminate
Nigeria,NGA,0,endemic
Pakistan,PAK,0,endemic
Papua New Guinea,PNG,0,endemic
Philippines,PHL,0,eliminate
Rwanda,RWA,0,eliminate
Senegal,SEN,0,eliminate
Sierra Leone,SLE,0,eliminate
Somalia,SOM,0,endemic
South Africa,ZAF,0,eliminate
South Sudan,SSD,0,endemic
Sudan,SDN,0,endemic
Tanzania,TZA,0,eliminate
Timor,TLS,0,eliminate
Togo,TGO,0,eliminate
Turkey,TUR,0,eliminate
Uganda,UGA,0,eliminate
Vietnam,VNM,0,eliminate
Yemen,YEM,0,endemic
Zambia,ZMB,0,eliminate
Zimbabwe,ZWE,0,eliminate
